seed,threshold,accuracy,negative_transfer_rate,negative_transfer_prevention,recovery_retention,full_selection_rate
109,0.5,0.7510638297872341,0.35714285714285715,0.6428571428571428,0.8240740740740741,0.22393617021276596
109,0.525,0.7515957446808511,0.2857142857142857,0.7142857142857143,0.8240740740740741,0.20212765957446807
109,0.55,0.7515957446808511,0.21428571428571427,0.7857142857142857,0.8148148148148148,0.1622340425531915
109,0.575,0.7510638297872341,0.21428571428571427,0.7857142857142857,0.8055555555555556,0.14361702127659576
109,0.6,0.750531914893617,0.21428571428571427,0.7857142857142857,0.7962962962962963,0.13191489361702127
109,0.625,0.749468085106383,0.21428571428571427,0.7857142857142857,0.7777777777777778,0.12180851063829787
109,0.65,0.7489361702127659,0.21428571428571427,0.7857142857142857,0.7685185185185185,0.10904255319148937
109,0.675,0.7473404255319149,0.14285714285714285,0.8571428571428572,0.7314814814814815,0.09946808510638298
109,0.7,0.7452127659574468,0.14285714285714285,0.8571428571428572,0.6944444444444444,0.08882978723404256
109,0.725,0.7446808510638298,0.07142857142857142,0.9285714285714286,0.6759259259259259,0.07659574468085106
109,0.75,0.7420212765957447,0.07142857142857142,0.9285714285714286,0.6296296296296297,0.07074468085106383
109,0.775,0.7398936170212767,0.07142857142857142,0.9285714285714286,0.5925925925925926,0.061170212765957445
109,0.8,0.7361702127659574,0.07142857142857142,0.9285714285714286,0.5277777777777778,0.052659574468085106
109,0.825,0.7319148936170212,0.07142857142857142,0.9285714285714286,0.4537037037037037,0.04468085106382979
109,0.8500000000000001,0.7287234042553191,0.07142857142857142,0.9285714285714286,0.39814814814814814,0.038829787234042554
109,0.875,0.726063829787234,0.07142857142857142,0.9285714285714286,0.35185185185185186,0.03351063829787234
109,0.9,0.7218085106382979,0.07142857142857142,0.9285714285714286,0.2777777777777778,0.026595744680851064
110,0.5,0.6266050333846944,0.11627906976744186,0.8837209302325582,0.9464285714285714,0.7257318952234206
