seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
104,Conditional Lite-CF,1.0,5744,149.0,56.0,104.0,54.0,0.8694289693593314,0.4807692307692307,0.37583892617449666,3.481894150417827,80.29978586723769,-76.81789171681986
104,All-row multinomial,1.0,5744,149.0,80.0,104.0,60.0,0.290041782729805,0.42307692307692313,0.5369127516778524,34.81894150417827,96.35974304068523,-61.54080153650696
104,Two-stage,1.0,5744,149.0,84.0,104.0,68.0,0.9047701949860725,0.34615384615384615,0.5637583892617449,27.855153203342617,85.65310492505353,-57.79795172171091
104,Frozen Lite-CF (ungated),1.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-6.963788300835654,,
104,Prospective gate Lite-CF,1.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-6.963788300835654,,
104,All-row multinomial (safety),1.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
104,Always PDRF,1.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
104,Always RO-PDRF-Lite,1.0,5744,149.0,149.0,104.0,104.0,1.0,0.0,1.0,78.34261838440112,,
104,Conditional Lite-CF,2.0,5744,149.0,56.0,104.0,54.0,0.8694289693593314,0.4807692307692307,0.37583892617449666,-90.5292479108635,48.179871520342616,-138.70911943120612
104,All-row multinomial,2.0,5744,149.0,80.0,104.0,60.0,0.290041782729805,0.42307692307692313,0.5369127516778524,-69.63788300835654,58.886509635974306,-128.52439264433085
104,Two-stage,2.0,5744,149.0,23.0,104.0,22.0,0.055884401114206096,0.7884615384615384,0.15436241610738255,-36.559888579387184,42.82655246252676,-79.38644104191394
104,Frozen Lite-CF (ungated),2.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-13.927576601671309,,
104,Prospective gate Lite-CF,2.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-13.927576601671309,,
104,All-row multinomial (safety),2.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
104,Always PDRF,2.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
104,Always RO-PDRF-Lite,2.0,5744,149.0,149.0,104.0,104.0,1.0,0.0,1.0,-102.7158774373259,,
