replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
119,0.8904191616766467,0.2009365687526607,0.4875,0.007830039476629302,-0.003796709268615972
120,0.8803641092327699,0.19592696629213482,0.5551706128133704,0.006621698390223085,-0.0018546352733398441
121,0.9059107358262968,0.14428482198625858,0.571692200557103,0.005543434397538682,-0.004348535278660526
122,0.917283950617284,0.16686819830713423,0.3958043175487465,0.005113838174979124,-0.005161432285278433
123,0.9140271493212669,0.08571428571428572,0.48037952646239557,0.004636884780527262,-0.002354578220946091
124,0.9226519337016574,0.05063291139240506,0.46363161559888577,0.003897488052103548,-0.001520608894403197
125,0.9424083769633508,0.05624483043837883,0.49160863509749303,0.003780132558329208,-0.00044134400499629134
126,0.9066079295154185,0.13904068002428657,0.394533426183844,0.005235692631947675,0.00018527150420288852
127,0.9182389937106918,0.15792154865002547,0.3595055710306407,0.004190065564791734,-0.005733461411832952
128,0.8836869056327725,0.1794871794871795,0.45154944289693594,0.005173602831133883,-0.004175848114344016
129,0.9830328738069989,0.07872174590802807,0.506232590529248,0.0027422578227662697,-0.0020705423920539534
130,0.9227053140096618,0.17531486146095718,0.4516887186629526,0.0048325802079211,-0.0034359285755052316
131,0.8724035608308606,0.2037883736120183,0.3864554317548747,0.0030821872966266817,-0.001402262686739153
132,0.8613989637305699,0.230719794344473,0.44737116991643455,0.004944727927593373,-0.004080855515040338
133,0.9369839200347675,0.05941143808995003,0.26147284122562675,0.0026936141473890007,2.239802244075051e-05
134,0.8923395445134575,0.14544485881726157,0.47123955431754877,0.006926387638881981,-0.0022658888986366588
135,0.8935593220338983,0.1643646408839779,0.5592270194986072,0.006952991531358532,0.0006471525380059573
136,0.887958789439794,0.16188524590163936,0.44909470752089137,0.0058539266686350455,-0.00215971121041858
137,0.8562259306803595,0.24019607843137256,0.42446030640668525,0.005246214663767845,-0.006046181228316461
138,0.9316493313521546,0.16008462623413258,0.5744254874651811,0.00592946517934434,-0.00312702285193156
139,0.8878804057661506,0.23353293413173654,0.43051880222841227,0.004217643358380818,-0.00024461819367127546
140,0.9095816464237517,0.12731310140636565,0.4448816155988858,0.004588392285505782,-0.0022445336438917662
141,0.9340890008396305,0.08024691358024691,0.4466399721448468,0.004513124617887776,0.0066734346670778155
142,0.8950338600451467,0.1693313953488372,0.5021065459610028,0.005196288685409112,0.001522338509620469
143,0.9087018544935805,0.1453982985305491,0.4325731197771588,0.005899112089204461,-0.001544394195049703
144,0.8936567164179104,0.10472972972972973,0.47971796657381616,0.0029386025506936697,0.0022116360725759066
145,0.8575819672131147,0.2217983651226158,0.4090006963788301,0.003266326063131486,-0.005138347422142031
146,0.9121114683815649,0.12339514978601997,0.39670961002785515,0.0043333754407884895,-0.0022514650567208028
147,0.8732612055641422,0.17468214483139857,0.4577123955431755,0.005824533599434245,0.00021587329626093776
148,0.9204244031830239,0.15863453815261044,0.45410863509749305,0.00832256777115592,-0.011004058950965678
149,0.8931899641577061,0.21975452951490357,0.5580605849582173,0.006741242999815267,-0.002247465153077721
150,0.9225268176400476,0.06445047489823609,0.5507311977715877,0.005919811983320811,-8.05771923914067e-05
151,0.9049558723693143,0.21727272727272728,0.4275766016713092,0.006750708203333788,-0.006075792466801788
152,0.9382494004796164,0.1309055118110236,0.3218140668523677,0.0057086693012898815,-0.003620611636784843
153,0.8921933085501859,0.10744580584354382,0.49648328690807797,0.004363673983765359,-0.0021589696556564286
154,0.908029197080292,0.18006740491092924,0.4416260445682451,0.006026730700205318,-0.006851429293485256
155,0.9451612903225807,0.06542882404951371,0.4399373259052925,0.0022853935016742266,-0.0008771258030091378
156,0.8453922315308454,0.24005394470667565,0.46805362116991645,0.0039281489637804645,-0.000914425454484058
157,0.9292035398230089,0.08522378908645004,0.45217618384401115,0.004235123520245576,0.00232846859600655
158,0.9480081026333559,0.07226683137739345,0.352541782729805,0.0037786053813140263,-0.0006566323762916548
159,0.9372937293729373,0.06728847435043304,0.4196727019498607,0.0033459289448014573,0.00022755976963573232
160,0.9028230184581976,0.09968602825745683,0.42754178272980503,0.004353839203703025,0.0014400423690973385
161,0.8927820602662929,0.1574074074074074,0.43182451253481896,0.00406540668406008,-0.004819639284815769
162,0.8708133971291866,0.21832144816236973,0.3254700557103064,0.002836445067762039,-0.006793562262344732
163,0.9308641975308642,0.10533807829181495,0.4915738161559889,0.0049881998052707655,0.003880131769492201
164,0.8837772397094431,0.19519786571809694,0.33770891364902506,0.005107834034435932,-0.006894611602729195
165,0.9394618834080718,0.049773755656108594,0.311525069637883,0.0027845342978907173,-0.0002397608364150816
166,0.9267650158061117,0.11344086021505376,0.489850278551532,0.006377944133587832,-0.000801412172564131
167,0.8888888888888888,0.14862681744749595,0.4187674094707521,0.0029049269182194193,-0.00018833796264461355
168,0.8584905660377359,0.2426470588235294,0.4450731197771588,0.005397466594094236,-0.00362448009148697
169,0.8798977853492334,0.21194379391100704,0.40985376044568245,0.004787759268997327,-0.004921405738502971
170,0.9165207238762405,0.13909774436090225,0.22748955431754875,0.0032488536662360623,0.0014886303174271864
171,0.8899950223992036,0.18060695780903036,0.36371866295264627,0.0033501999692597817,0.002746100683640007
172,0.8708215297450425,0.2622663551401869,0.4420438718662953,0.004831343530548482,-0.0012058594408831391
173,0.9113009198423128,0.1383419689119171,0.2956476323119777,0.0034278353542095408,-0.0036510464216454874
174,0.8998316498316499,0.16831140350877194,0.49227019498607244,0.0057186885495779105,-0.004119013069154964
175,0.894184938036225,0.19695121951219513,0.40790389972144847,0.0038443916044457183,-0.005366221418120043
176,0.9176232275489534,0.11310259579728059,0.4985376044568245,0.005280716098674865,0.0007714512868073342
177,0.9078404401650619,0.09249011857707509,0.5698642061281337,0.003073853777066926,-0.0009729022981092017
178,0.9202020202020202,0.15658914728682172,0.4088266016713092,0.0023031959843238248,-0.0024456601926321486
179,0.9051724137931034,0.09486510008703221,0.4309192200557103,0.0032203314572295527,0.005569269653248221
180,0.9175182481751825,0.08485329103885805,0.42214484679665737,0.0014347444547511135,0.001691831875627825
181,0.9178217821782179,0.12775579423403052,0.40745125348189415,0.004426428046890751,-0.004883951148590082
182,0.8970760233918129,0.15365079365079365,0.506841922005571,0.00684469547134503,2.2311604571667587e-06
183,0.7962264150943397,0.2767662053896577,0.4047876044568245,0.003586774484738764,-0.003372856180637984
