seed,fault_type,control,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
104,stuck_at,class_conditional_logistic,0.75,0.6802168021680217,class_conditional_logistic,2.0,1436,41,12,0.2926829268292683,36,4,0.8888888888888888,0.6016713091922006,0.49025069637883006,55.710306406685234,1.0,55.710306406685234,0.49025069637883006,0.8131488570313931,0.5574121307836082,2.65323402346399,0.8104103008323761,0.3279694757731784,0.3205934977384273,0.1349951163731483
104,stuck_at,logit_margin_difference,-0.3714969339966774,0.532520325203252,logit_margin_difference,2.0,1436,41,39,0.9512195121951219,36,32,0.11111111111111116,0.9185236768802229,0.4895543175487465,48.74651810584958,1.0,48.74651810584958,0.4895543175487465,0.810932897403564,0.5585197644617715,2.7241145245308602,0.8486247341457469,0.3664043838802833,0.3636376526504856,0.14230219323376417
105,drift,rank_normalized_logistic,0.575,0.61875,rank_normalized_logistic,2.0,1436,20,0,0.0,16,0,1.0,0.6685236768802229,0.5285515320334262,0.0,1.0,0.0,0.5285515320334262,0.8454957642714813,0.6176037699503943,1.6832860115203543,0.6730510214461961,0.22860717559518806,0.2286071755951881,0.10615850210534301
105,drift,class_conditional_logistic,0.675,0.80625,class_conditional_logistic,2.0,1436,20,11,0.55,16,1,0.9375,0.1977715877437326,0.5355153203342619,69.63788300835654,1.0,69.63788300835654,0.5355153203342619,0.8459585842366845,0.6169487598162008,1.698049119461253,0.6766231801922311,0.22925134633967542,0.2288148380976595,0.1071802882342029
105,drift,logit_margin_difference,-0.3197029702365398,0.590625,logit_margin_difference,2.0,1436,20,20,1.0,16,15,0.0625,0.9972144846796658,0.532033426183844,34.81894150417827,1.0,34.81894150417827,0.532033426183844,0.843996726708475,0.6173139284446091,1.678468821360383,0.6673367194118133,0.22198816060728374,0.22198816060728374,0.10555646463815994
105,gaussian,rank_normalized_logistic,0.575,0.5892857142857143,rank_normalized_logistic,2.0,1436,36,1,0.027777777777777776,14,0,1.0,0.6720055710306406,0.46935933147632314,6.963788300835654,1.0,6.963788300835654,0.46935933147632314,0.7975266073379926,0.5354642376769992,2.3891683127352903,0.7803097590704521,0.30614859323641147,0.30614859323641147,0.11533905901079237
105,gaussian,class_conditional_logistic,0.675,0.5714285714285714,class_conditional_logistic,2.0,1436,36,16,0.4444444444444444,14,4,0.7142857142857143,0.26740947075208915,0.47701949860724235,83.56545961002786,1.0,83.56545961002786,0.47701949860724235,0.7943685498731274,0.53253834693912,2.4666425566373755,0.7822007198015579,0.29976010697205197,0.29976010697205197,0.11563660636400698
105,gaussian,logit_margin_difference,-0.3197029702365398,0.5099206349206349,logit_margin_difference,2.0,1436,36,35,0.9722222222222222,14,14,0.0,0.9853760445682451,0.4832869080779944,146.23955431754874,1.0,146.23955431754874,0.4832869080779944,0.8007618128788693,0.5402683864677585,2.289156377445976,0.761198819585881,0.28534633595846204,0.28534633595846204,0.11045656529608322
105,offset,rank_normalized_logistic,0.575,0.5855614973262032,rank_normalized_logistic,2.0,1436,34,0,0.0,22,0,1.0,0.6455431754874652,0.49930362116991645,0.0,1.0,0.0,0.49930362116991645,0.8368987129163902,0.5992439438284091,1.8055157149393117,0.7204541752346734,0.24964034705355215,0.2486005762591961,0.11764050035917355
105,offset,class_conditional_logistic,0.675,0.9197860962566845,class_conditional_logistic,2.0,1436,34,22,0.6470588235294118,22,1,0.9545454545454546,0.17618384401114207,0.5139275766016713,146.23955431754874,1.0,146.23955431754874,0.5139275766016713,0.8368241096842698,0.5955399905999,1.829428928620312,0.7207163829494049,0.24094252153773843,0.2404613038535325,0.11687203050378177
105,offset,logit_margin_difference,-0.3197029702365398,0.6791443850267379,logit_margin_difference,2.0,1436,34,34,1.0,22,22,0.0,0.9958217270194986,0.5076601671309192,83.56545961002786,1.0,83.56545961002786,0.5076601671309192,0.8349425707958594,0.5981346362927041,1.7990628110492974,0.714724315205558,0.2386151210735389,0.2383241234024899,0.11674753760540729
105,stuck_at,rank_normalized_logistic,0.575,0.492929292929293,rank_normalized_logistic,2.0,1436,45,0,0.0,11,0,1.0,0.6023676880222841,0.45403899721448465,0.0,1.0,0.0,0.45403899721448465,0.8182604266131279,0.5751053765907265,1.8412835269970804,0.7548328688309148,0.27298116749228035,0.2729811674922804,0.11806751729616799
105,stuck_at,class_conditional_logistic,0.675,0.6363636363636364,class_conditional_logistic,2.0,1436,45,24,0.5333333333333333,11,4,0.6363636363636364,0.1733983286908078,0.467966573816156,139.27576601671308,1.0,139.27576601671308,0.467966573816156,0.8179945969650989,0.5725695976718447,1.8663642686802326,0.7559813776731733,0.264712620378165,0.26471262037816506,0.11799202336139247
105,stuck_at,logit_margin_difference,-0.3197029702365398,0.6787878787878788,logit_margin_difference,2.0,1436,45,45,1.0,11,11,0.0,0.9993036211699164,0.4777158774373259,236.76880222841226,1.0,236.76880222841226,0.4777158774373259,0.8190942040904496,0.5769737208374094,1.8196643764470994,0.73876365707307,0.24935022799508388,0.24935022799508388,0.1158411294405236
106,drift,rank_normalized_logistic,0.65,0.8,rank_normalized_logistic,2.0,1436,21,6,0.2857142857142857,15,1,0.9333333333333333,0.8614206128133705,0.5264623955431755,34.81894150417827,1.0,34.81894150417827,0.5264623955431755,0.843364954342098,0.6220680671310598,2.395409116479382,0.7444412757595033,0.3186757860272947,0.31867578602729457,0.12199443628925448
106,drift,class_conditional_logistic,0.5,0.9301587301587302,class_conditional_logistic,2.0,1436,21,20,0.9523809523809523,15,5,0.6666666666666667,0.9442896935933147,0.5334261838440112,104.45682451253482,1.0,104.45682451253482,0.5334261838440112,0.8426529727005566,0.6215286438522633,2.3923959107009445,0.7422587076921398,0.3097752159705538,0.30977521597055374,0.12034809421179309
