method,fault_type,batch,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
Always PDRF,gaussian,8,accuracy,10,0.5824175824175825,0.5437285049749676,0.6211066598601973,0.5769230769230769,0.5494505494505495,0.6126373626373627,0.4945054945054945,0.6813186813186813
Always PDRF,gaussian,8,macro_auroc,10,0.8491391030068453,0.8291034185334465,0.869174787480244,0.8478855410816,0.8414645205172798,0.8610443973848685,0.8047346235467012,0.9009278589523696
Always PDRF,gaussian,8,correction_opportunities,10,4.8,2.4442650335958476,7.155734966404152,3.5,2.25,7.5,1.0,11.0
Always PDRF,gaussian,8,harm_opportunities,10,0.8,0.3475685674291802,1.25243143257082,1.0,0.25,1.0,0.0,2.0
Always PDRF,gaussian,8,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,gaussian,8,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,gaussian,8,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,gaussian,9,accuracy,10,0.5430303030303031,0.5176512881776427,0.5684093178829634,0.5454545454545454,0.5106060606060606,0.5712121212121213,0.49696969696969695,0.5878787878787879
Always PDRF,gaussian,9,macro_auroc,10,0.8346485355315243,0.8206184198511084,0.8486786512119402,0.833905760022813,0.8196007064598679,0.8428685755965024,0.8087504256280823,0.8739789188754686
Always PDRF,gaussian,9,correction_opportunities,10,5.4,3.577750066782511,7.22224993321749,5.5,3.5,7.5,1.0,9.0
Always PDRF,gaussian,9,harm_opportunities,10,1.8,0.9878607238927245,2.6121392761072757,2.0,1.0,2.0,0.0,4.0
Always PDRF,gaussian,9,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,gaussian,9,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,gaussian,9,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,gaussian,10,accuracy,10,0.45059322033898297,0.44076777070830364,0.4604186699696623,0.4491525423728814,0.44322033898305085,0.4588983050847458,0.4271186440677966,0.4728813559322034
Always PDRF,gaussian,10,macro_auroc,10,0.7721897652359191,0.7637758287257834,0.7806037017460548,0.7764179816099621,0.761555807532975,0.7804768869009159,0.7521699864430754,0.7870654718739258
Always PDRF,gaussian,10,correction_opportunities,10,35.7,30.563026756749196,40.83697324325081,35.0,29.5,39.25,28.0,51.0
Always PDRF,gaussian,10,harm_opportunities,10,16.3,12.169196682459159,20.430803317540843,13.5,12.25,20.25,11.0,27.0
Always PDRF,gaussian,10,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,gaussian,10,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,gaussian,10,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,offset,8,accuracy,10,0.4703296703296703,0.4056328992410959,0.5350264414182447,0.5,0.42032967032967034,0.5302197802197802,0.2857142857142857,0.5714285714285714
Always PDRF,offset,8,macro_auroc,10,0.8966982727033415,0.8822541331951075,0.9111424122115754,0.8965248003963491,0.8846852633950806,0.9104038801667853,0.8619523166008426,0.9233357091433656
Always PDRF,offset,8,correction_opportunities,10,2.7,1.1528138561320294,4.247186143867971,2.0,2.0,2.75,0.0,7.0
Always PDRF,offset,8,harm_opportunities,10,1.0,-0.16817293576503278,2.168172935765033,0.0,0.0,1.75,0.0,5.0
Always PDRF,offset,8,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,offset,8,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,offset,8,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,offset,9,accuracy,10,0.5393939393939393,0.49908444287251486,0.5797034359153638,0.5393939393939394,0.5151515151515151,0.5803030303030303,0.45454545454545453,0.6181818181818182
Always PDRF,offset,9,macro_auroc,10,0.8738961744616291,0.8584383158932873,0.889354033029971,0.8745499846862071,0.8589486662841952,0.8929531489231739,0.8370832644149058,0.902006093238486
Always PDRF,offset,9,correction_opportunities,10,6.5,3.3500820951801993,9.649917904819802,6.0,3.0,8.5,2.0,15.0
Always PDRF,offset,9,harm_opportunities,10,3.0,1.2155863656859838,4.784413634314016,2.0,1.25,4.0,0.0,8.0
Always PDRF,offset,9,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,offset,9,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,offset,9,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,offset,10,accuracy,10,0.4791525423728814,0.4673618365730077,0.4909432481727551,0.47796610169491527,0.4680084745762712,0.4906779661016949,0.4542372881355932,0.5084745762711864
Always PDRF,offset,10,macro_auroc,10,0.809637253799027,0.7980836563314042,0.8211908512666497,0.8135417225345474,0.7996799907893727,0.8215668118873178,0.782413816874962,0.8278044993314265
Always PDRF,offset,10,correction_opportunities,10,24.4,16.59856364825786,32.20143635174214,25.5,17.25,32.75,6.0,41.0
Always PDRF,offset,10,harm_opportunities,10,12.9,5.854955086328213,19.945044913671786,11.5,5.75,18.75,1.0,33.0
Always PDRF,offset,10,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,offset,10,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,offset,10,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,stuck_at,8,accuracy,10,0.48571428571428577,0.4310247718870438,0.5404037995415277,0.4945054945054945,0.4642857142857143,0.5247252747252747,0.32967032967032966,0.6043956043956044
Always PDRF,stuck_at,8,macro_auroc,10,0.8792699672109485,0.8662357278525656,0.8923042065693314,0.8760983726503266,0.8690436476017375,0.8945308982511262,0.8441154367791691,0.9043237432859947
Always PDRF,stuck_at,8,correction_opportunities,10,4.0,0.8727273773643831,7.127272622635617,2.0,2.0,3.0,1.0,14.0
Always PDRF,stuck_at,8,harm_opportunities,10,1.3,-0.3877976674930579,2.9877976674930578,0.0,0.0,1.0,0.0,7.0
Always PDRF,stuck_at,8,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,stuck_at,8,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,stuck_at,8,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,stuck_at,9,accuracy,10,0.5339393939393939,0.48274503196193064,0.5851337559168572,0.5333333333333333,0.5333333333333333,0.55,0.37575757575757573,0.6363636363636364
Always PDRF,stuck_at,9,macro_auroc,10,0.872265179327601,0.8602577515216108,0.8842726071335911,0.8711863406927396,0.8584922978815452,0.882310417361324,0.8479561054970902,0.8968194401748826
Always PDRF,stuck_at,9,correction_opportunities,10,8.7,4.989786390350796,12.410213609649203,7.5,5.5,10.5,3.0,21.0
Always PDRF,stuck_at,9,harm_opportunities,10,2.7,0.3624375983840977,5.037562401615903,1.0,1.0,4.25,0.0,10.0
Always PDRF,stuck_at,9,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,stuck_at,9,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,stuck_at,9,utility_per_10000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Always PDRF,stuck_at,10,accuracy,10,0.4692372881355932,0.45218578933834896,0.4862887869328374,0.463135593220339,0.4521186440677966,0.4883474576271186,0.43728813559322033,0.5093220338983051
Always PDRF,stuck_at,10,macro_auroc,10,0.7983929186846871,0.7892515485090351,0.8075342888603391,0.7974406199617575,0.7894965742429253,0.8052421497009932,0.7789335188572283,0.8182375136267437
Always PDRF,stuck_at,10,correction_opportunities,10,26.0,16.826556781430238,35.17344321856976,22.5,18.0,32.75,8.0,51.0
Always PDRF,stuck_at,10,harm_opportunities,10,13.6,8.223442554350257,18.976557445649743,11.0,9.25,18.25,2.0,25.0
Always PDRF,stuck_at,10,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Always PDRF,stuck_at,10,recovery_retention,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
