seed,fault_type,feature_regime,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
107,stuck_at,uncalibrated_endpoints,0.575,0.46875,Conditional Lite-CF,2.0,1436,86,12,0.13953488372093023,16,2,0.875,0.7305013927576601,0.4435933147632312,69.63788300835654,1.0,69.63788300835654,0.4435933147632312,0.8143928615203984,0.5691004684690414,2.0386992912361057,0.7689987512620357,0.2911360845279557,0.28991257166009143,0.11879255354475299
108,drift,temperature_scaled,0.9,0.31016042780748665,Conditional Lite-CF,2.0,1436,17,0,0.0,11,0,1.0,0.001392757660167131,0.49164345403899723,0.0,1.0,0.0,0.49164345403899723,0.8159102486182942,0.5648985521057593,2.7763764342517767,0.8147445817734656,0.3603732812871931,0.35950547973957314,0.135731881046464
108,gaussian,temperature_scaled,0.9,0.3504273504273504,Conditional Lite-CF,2.0,1436,39,0,0.0,24,0,1.0,0.002785515320334262,0.49442896935933145,0.0,1.0,0.0,0.49442896935933145,0.793577593793262,0.5017224840802528,2.941019749155876,0.8120950082233556,0.3487660255300584,0.3482600676589544,0.12387869137311074
108,offset,temperature_scaled,0.9,0.3571428571428571,Conditional Lite-CF,2.0,1436,21,0,0.0,14,1,0.9285714285714286,0.0006963788300835655,0.47284122562674097,-6.963788300835654,1.0,-6.963788300835654,0.47284122562674097,0.808389780670926,0.5494617204089588,3.041601857944337,0.8668531080482106,0.3793570686243093,0.3793570686243092,0.14719483012921905
108,stuck_at,temperature_scaled,0.9,0.2423529411764706,Conditional Lite-CF,2.0,1436,25,0,0.0,17,0,1.0,0.0,0.4637883008356546,0.0,1.0,0.0,0.4637883008356546,0.8004901546339188,0.5390795352107753,2.899499059757239,0.87311977060391,0.37958301318242516,0.3795830131824251,0.1490025227934363
108,drift,uncalibrated_endpoints,0.9,0.358288770053476,Conditional Lite-CF,2.0,1436,17,0,0.0,11,0,1.0,0.0006963788300835655,0.49164345403899723,0.0,1.0,0.0,0.49164345403899723,0.8158037474947993,0.5648826284694616,2.778049226928841,0.8150724308397655,0.36069470754507005,0.35982690599745015,0.13565579713483347
108,gaussian,uncalibrated_endpoints,0.9,0.3472222222222222,Conditional Lite-CF,2.0,1436,39,0,0.0,24,0,1.0,0.0020891364902506965,0.49442896935933145,0.0,1.0,0.0,0.49442896935933145,0.7935479402217723,0.5016268193873229,2.9423684521921016,0.8126022583759728,0.34899684279775955,0.3484908849266555,0.12395563046234444
108,offset,uncalibrated_endpoints,0.9,0.3095238095238095,Conditional Lite-CF,2.0,1436,21,0,0.0,14,0,1.0,0.0,0.4735376044568245,0.0,1.0,0.0,0.4735376044568245,0.8084436994570071,0.5496351666575671,3.041045973322732,0.8664589158541764,0.378972308585102,0.37897230858510195,0.1470858295712475
108,stuck_at,uncalibrated_endpoints,0.9,0.27529411764705886,Conditional Lite-CF,2.0,1436,25,0,0.0,17,0,1.0,0.0,0.4637883008356546,0.0,1.0,0.0,0.4637883008356546,0.8004901546339188,0.5390795352107753,2.899499059757239,0.87311977060391,0.37958301318242516,0.3795830131824251,0.1490025227934363
109,drift,temperature_scaled,0.65,0.4788583509513742,Conditional Lite-CF,2.0,1436,43,0,0.0,22,0,1.0,0.0,0.5215877437325905,0.0,1.0,0.0,0.5215877437325905,0.8344637890281148,0.6022905049932263,2.720143281078487,0.7753035338560612,0.32986954756099646,0.32901751690455394,0.13097472143855313
