seed,fault_type,fault_scale,fault_prevalence,stream,method,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
106,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5410863509749304,0.848271162975243,0.6333179698787462,2.3276069465741545,0.7192711216820946,0.30685471922360325,0.3068547192236033,0.11701674719217754
106,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5675487465181058,0.8536211064073504,0.6376122346260827,2.342256373149365,0.7058942203900023,0.2997174843982868,0.29922871367690423,0.11542365481936605
106,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5682451253481894,0.8513580872541165,0.6383171624712769,2.2609562310856366,0.6895769158027334,0.2831767055214254,0.2825234517302565,0.11089429638084077
106,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5675487465181058,0.8529055059803431,0.6391044715909288,2.255160330525665,0.6879464986121524,0.28552740395636117,0.28503855346688983,0.11135174685547715
106,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.525766016713092,0.8361001297280294,0.6058258418576818,2.1786778312096184,0.7264182020547907,0.28602284740012063,0.2860424578909476,0.11326708922676952
106,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5229805013927576,0.8352234764989177,0.6114472903094864,2.1518785006696057,0.7155953559595165,0.2843442099898756,0.28316689887113056,0.11256800548783687
106,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.525766016713092,0.8362732069131843,0.6120043052346371,2.1422099440924645,0.7146606955970559,0.2817650241451445,0.2817652728591265,0.11305742339570836
107,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5222841225626741,0.8242713803266645,0.5784292086923344,2.0083128875529663,0.7008554002115678,0.25402719010199987,0.2540271901020001,0.09887148656944601
107,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5389972144846796,0.8323150045790526,0.594924327999457,1.8490880074150269,0.6635917832051288,0.22870971451314398,0.2287097145131439,0.09057444031746122
107,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5264623955431755,0.8306032049706199,0.5910669792592168,1.875377214734972,0.6710659142825657,0.23635842435570875,0.23635842435570867,0.0918880951470999
107,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5215877437325905,0.8499068751297204,0.624843415885383,1.9207658244883807,0.7199434589692266,0.28311290889937485,0.28311290889937485,0.1162776596668444
107,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5410863509749304,0.8521506769679948,0.6387882579197074,1.8425187052046474,0.6871875730063581,0.25691659118990545,0.2564298070620329,0.11034910302003571
107,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.525766016713092,0.8517250193499243,0.6373325716369636,1.8467431747159813,0.6924754827342972,0.2673376994654987,0.2673376994654987,0.11233142492754623
107,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5557103064066853,0.8539311749373172,0.6367734107563369,1.728539968290046,0.6421119112597798,0.23777765753131097,0.23777765753131097,0.09610816111297975
