analysis_set,seed,fault_type,prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
strict,102,drift,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,7,0,0.0,7,0,1.0,0.7576601671309192,0.536908077994429,0.0,0.536908077994429,0.8386858900143377,0.6072097452185392,2.0055580727264664,0.7427071252041022,0.298674606050062,0.2933341552650977,0.121434968733665
strict,102,drift,0.4,strict_fault_applied_available,Tree-6,2.0,1436,7,0,0.0,7,0,1.0,0.0,0.536908077994429,0.0,0.536908077994429,0.8348236289052858,0.6029416949801575,2.2737487398908605,0.7684174199900061,0.3179786775796064,0.312638226794642,0.12693614237599823
strict,102,drift,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,7,2,0.2857142857142857,7,0,1.0,0.010445682451253482,0.5383008356545961,13.927576601671309,0.5383008356545961,0.8349370217708039,0.6028396196154362,2.264951339810296,0.7681844919137942,0.3175737226348816,0.31223327184991717,0.12683905924692335
strict,102,drift,0.4,strict_fault_applied_available,Cascade-25,3.395543175487465,1436,7,1,0.14285714285714285,7,0,1.0,0.5584958217270195,0.5376044568245125,6.963788300835654,0.5376044568245125,0.8370401665463308,0.6047014597316622,2.074024941368697,0.759341259790247,0.3099459955003379,0.3046055447153735,0.12404435229807971
strict,102,drift,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,7,0,0.0,7,0,1.0,0.0,0.536908077994429,0.0,0.536908077994429,0.8348236289052858,0.6029416949801575,2.2737487398908605,0.7684174199900061,0.3179786775796064,0.312638226794642,0.12693614237599823
strict,102,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,7,7,1.0,7,7,0.0,1.0,0.536908077994429,0.0,0.536908077994429,0.8392167149846097,0.6071407806154172,1.9552199558732697,0.729570131806464,0.28520825014917284,0.28127598110742585,0.11773577400898448
strict,102,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,49,7,0.14285714285714285,15,1,0.9333333333333333,0.5522284122562674,0.4756267409470752,41.78272980501393,0.4756267409470752,0.7927729260479978,0.5131847609422809,2.6439120877530478,0.8219759186115793,0.3392069686915857,0.3381809583705804,0.12434722703225519
strict,102,gaussian,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,49,2,0.04081632653061224,15,0,1.0,0.6434540389972145,0.47284122562674097,13.927576601671309,0.47284122562674097,0.7941079287451419,0.5151844220167648,2.576645265778618,0.8116514484122419,0.3331124139600993,0.3320864036390939,0.12206785784822123
strict,102,gaussian,0.4,strict_fault_applied_available,Tree-6,2.0,1436,49,0,0.0,15,0,1.0,0.0,0.4714484679665738,0.0,0.4714484679665738,0.7862003761367841,0.5016691422782378,2.9683837172862226,0.8333847211073275,0.34186101986209333,0.340835009541088,0.12639295299850725
strict,102,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,49,2,0.04081632653061224,15,0,1.0,0.026462395543175487,0.47284122562674097,13.927576601671309,0.47284122562674097,0.7862792992459289,0.502323194067629,2.959815447769015,0.8318920233623898,0.3443485371234267,0.3433225268024215,0.12577291108121977
