seed,fault_type,stream,fault_prevalence,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_retained_per_10000,harms_realized_per_10000,net_utility_per_10000
107,stuck_at,full_mixed_70pct,0.7,2.0,0.5,52.70394133822182,4.582951420714941,43.038038496791934
107,stuck_at,full_mixed_70pct,0.7,2.0,2.0,52.70394133822182,4.582951420714941,41.538038496791934
107,stuck_at,full_mixed_70pct,0.7,5.0,0.0,52.70394133822182,4.582951420714941,29.789184234647113
107,stuck_at,full_mixed_70pct,0.7,5.0,0.5,52.70394133822182,4.582951420714941,29.289184234647113
107,stuck_at,full_mixed_70pct,0.7,5.0,2.0,52.70394133822182,4.582951420714941,27.789184234647113
107,none,clean_no_imposed_fault,0.0,1.0,0.0,0.0,0.0,0.0
107,none,clean_no_imposed_fault,0.0,1.0,0.5,0.0,0.0,-0.5
107,none,clean_no_imposed_fault,0.0,1.0,2.0,0.0,0.0,-2.0
107,none,clean_no_imposed_fault,0.0,2.0,0.0,0.0,0.0,0.0
107,none,clean_no_imposed_fault,0.0,2.0,0.5,0.0,0.0,-0.5
107,none,clean_no_imposed_fault,0.0,2.0,2.0,0.0,0.0,-2.0
107,none,clean_no_imposed_fault,0.0,5.0,0.0,0.0,0.0,0.0
107,none,clean_no_imposed_fault,0.0,5.0,0.5,0.0,0.0,-0.5
107,none,clean_no_imposed_fault,0.0,5.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_10pct,0.1,1.0,0.0,0.0,0.0,0.0
108,gaussian,full_mixed_10pct,0.1,1.0,0.5,0.0,0.0,-0.5
108,gaussian,full_mixed_10pct,0.1,1.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_10pct,0.1,2.0,0.0,0.0,0.0,0.0
108,gaussian,full_mixed_10pct,0.1,2.0,0.5,0.0,0.0,-0.5
108,gaussian,full_mixed_10pct,0.1,2.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_10pct,0.1,5.0,0.0,0.0,0.0,0.0
108,gaussian,full_mixed_10pct,0.1,5.0,0.5,0.0,0.0,-0.5
108,gaussian,full_mixed_10pct,0.1,5.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_stream,0.4,1.0,0.0,0.0,0.0,0.0
108,gaussian,full_mixed_stream,0.4,1.0,0.5,0.0,0.0,-0.5
108,gaussian,full_mixed_stream,0.4,1.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_stream,0.4,2.0,0.0,0.0,0.0,0.0
108,gaussian,full_mixed_stream,0.4,2.0,0.5,0.0,0.0,-0.5
108,gaussian,full_mixed_stream,0.4,2.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_stream,0.4,5.0,0.0,0.0,0.0,0.0
108,gaussian,full_mixed_stream,0.4,5.0,0.5,0.0,0.0,-0.5
108,gaussian,full_mixed_stream,0.4,5.0,2.0,0.0,0.0,-2.0
108,gaussian,full_mixed_70pct,0.7,1.0,0.0,0.0,2.2914757103574703,-2.2914757103574703
108,gaussian,full_mixed_70pct,0.7,1.0,0.5,0.0,2.2914757103574703,-2.7914757103574703
108,gaussian,full_mixed_70pct,0.7,1.0,2.0,0.0,2.2914757103574703,-4.291475710357471
108,gaussian,full_mixed_70pct,0.7,2.0,0.0,0.0,2.2914757103574703,-4.582951420714941
108,gaussian,full_mixed_70pct,0.7,2.0,0.5,0.0,2.2914757103574703,-5.082951420714941
108,gaussian,full_mixed_70pct,0.7,2.0,2.0,0.0,2.2914757103574703,-6.582951420714941
108,gaussian,full_mixed_70pct,0.7,5.0,0.0,0.0,2.2914757103574703,-11.457378551787352
108,gaussian,full_mixed_70pct,0.7,5.0,0.5,0.0,2.2914757103574703,-11.957378551787352
108,gaussian,full_mixed_70pct,0.7,5.0,2.0,0.0,2.2914757103574703,-13.457378551787352
108,offset,full_mixed_10pct,0.1,1.0,0.0,0.0,0.0,0.0
108,offset,full_mixed_10pct,0.1,1.0,0.5,0.0,0.0,-0.5
108,offset,full_mixed_10pct,0.1,1.0,2.0,0.0,0.0,-2.0
108,offset,full_mixed_10pct,0.1,2.0,0.0,0.0,0.0,0.0
108,offset,full_mixed_10pct,0.1,2.0,0.5,0.0,0.0,-0.5
108,offset,full_mixed_10pct,0.1,2.0,2.0,0.0,0.0,-2.0
108,offset,full_mixed_10pct,0.1,5.0,0.0,0.0,0.0,0.0
108,offset,full_mixed_10pct,0.1,5.0,0.5,0.0,0.0,-0.5
108,offset,full_mixed_10pct,0.1,5.0,2.0,0.0,0.0,-2.0
108,offset,full_mixed_stream,0.4,1.0,0.0,0.0,2.2914757103574703,-2.2914757103574703
108,offset,full_mixed_stream,0.4,1.0,0.5,0.0,2.2914757103574703,-2.7914757103574703
108,offset,full_mixed_stream,0.4,1.0,2.0,0.0,2.2914757103574703,-4.291475710357471
108,offset,full_mixed_stream,0.4,2.0,0.0,0.0,2.2914757103574703,-4.582951420714941
108,offset,full_mixed_stream,0.4,2.0,0.5,0.0,2.2914757103574703,-5.082951420714941
