analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,106,stuck_at,0.4,strict_fault_applied_available,Tree-6,4,253,0.7832769237451512,0.3602291335191199,0.11857707509881422
strict,106,stuck_at,0.4,strict_fault_applied_available,Tree-6,5,266,0.844367328577855,0.7461747773013252,0.5902255639097744
strict,106,stuck_at,0.4,strict_fault_applied_available,Tree-6,6,237,0.7525979807364083,0.3183910422910141,0.6118143459915611
strict,106,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,1,230,0.7943453024731415,0.6222219945318683,0.6521739130434783
strict,106,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,2,220,0.8878065191387559,0.7102933087714532,0.5227272727272727
strict,106,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,3,230,0.9199113130002163,0.8267920911938395,0.5695652173913044
strict,106,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,4,253,0.7749875542517682,0.3505469813595344,0.11857707509881422
strict,106,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,5,266,0.8387025255446308,0.7385230226751447,0.5789473684210527
strict,106,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,6,237,0.7531733547295039,0.30845073840285925,0.6118143459915611
strict,106,stuck_at,0.4,strict_fault_applied_available,Cascade-25,1,230,0.7880831350493906,0.6260237563011916,0.6521739130434783
strict,106,stuck_at,0.4,strict_fault_applied_available,Cascade-25,2,220,0.890333433014354,0.7218363081974518,0.5227272727272727
strict,106,stuck_at,0.4,strict_fault_applied_available,Cascade-25,3,230,0.9213173264114212,0.8292183767544846,0.5695652173913044
strict,106,stuck_at,0.4,strict_fault_applied_available,Cascade-25,4,253,0.7731399035746862,0.3534741164789439,0.11857707509881422
strict,106,stuck_at,0.4,strict_fault_applied_available,Cascade-25,5,266,0.8442098836835679,0.7453985602988262,0.5789473684210527
strict,106,stuck_at,0.4,strict_fault_applied_available,Cascade-25,6,237,0.7543751297670704,0.3212135707915542,0.6118143459915611
strict,106,stuck_at,0.4,strict_fault_applied_available,Always PDRF,1,230,0.7948608407239166,0.6226144804065256,0.6521739130434783
strict,106,stuck_at,0.4,strict_fault_applied_available,Always PDRF,2,220,0.8880121112440191,0.7096605661084253,0.5227272727272727
strict,106,stuck_at,0.4,strict_fault_applied_available,Always PDRF,3,230,0.9199149181628091,0.8265424349065034,0.5695652173913044
strict,106,stuck_at,0.4,strict_fault_applied_available,Always PDRF,4,253,0.7726220268026288,0.3485951643851017,0.11857707509881422
strict,106,stuck_at,0.4,strict_fault_applied_available,Always PDRF,5,266,0.8385739991003149,0.7384350693736458,0.575187969924812
