seed,fault_type,batch,n,full_minus_pdrf_auroc,safe_minus_pdrf_auroc,safe_minus_full_auroc
110,drift,9,165,0.006447229387355424,-0.00020107209615349841,-0.006648301483508923
110,drift,10,1180,-0.002517097782049449,0.0016982115662823594,0.004215309348331808
110,gaussian,8,91,0.0189568861640943,0.0159660527710187,-0.002990833393075598
110,gaussian,9,165,0.030186730668546935,0.001979817808788198,-0.028206912859758737
110,gaussian,10,1180,0.012645011153440522,0.0017058921841899277,-0.010939118969250594
110,offset,8,91,0.006411392519168779,-0.005012513262479978,-0.011423905781648758
110,offset,9,165,0.014309124319017763,0.004636256874238187,-0.009672867444779576
110,offset,10,1180,-0.0029938878186832607,0.0009219825519892755,0.003915870370672536
110,stuck_at,8,91,0.015300011298410854,0.0022274197477613056,-0.013072591550649548
110,stuck_at,9,165,0.01831964456367663,0.0026258824986166163,-0.015693762065060013
110,stuck_at,10,1180,0.0021550515824864114,0.0033775517615592943,0.0012225001790728829
