calibration_regime,heldout_or_test_mechanism,seed,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
leave_one_mechanism_out,gaussian,105,Conditional Lite-CF,2.0,1436,36,11,0.3055555555555556,14,3,0.7857142857142857,0.2883008356545961,0.4742339832869081,55.710306406685234,1.0,55.710306406685234,0.4742339832869081,0.7938850254402327,0.5308020680984881,2.53399656628362,0.7929362809231285,0.3184026315768526,0.31740256777689063,0.11966532615067671
leave_one_mechanism_out,gaussian,105,All-row multinomial,2.0,1436,36,0,0.0,14,0,1.0,0.0,0.46866295264623953,0.0,1.0,0.0,0.46866295264623953,0.7922143448823852,0.5272439559862733,2.54896701987086,0.7926728583098784,0.30728649900428673,0.30728649900428673,0.11816700165292877
leave_one_mechanism_out,offset,105,Conditional Lite-CF,2.0,1436,34,0,0.0,22,0,1.0,0.7144846796657381,0.49930362116991645,0.0,1.0,0.0,0.49930362116991645,0.836350984538595,0.5983048889545396,1.809534807239818,0.721198334431035,0.25342465792049135,0.2523848871261353,0.11824014679490348
leave_one_mechanism_out,offset,105,All-row multinomial,2.0,1436,34,12,0.35294117647058826,22,2,0.9090909090909091,0.19707520891364902,0.5062674094707521,69.63788300835654,1.0,69.63788300835654,0.5062674094707521,0.8342722640252109,0.5939341993673845,1.8377579975921594,0.7251937634130637,0.2502076092450285,0.24916783845067247,0.11800704052634735
leave_one_mechanism_out,drift,105,Conditional Lite-CF,2.0,1436,20,2,0.1,16,0,1.0,0.7346796657381616,0.5299442896935933,13.927576601671309,1.0,13.927576601671309,0.5299442896935933,0.845739947334993,0.6174909354810759,1.6839062527758986,0.6728661579415426,0.23113091572511982,0.2311309157251198,0.10560008252672463
leave_one_mechanism_out,drift,105,All-row multinomial,2.0,1436,20,0,0.0,16,0,1.0,0.0,0.5285515320334262,0.0,1.0,0.0,0.5285515320334262,0.8441991225697406,0.6168680297539547,1.7071169055838036,0.6813240574441806,0.23064789627314808,0.23064789627314813,0.10868422164090924
leave_one_mechanism_out,stuck_at,105,Conditional Lite-CF,2.0,1436,45,2,0.044444444444444446,11,0,1.0,0.7959610027855153,0.4554317548746518,13.927576601671309,1.0,13.927576601671309,0.4554317548746518,0.818354836797084,0.5757156926717611,1.837409018332088,0.7500650537968864,0.27620200714343807,0.2762020071434381,0.11761155883193697
leave_one_mechanism_out,stuck_at,105,All-row multinomial,2.0,1436,45,10,0.2222222222222222,11,0,1.0,0.20543175487465182,0.4610027855153203,69.63788300835654,1.0,69.63788300835654,0.4610027855153203,0.8167617740600736,0.5731857247739743,1.8789617318471052,0.7608145136505575,0.27473667751827924,0.27473667751827924,0.1191993844203239
gaussian_only,gaussian,105,Conditional Lite-CF,2.0,1436,36,4,0.1111111111111111,14,0,1.0,0.7590529247910863,0.4714484679665738,27.855153203342617,1.0,27.855153203342617,0.4714484679665738,0.7990143839601574,0.5375781324465675,2.3525256489701265,0.7715692442185055,0.30124632333112195,0.3012463233311219,0.11359435749702455
gaussian_only,offset,105,Conditional Lite-CF,2.0,1436,34,2,0.058823529411764705,22,1,0.9545454545454546,0.7555710306406686,0.5,6.963788300835654,1.0,6.963788300835654,0.5,0.835928528743329,0.5975489892156453,1.8073554108761478,0.7184101498108941,0.24811633339452838,0.24707656260017227,0.11786995650100364
gaussian_only,drift,105,Conditional Lite-CF,2.0,1436,20,2,0.1,16,1,0.9375,0.7527855153203342,0.5292479108635098,6.963788300835654,1.0,6.963788300835654,0.5292479108635098,0.8457990516297857,0.6177983648548147,1.6787828333303605,0.6696827766177075,0.22829225212999057,0.22829225212999057,0.10531371157855644
gaussian_only,stuck_at,105,Conditional Lite-CF,2.0,1436,45,2,0.044444444444444446,11,0,1.0,0.7165738161559888,0.4554317548746518,13.927576601671309,1.0,13.927576601671309,0.4554317548746518,0.818533415106391,0.575997971319164,1.835589935390994,0.7504013023984459,0.27219724644591986,0.27219724644591986,0.1168436606999092
gaussian_only,gaussian,105,All-row multinomial,2.0,1436,36,0,0.0,14,0,1.0,0.006963788300835654,0.46866295264623953,0.0,1.0,0.0,0.46866295264623953,0.7924393325251892,0.5276559976362413,2.5503176786420694,0.7933600547247205,0.30890197260503877,0.30890197260503877,0.1183403022495348
gaussian_only,offset,105,All-row multinomial,2.0,1436,34,0,0.0,22,0,1.0,0.003481894150417827,0.49930362116991645,0.0,1.0,0.0,0.49930362116991645,0.8348584970325209,0.5948676697324803,1.8412932743354988,0.7283899308542974,0.25010345064642175,0.24906367985206573,0.1183720991604778
gaussian_only,drift,105,All-row multinomial,2.0,1436,20,0,0.0,16,0,1.0,0.0006963788300835655,0.5285515320334262,0.0,1.0,0.0,0.5285515320334262,0.844235517555616,0.6169141354635589,1.7070125936976093,0.6812649707961206,0.23071921246406968,0.23071921246406973,0.10862860326805464
gaussian_only,stuck_at,105,All-row multinomial,2.0,1436,45,0,0.0,11,0,1.0,0.002785515320334262,0.45403899721448465,0.0,1.0,0.0,0.45403899721448465,0.8155588379053214,0.5720842927087696,1.8797504002527947,0.7635497376372483,0.27186168826393514,0.27186168826393514,0.1201945161670055
