method,seed,view,metric,value
Always PDRF,108,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,108,equal_weight_batches,utility_per_10000,0.0
Always PDRF,108,worst_batch,utility_per_10000,0.0
Always PDRF,108,B8-9_pooled,utility_per_10000,0.0
Always PDRF,108,B10,utility_per_10000,0.0
Always PDRF,109,observation_weighted_overall,accuracy,0.4829387186629527
Always PDRF,109,equal_weight_batches,accuracy,0.5030235066252016
Always PDRF,109,worst_batch,accuracy,0.47478813559322036
Always PDRF,109,B8-9_pooled,accuracy,0.5205078125
Always PDRF,109,B10,accuracy,0.4747881355932203
Always PDRF,109,observation_weighted_overall,macro_auroc,0.8163511582439315
Always PDRF,109,equal_weight_batches,macro_auroc,0.8535204383696754
Always PDRF,109,worst_batch,macro_auroc,0.8054070160465694
Always PDRF,109,B8-9_pooled,macro_auroc,0.8625338111736269
Always PDRF,109,B10,macro_auroc,0.8054070160465694
Always PDRF,109,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,109,equal_weight_batches,utility_per_10000,0.0
Always PDRF,109,worst_batch,utility_per_10000,0.0
Always PDRF,109,B8-9_pooled,utility_per_10000,0.0
Always PDRF,109,B10,utility_per_10000,0.0
Always PDRF,110,observation_weighted_overall,accuracy,0.4963440111420613
Always PDRF,110,equal_weight_batches,accuracy,0.5462877282792538
Always PDRF,110,worst_batch,accuracy,0.47605932203389834
Always PDRF,110,B8-9_pooled,accuracy,0.58984375
Always PDRF,110,B10,accuracy,0.47605932203389834
Always PDRF,110,observation_weighted_overall,macro_auroc,0.7958211485811875
Always PDRF,110,equal_weight_batches,macro_auroc,0.8570039492561997
Always PDRF,110,worst_batch,macro_auroc,0.7776950008005586
Always PDRF,110,B8-9_pooled,macro_auroc,0.8874414971127038
Always PDRF,110,B10,macro_auroc,0.7776950008005586
Always PDRF,110,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,110,equal_weight_batches,utility_per_10000,0.0
Always PDRF,110,worst_batch,utility_per_10000,0.0
Always PDRF,110,B8-9_pooled,utility_per_10000,0.0
Always PDRF,110,B10,utility_per_10000,0.0
Always RO-PDRF-Lite,101,observation_weighted_overall,accuracy,0.4993036211699164
Always RO-PDRF-Lite,101,equal_weight_batches,accuracy,0.5400318137606273
Always RO-PDRF-Lite,101,worst_batch,accuracy,0.48389830508474574
Always RO-PDRF-Lite,101,B8-9_pooled,accuracy,0.5703125
Always RO-PDRF-Lite,101,B10,accuracy,0.4838983050847458
Always RO-PDRF-Lite,101,observation_weighted_overall,macro_auroc,0.82852660707593
Always RO-PDRF-Lite,101,equal_weight_batches,macro_auroc,0.8787460761720132
Always RO-PDRF-Lite,101,worst_batch,macro_auroc,0.8172826355133651
Always RO-PDRF-Lite,101,B8-9_pooled,macro_auroc,0.9000322807553471
Always RO-PDRF-Lite,101,B10,macro_auroc,0.8172826355133651
Always RO-PDRF-Lite,101,observation_weighted_overall,utility_per_10000,135.79387186629526
Always RO-PDRF-Lite,101,equal_weight_batches,utility_per_10000,264.39567964991693
Always RO-PDRF-Lite,101,worst_batch,utility_per_10000,93.22033898305085
Always RO-PDRF-Lite,101,B8-9_pooled,utility_per_10000,332.03125
Always RO-PDRF-Lite,101,B10,utility_per_10000,93.22033898305085
Always RO-PDRF-Lite,102,observation_weighted_overall,accuracy,0.5154944289693594
Always RO-PDRF-Lite,102,equal_weight_batches,accuracy,0.5426587066417575
Always RO-PDRF-Lite,102,worst_batch,accuracy,0.5021186440677967
Always RO-PDRF-Lite,102,B8-9_pooled,accuracy,0.5771484375
Always RO-PDRF-Lite,102,B10,accuracy,0.5021186440677967
Always RO-PDRF-Lite,102,observation_weighted_overall,macro_auroc,0.8257034267188974
Always RO-PDRF-Lite,102,equal_weight_batches,macro_auroc,0.8589439072622197
Always RO-PDRF-Lite,102,worst_batch,macro_auroc,0.8117202342047505
Always RO-PDRF-Lite,102,B8-9_pooled,macro_auroc,0.8751688800651598
Always RO-PDRF-Lite,102,B10,macro_auroc,0.8117202342047505
Always RO-PDRF-Lite,102,observation_weighted_overall,utility_per_10000,71.37883008356546
Always RO-PDRF-Lite,102,equal_weight_batches,utility_per_10000,139.2962028555249
Always RO-PDRF-Lite,102,worst_batch,utility_per_10000,55.08474576271186
Always RO-PDRF-Lite,102,B8-9_pooled,utility_per_10000,146.484375
Always RO-PDRF-Lite,102,B10,utility_per_10000,55.08474576271187
Always RO-PDRF-Lite,103,observation_weighted_overall,accuracy,0.49042479108635095
Always RO-PDRF-Lite,103,equal_weight_batches,accuracy,0.529787726397896
Always RO-PDRF-Lite,103,worst_batch,accuracy,0.47372881355932206
Always RO-PDRF-Lite,103,B8-9_pooled,accuracy,0.5673828125
Always RO-PDRF-Lite,103,B10,accuracy,0.47372881355932206
Always RO-PDRF-Lite,103,observation_weighted_overall,macro_auroc,0.8009576812436483
Always RO-PDRF-Lite,103,equal_weight_batches,macro_auroc,0.8440150633849726
Always RO-PDRF-Lite,103,worst_batch,macro_auroc,0.7881077839395878
Always RO-PDRF-Lite,103,B8-9_pooled,macro_auroc,0.8578293213497983
Always RO-PDRF-Lite,103,B10,macro_auroc,0.7881077839395879
Always RO-PDRF-Lite,103,observation_weighted_overall,utility_per_10000,205.4317548746518
Always RO-PDRF-Lite,103,equal_weight_batches,utility_per_10000,385.60850637121825
Always RO-PDRF-Lite,103,worst_batch,utility_per_10000,154.66101694915253
Always RO-PDRF-Lite,103,B8-9_pooled,utility_per_10000,439.453125
Always RO-PDRF-Lite,103,B10,utility_per_10000,154.66101694915253
Always RO-PDRF-Lite,104,observation_weighted_overall,accuracy,0.49808495821727017
Always RO-PDRF-Lite,104,equal_weight_batches,accuracy,0.5417096086587612
Always RO-PDRF-Lite,104,worst_batch,accuracy,0.48135593220338985
Always RO-PDRF-Lite,104,B8-9_pooled,accuracy,0.5751953125
Always RO-PDRF-Lite,104,B10,accuracy,0.48135593220338985
Always RO-PDRF-Lite,104,observation_weighted_overall,macro_auroc,0.8098610727247472
Always RO-PDRF-Lite,104,equal_weight_batches,macro_auroc,0.860473581289004
Always RO-PDRF-Lite,104,worst_batch,macro_auroc,0.7964724192058604
Always RO-PDRF-Lite,104,B8-9_pooled,macro_auroc,0.8784891771782656
Always RO-PDRF-Lite,104,B10,macro_auroc,0.7964724192058604
Always RO-PDRF-Lite,104,observation_weighted_overall,utility_per_10000,78.3426183844011
Always RO-PDRF-Lite,104,equal_weight_batches,utility_per_10000,-58.0267190436682
Always RO-PDRF-Lite,104,worst_batch,utility_per_10000,-164.83516483516485
Always RO-PDRF-Lite,104,B8-9_pooled,utility_per_10000,-146.484375
Always RO-PDRF-Lite,104,B10,utility_per_10000,127.11864406779661
Always RO-PDRF-Lite,105,observation_weighted_overall,accuracy,0.5001740947075208
Always RO-PDRF-Lite,105,equal_weight_batches,accuracy,0.5499186312745635
Always RO-PDRF-Lite,105,worst_batch,accuracy,0.48050847457627116
Always RO-PDRF-Lite,105,B8-9_pooled,accuracy,0.5908203125
Always RO-PDRF-Lite,105,B10,accuracy,0.4805084745762712
