seed,repeat,C,auroc,auprc,brier,threshold,threshold_tie_count
108,5,0.05,0.6654135338345865,0.4003384028045498,0.22893588379363966,0.9,4
108,1,0.1,0.6921992481203008,0.4200918571830317,0.21836859707084602,0.9,9
108,2,0.1,0.6837406015037594,0.3850575072381445,0.22209029517539963,0.9,3
108,3,0.1,0.6762218045112782,0.42282923796039484,0.2253403942517619,0.9,5
108,4,0.1,0.6339285714285714,0.3624576138887262,0.23230183726414416,0.9,3
108,5,0.1,0.6964285714285714,0.42958648366469465,0.22442380890666636,0.9,4
108,1,0.5,0.7551691729323309,0.45090019670172504,0.2066198059497766,0.9,1
108,2,0.5,0.7293233082706767,0.42336004888613565,0.21207895234233434,0.9,1
108,3,0.5,0.7725563909774437,0.4767773164679233,0.20098747280371387,0.9,2
108,4,0.5,0.75046992481203,0.4664786981467412,0.20130168238246787,0.9,3
108,5,0.5,0.763157894736842,0.4684833138361679,0.20433639494283395,0.9,1
108,1,1.0,0.6893796992481203,0.393339595665804,0.2187574188603514,0.9,1
108,2,1.0,0.7706766917293233,0.467977151286124,0.19663219039409993,0.9,1
108,3,1.0,0.7593984962406015,0.46088608936779957,0.2018129617441408,0.9,2
108,4,1.0,0.7420112781954887,0.44247423493503113,0.20847486533337828,0.9,1
108,5,1.0,0.7387218045112782,0.4483049005124573,0.21020165460523338,0.9,1
108,1,5.0,0.7702067669172932,0.47603265760199615,0.19275474865703443,0.9,1
108,2,5.0,0.7650375939849624,0.46909720353066264,0.19581763479371686,0.9,1
108,3,5.0,0.7509398496240601,0.4511864647632633,0.2019122848602117,0.9,1
108,4,5.0,0.7471804511278196,0.4517205628857344,0.20544913640521742,0.9,1
108,5,5.0,0.7119360902255639,0.40367804877076185,0.21777164151091524,0.9,2
109,1,0.01,0.418227215980025,0.816299181177748,0.2509540157499066,0.625,2
109,2,0.01,0.43508114856429464,0.8446547244301209,0.24972062726229707,0.55,1
109,3,0.01,0.3264669163545568,0.7734369013244903,0.2547208255369064,0.9,12
109,4,0.01,0.3770287141073658,0.8057617585148744,0.2506748879485799,0.9,13
109,5,0.01,0.43008739076154806,0.8339682610076069,0.2518527418419092,0.9,14
109,1,0.05,0.4806491885143571,0.8456031323500539,0.25170199741867494,0.65,1
109,2,0.05,0.5093632958801497,0.8577593097631353,0.24623999376518835,0.625,1
109,3,0.05,0.5099875156054932,0.8559609026387147,0.2437384698332834,0.675,1
109,4,0.05,0.5062421972534332,0.8325220039053862,0.24902558789575172,0.9,9
109,5,0.05,0.4706616729088639,0.8631178876970544,0.24740853040270802,0.55,1
109,1,0.1,0.5699126092384519,0.8617689823521764,0.24171783457824428,0.7,1
109,2,0.1,0.6423220973782772,0.8994614869526756,0.2382151245273701,0.65,1
109,3,0.1,0.5518102372034956,0.8785771602623462,0.24158544937006943,0.6,1
109,4,0.1,0.5249687890137328,0.8617573313245588,0.23882318471944736,0.675,1
109,5,0.1,0.5898876404494382,0.8631337403630311,0.23920781435536748,0.9,8
109,1,0.5,0.6772784019975031,0.9047380521513961,0.2164071720843206,0.75,1
109,2,0.5,0.6610486891385767,0.8888357064885011,0.2202638141254313,0.775,2
109,3,0.5,0.6835205992509363,0.898232232470343,0.21444795167036246,0.875,4
109,4,0.5,0.6429463171036205,0.8781114396480713,0.22513671865747262,0.9,3
109,5,0.5,0.6616729088639202,0.9118439483697212,0.2246505420288243,0.675,1
109,1,1.0,0.6903870162297128,0.9060463822133468,0.20712034988570063,0.8,1
109,2,1.0,0.684769038701623,0.8996293448280563,0.2152231382146312,0.9,1
109,3,1.0,0.682896379525593,0.9024703252342439,0.21467664170641468,0.9,1
109,4,1.0,0.6354556803995006,0.8803232611160985,0.2215118802688565,0.8500000000000001,1
109,5,1.0,0.7240948813982523,0.9173749532307947,0.2046283771654675,0.8500000000000001,3
109,1,5.0,0.7559300873907615,0.9257891845773335,0.19290253045291486,0.65,1
109,2,5.0,0.6373283395755306,0.8753020493699335,0.22398044433752107,0.775,1
109,3,5.0,0.7041198501872659,0.9065167277667361,0.19924907733604394,0.9,1
109,4,5.0,0.7153558052434458,0.9134309464343077,0.19922023871585162,0.7,1
