method,calibration_severity,test_severity,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
Conditional Lite-CF,1.0,1.0,recovery_retention,40,0.0834728882539657,0.044643155414562846,0.12230262109336856,0.00980392156862745,0.0,0.16666666666666666,0.0,0.46875
Conditional Lite-CF,1.0,1.0,utility_per_10000,40,2.089136490250696,-3.034374029986168,7.21264701048756,0.0,0.0,6.963788300835654,-48.74651810584958,55.710306406685234
Conditional Lite-CF,1.0,1.0,macro_auroc,40,0.8354808858876105,0.8315538573006773,0.8394079144745437,0.8334426178303243,0.8277947248203064,0.8475052221118798,0.8097064428842407,0.8558028592734394
Conditional Lite-CF,1.0,2.0,negative_transfer_prevention,40,0.8358187334983084,0.7656187309093618,0.9060187360872549,0.931712962962963,0.7589285714285714,1.0,0.2222222222222222,1.0
Conditional Lite-CF,1.0,2.0,recovery_retention,40,0.11201963604995094,0.06337175701897056,0.1606675150809313,0.024758454106280192,0.0,0.18269230769230768,0.0,0.5333333333333333
Conditional Lite-CF,1.0,2.0,utility_per_10000,40,6.615598885793872,0.8884502177372147,12.34274755385053,0.0,0.0,8.704735376044567,-20.891364902506965,62.674094707520894
Conditional Lite-CF,1.0,2.0,macro_auroc,40,0.8245237913934617,0.8197055221962247,0.8293420605906986,0.8228431404296673,0.814393455206463,0.8382689747536662,0.7951926318721251,0.8484294562979775
Conditional Lite-CF,1.0,3.0,negative_transfer_prevention,40,0.805130799487683,0.7185634031804271,0.8916981957949388,1.0,0.6504702194357367,1.0,0.11764705882352944,1.0
Conditional Lite-CF,1.0,3.0,recovery_retention,40,0.11497395200378838,0.07115596287722625,0.1587919411303505,0.07194767441860465,0.0,0.1792279411764706,0.0,0.44680851063829785
Conditional Lite-CF,1.0,3.0,utility_per_10000,40,5.919220055710307,-2.4375510651145476,14.275991176535161,0.0,0.0,15.668523676880223,-48.74651810584958,90.5292479108635
