seed,fault_type,method,class,n,auroc,auprc,recall
103,gaussian,PDRF,6,237,0.676492013386683,0.2698626902584025,0.25738396624472576
103,gaussian,RO-PDRF-Lite,1,230,0.7766421515610354,0.4405816463421099,0.5956521739130435
103,gaussian,RO-PDRF-Lite,2,220,0.8202227870813398,0.5749194993758613,0.5545454545454546
103,gaussian,RO-PDRF-Lite,3,230,0.8701636743817147,0.6926603825122787,0.6130434782608696
103,gaussian,RO-PDRF-Lite,4,253,0.6989231504281672,0.27385485501135143,0.16205533596837945
103,gaussian,RO-PDRF-Lite,5,266,0.8273713128976288,0.6874095683335445,0.6390977443609023
103,gaussian,RO-PDRF-Lite,6,237,0.6958259871974888,0.2843146789726042,0.2742616033755274
103,gaussian,Lite-CF,1,230,0.7794541783834451,0.43964601065255926,0.6
103,gaussian,Lite-CF,2,220,0.8067135167464115,0.555070067138534,0.4954545454545455
103,gaussian,Lite-CF,3,230,0.8619006417189414,0.6685438204938656,0.5826086956521739
103,gaussian,Lite-CF,4,253,0.6841553095733698,0.2639954968369599,0.1541501976284585
103,gaussian,Lite-CF,5,266,0.829688002056423,0.6846475173352304,0.6052631578947368
103,gaussian,Lite-CF,6,237,0.683206469526293,0.2745742829811217,0.25738396624472576
103,offset,PDRF,1,230,0.7922813468887447,0.4778568772674577,0.3739130434782609
103,offset,PDRF,2,220,0.8536707535885166,0.6666405051772946,0.38636363636363635
103,offset,PDRF,3,230,0.8834667243492681,0.7835920852601885,0.40869565217391307
103,offset,PDRF,4,253,0.6080675177665145,0.21989338738851838,0.04743083003952569
103,offset,PDRF,5,266,0.8190717177559284,0.6971953386515372,0.5864661654135338
103,offset,PDRF,6,237,0.8022490612782102,0.3689860293456138,0.9662447257383966
