seed,repeat,features,C,auroc,auprc,brier,threshold
108,5,confidence_entropy_6,0.05,0.7535403050108933,0.7391086061374027,0.20136131518872796,0.825
108,1,confidence_entropy_6,0.1,0.7412854030501089,0.7328317995074987,0.20155322768022615,0.825
108,2,confidence_entropy_6,0.1,0.7497276688453158,0.7350815091807703,0.2002121046104004,0.825
108,3,confidence_entropy_6,0.1,0.7546296296296295,0.7494416461980247,0.19736241842191532,0.8
108,4,confidence_entropy_6,0.1,0.7415577342047931,0.7295716972331625,0.20224151950956548,0.8
108,5,confidence_entropy_6,0.1,0.7415577342047931,0.734000695576965,0.20103677393895808,0.8
108,1,confidence_entropy_6,0.5,0.7374727668845316,0.744743966547891,0.20039915837185673,0.825
108,2,confidence_entropy_6,0.5,0.7418300653594772,0.7403089887992982,0.2013920133266128,0.8500000000000001
108,3,confidence_entropy_6,0.5,0.7453703703703705,0.7323541450580029,0.1986203228403374,0.9
108,4,confidence_entropy_6,0.5,0.7464596949891068,0.7426369330267022,0.19551420006066492,0.875
108,5,confidence_entropy_6,0.5,0.7480936819172113,0.7467132236083165,0.19751762472222117,0.875
108,1,confidence_entropy_6,1.0,0.7546296296296297,0.7382337148072513,0.19564408410859493,0.9
108,2,confidence_entropy_6,1.0,0.7352941176470589,0.7421399442539305,0.20341517905917192,0.875
108,3,confidence_entropy_6,1.0,0.7372004357298476,0.747900340861331,0.2022277442079034,0.8500000000000001
108,4,confidence_entropy_6,1.0,0.7342047930283224,0.7304286066693348,0.20325573865911606,0.9
108,5,confidence_entropy_6,1.0,0.7415577342047931,0.7479422277423059,0.19849772745845956,0.9
108,1,confidence_entropy_6,5.0,0.6922657952069717,0.7079522495230055,0.2275630669198863,0.8500000000000001
108,2,confidence_entropy_6,5.0,0.736111111111111,0.7292259725495391,0.20569841089685845,0.9
108,3,confidence_entropy_6,5.0,0.7290305010893245,0.7316827259743215,0.20545290016573542,0.9
