method,selection_fraction,negative_transfer_prevention,recovery_retention,utility_ratio1_per_10000
Random,0.875,0.12165121946675592,0.8810119597683949,115.59888579387186
Random,0.9,0.09434350708788605,0.9038877194736618,119.77715877437326
Random,0.925,0.0738117761089568,0.9304257692709201,123.78133704735376
Random,0.9500000000000001,0.054296313309391574,0.9542187308054763,126.9150417827298
Random,0.9750000000000001,0.02403734389156304,0.9783655967732221,130.39693593314763
Random,1.0,0.0,1.0,132.13788300835654
Shallow tree,0.0,1.0,0.0,0.0
Shallow tree,0.025,0.9797569444444445,0.018785831867460252,0.522284122562674
Shallow tree,0.05,0.9603565416065416,0.047369062084777584,5.571030640668523
Shallow tree,0.07500000000000001,0.9353878372376355,0.07083504283989646,9.749303621169917
Shallow tree,0.1,0.918849537574336,0.11275153716771065,13.579387186629527
Shallow tree,0.125,0.8954325219238644,0.14697139242362314,19.498607242339833
Shallow tree,0.15000000000000002,0.8872352922744289,0.1607324542809598,22.284122562674092
Shallow tree,0.17500000000000002,0.8555088763292631,0.1809353141518014,25.766016713091922
Shallow tree,0.2,0.8413150738082547,0.19698270623453057,29.073816155988858
Shallow tree,0.225,0.8152850487496417,0.2130990983855944,29.42200557103064
Shallow tree,0.25,0.7946226958294288,0.22842904671180592,30.64066852367688
Shallow tree,0.275,0.7668634194304464,0.2543075106760755,33.600278551532035
Shallow tree,0.30000000000000004,0.756277721767543,0.28419745316992,39.51949860724234
Shallow tree,0.325,0.7457798862697075,0.31013891286960465,44.568245125348184
Shallow tree,0.35000000000000003,0.7220499397456434,0.33809401338569867,48.920612813370475
Shallow tree,0.375,0.7155439484602402,0.3582101504718507,52.750696378830085
Shallow tree,0.4,0.6947366246565929,0.39425465400328935,56.75487465181059
Shallow tree,0.42500000000000004,0.6696113176310843,0.4185997783378913,59.54038997214484
Shallow tree,0.45,0.65427060927567,0.44931851763970687,67.54874651810584
Shallow tree,0.47500000000000003,0.6410368089618114,0.48705030663437326,75.38300835654596
Shallow tree,0.5,0.6191981868209744,0.5016141042918077,76.25348189415043
Shallow tree,0.525,0.6080386062359906,0.5205166514988241,79.21309192200557
Shallow tree,0.55,0.5724699687895007,0.5324658678477935,79.21309192200557
Shallow tree,0.5750000000000001,0.5486456851858053,0.5443819824145171,80.25766016713092
Shallow tree,0.6000000000000001,0.5277431991914077,0.5683652595717996,85.30640668523677
Shallow tree,0.625,0.51789619322545,0.5881524744353817,89.48467966573816
Shallow tree,0.65,0.50010232324408,0.6008420338091842,90.35515320334261
Shallow tree,0.675,0.4775035052592326,0.6118675620029178,90.35515320334261
Shallow tree,0.7000000000000001,0.4445414162176455,0.6313670600707046,90.7033426183844
Shallow tree,0.7250000000000001,0.42017157729215243,0.6418683679128511,91.05153203342618
Shallow tree,0.75,0.3928792053122805,0.6554306410716516,91.92200557103064
Shallow tree,0.775,0.37699646835734524,0.6710514739632514,94.18523676880223
Shallow tree,0.8,0.36760315896403584,0.6912898359803223,97.66713091922006
Shallow tree,0.8250000000000001,0.3548743742683394,0.7123374290669654,101.32311977715878
Shallow tree,0.8500000000000001,0.34319735915382427,0.72850247648128,103.41225626740948
Shallow tree,0.875,0.3204529956038066,0.7448802050636878,105.32729805013928
Shallow tree,0.9,0.29780278019003237,0.7718301495655749,109.67966573816156
Shallow tree,0.925,0.2656239203053167,0.8256551753789312,120.8217270194986
Shallow tree,0.9500000000000001,0.18785844056701587,0.8816465230902036,126.04456824512536
Shallow tree,0.9750000000000001,0.08437289122919193,0.9349457398648298,127.26323119777157
Shallow tree,1.0,0.0,1.0,132.13788300835654
Two-stage,0.0,1.0,0.0,0.0
Two-stage,0.025,0.9597982481309953,0.08383150856946885,10.097493036211699
Two-stage,0.05,0.9251830925574014,0.15441621689115823,20.020891364902507
Two-stage,0.07500000000000001,0.8804147143634034,0.21790940072573303,27.332869080779943
Two-stage,0.1,0.8065879736987442,0.26308433636992234,30.98885793871866
Two-stage,0.125,0.7624277685490614,0.31596221670568625,38.47493036211699
Two-stage,0.15000000000000002,0.7286472505889301,0.34966528674768516,42.13091922005571
Two-stage,0.17500000000000002,0.6973929433483146,0.387120450480472,47.701949860724234
Two-stage,0.2,0.6753467102046815,0.4057826712516837,50.3133704735376
Two-stage,0.225,0.6540696241017472,0.42142199693699006,51.880222841225624
Two-stage,0.25,0.6410910993585166,0.4422260847502263,56.406685236768794
Two-stage,0.275,0.6352797361789992,0.46211680373214997,61.10724233983287
Two-stage,0.30000000000000004,0.6309955481448112,0.478513640882167,64.76323119777159
Two-stage,0.325,0.6110592242562815,0.4845372356658705,65.80779944289694
Two-stage,0.35000000000000003,0.6024543268761825,0.4992191879229739,68.24512534818942
Two-stage,0.375,0.5955616607188104,0.508286974285476,69.98607242339833
Two-stage,0.4,0.5913280297664294,0.5176720429203325,72.24930362116991
Two-stage,0.42500000000000004,0.5852825010646507,0.5261849837331454,73.99025069637882
