mixture,test_mechanism,seed,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
offset_70pct,stuck_at,104,0.825,Conditional Lite-CF,2.0,1436,41,0,0.0,36,0,1.0,0.43941504178272983,0.48467966573816157,0.0,1.0,0.0,0.48467966573816157,0.8128299009124067,0.5575323432258382,2.7088262667785052,0.8332468075889521,0.3453770003037153,0.34081395597754816,0.13979094600313488
drift_70pct,gaussian,104,0.675,Conditional Lite-CF,2.0,1436,43,15,0.3488372093023256,17,5,0.7058823529411764,0.8398328690807799,0.47214484679665736,69.63788300835654,1.0,69.63788300835654,0.47214484679665736,0.7858058848298454,0.48043871767709917,3.2355869712505885,0.8741831093846139,0.39853009899538483,0.39853009899538483,0.13600687739061296
drift_70pct,offset,104,0.675,Conditional Lite-CF,2.0,1436,41,16,0.3902439024390244,33,20,0.3939393939393939,0.8642061281337048,0.4958217270194986,-27.855153203342617,1.0,-27.855153203342617,0.4958217270194986,0.8184841741255696,0.5614204045599279,2.8601638553143487,0.850032145029491,0.3789675133262272,0.37458582514574174,0.14070734868106924
drift_70pct,drift,104,0.675,Conditional Lite-CF,2.0,1436,24,7,0.2916666666666667,18,3,0.8333333333333334,0.8516713091922006,0.5153203342618384,27.855153203342617,1.0,27.855153203342617,0.5153203342618384,0.8218389194375554,0.5736239047142345,2.699144072251553,0.8171736545026852,0.35804610770754486,0.35788833785877705,0.13532837289314945
drift_70pct,stuck_at,104,0.675,Conditional Lite-CF,2.0,1436,41,16,0.3902439024390244,36,15,0.5833333333333333,0.8036211699164345,0.4853760445682451,6.963788300835654,1.0,6.963788300835654,0.4853760445682451,0.8124078130960517,0.5568646716563879,2.7321875856829094,0.8523905008078888,0.37402859234961805,0.3688027007347365,0.141795132363251
stuck_at_70pct,gaussian,104,0.9,Conditional Lite-CF,2.0,1436,43,3,0.06976744186046512,17,2,0.8823529411764706,0.6727019498607242,0.4658774373259053,6.963788300835654,1.0,6.963788300835654,0.4658774373259053,0.7838333938830179,0.47685190024386687,3.2619798694166238,0.8697285421477665,0.38339883830398175,0.38339883830398175,0.1347138657497617
stuck_at_70pct,offset,104,0.9,Conditional Lite-CF,2.0,1436,41,0,0.0,33,2,0.9393939393939394,0.5863509749303621,0.4972144846796657,-13.927576601671309,1.0,-13.927576601671309,0.4972144846796657,0.8189497758455447,0.5629027999596802,2.815970599561846,0.8228724308171559,0.34162832773280694,0.3393886039392227,0.13906175301903376
stuck_at_70pct,drift,104,0.9,Conditional Lite-CF,2.0,1436,24,0,0.0,18,0,1.0,0.596100278551532,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8231683104386591,0.5755638123750744,2.6782377697367776,0.8023723044914035,0.3395730208449154,0.33941525099614767,0.13411754893173136
stuck_at_70pct,stuck_at,104,0.9,Conditional Lite-CF,2.0,1436,41,1,0.024390243902439025,36,1,0.9722222222222222,0.5612813370473537,0.48467966573816157,0.0,1.0,0.0,0.48467966573816157,0.8138305926240762,0.5590605261504127,2.7010722602907045,0.8313222237204879,0.34473651200278943,0.3401734676766223,0.13954754905952216
uniform,gaussian,105,0.525,Conditional Lite-CF,2.0,1436,36,13,0.3611111111111111,14,2,0.8571428571428572,0.653899721448468,0.4763231197771588,76.6016713091922,1.0,76.6016713091922,0.4763231197771588,0.7958711358013996,0.5331113302761111,2.4356359004240318,0.7889502293183244,0.3147000041853922,0.3126687606166971,0.11903104433118174
