seed,fault_type,view,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
102,offset,B8-9_pooled,Prospective gate Lite-CF,2.0,256,4,1,0.25,1,0,1.0,0.7109375,0.52734375,39.0625,1.0,39.0625,0.52734375,0.8802045477640804,0.7264519786130642,1.4035195636818023,0.6664902600585749,0.2519982649441248,0.2556749702051028,0.11646971436155269
102,offset,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,4,1,0.25,1,0,1.0,0.0625,0.52734375,39.0625,1.0,39.0625,0.52734375,0.8729492454440484,0.7174560795489549,1.5066899290414781,0.6938135330117499,0.26397086735871256,0.27494816697146457,0.1210374214040179
102,offset,B10,Always PDRF,1.0,1180,6,0,0.0,2,0,1.0,0.0,0.5084745762711864,0.0,1.0,0.0,0.5084745762711864,0.8107653453662742,0.569612231421556,2.633863480357072,0.8366605892109401,0.36359159194436275,0.3635915919443628,0.14111713363785447
102,offset,B10,Always RO-PDRF-Lite,1.0,1180,6,6,1.0,2,2,0.0,1.0,0.511864406779661,33.898305084745765,1.0,33.898305084745765,0.511864406779661,0.8171869784561273,0.5739174318553987,2.361198714859386,0.806816641334138,0.3450495090852108,0.3450495090852108,0.13482684030784667
102,offset,B10,Frozen Lite-CF (ungated),2.0,1180,6,0,0.0,2,0,1.0,0.8762711864406779,0.5084745762711864,0.0,1.0,0.0,0.5084745762711864,0.8166289402704422,0.5726491979707479,2.3839839176577855,0.8135359977763109,0.35110947417158456,0.35110947417158456,0.1355944311870586
102,offset,B10,Prospective gate Lite-CF,2.0,1180,6,0,0.0,2,0,1.0,0.8762711864406779,0.5084745762711864,0.0,1.0,0.0,0.5084745762711864,0.8166289402704422,0.5726491979707479,2.3839839176577855,0.8135359977763109,0.35110947417158456,0.35110947417158456,0.1355944311870586
102,offset,B10,All-row multinomial (utility 1:1),2.0,1180,6,2,0.3333333333333333,2,0,1.0,0.02457627118644068,0.5101694915254237,16.949152542372882,1.0,16.949152542372882,0.5101694915254237,0.8109040757383302,0.5696550708621678,2.6239728192183276,0.8357051088849867,0.36325936904826667,0.3632593690482667,0.1409333763795401
102,stuck_at,B8-9_pooled,Always PDRF,1.0,256,8,0,0.0,0,0,1.0,0.0,0.53515625,0.0,1.0,0.0,0.53515625,0.8700552782494216,0.7210888200722444,1.2284390515920132,0.6143123885132903,0.2241039155042276,0.21339338532115124,0.10212701541539361
102,stuck_at,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,8,8,1.0,0,0,1.0,1.0,0.56640625,312.5,1.0,312.5,0.56640625,0.8762651905763118,0.7277077965363096,1.1809174786960055,0.5907333493133836,0.16987607163451135,0.1879960795690358,0.09841163093310719
102,stuck_at,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,8,0,0.0,0,0,1.0,0.609375,0.53515625,0.0,1.0,0.0,0.53515625,0.8714525000658608,0.7233910543725868,1.2155081014226026,0.611257708302285,0.21974284901710397,0.2186874920498674,0.1018673212534177
