seed,fault_type,batch,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
109,offset,10,Always PDRF,1.0,1180,35,0,0.0,19,0,1.0,0.0,0.46779661016949153,0.0,1.0,0.0,0.46779661016949153,0.8163180997028205,0.5541973659331645,3.3641959205166483,0.8648107905474974,0.3861536178507868,0.3861536178507867,0.14989999075778124
109,offset,10,Always RO-PDRF-Lite,1.0,1180,35,35,1.0,19,19,0.0,1.0,0.48135593220338985,135.59322033898306,1.0,135.59322033898306,0.48135593220338985,0.8221734800976433,0.5579496831799641,3.190009485059776,0.8466642424745154,0.3679223168665165,0.36792231686651644,0.14674175774222464
109,offset,10,Frozen Lite-CF (ungated),2.0,1180,35,0,0.0,19,0,1.0,0.0,0.46779661016949153,0.0,1.0,0.0,0.46779661016949153,0.8163180997028205,0.5541973659331645,3.3641959205166483,0.8648107905474974,0.3861536178507868,0.3861536178507867,0.14989999075778124
109,offset,10,Prospective gate Lite-CF,1.0,1180,35,0,0.0,19,0,1.0,0.0,0.46779661016949153,0.0,1.0,0.0,0.46779661016949153,0.8163180997028205,0.5541973659331645,3.3641959205166483,0.8648107905474974,0.3861536178507868,0.3861536178507867,0.14989999075778124
109,offset,10,All-row multinomial (utility 1:1),2.0,1180,35,21,0.6,19,15,0.21052631578947367,0.9525423728813559,0.4728813559322034,50.847457627118644,1.0,50.847457627118644,0.4728813559322034,0.8217796898304789,0.5573368494052103,3.200320932158053,0.8527939921746556,0.38080744192114624,0.38080744192114624,0.1471860793363119
109,stuck_at,8,Always PDRF,1.0,91,1,0,0.0,1,0,1.0,0.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.8685496724372436,0.6918378914525523,2.0862060085593392,0.7869844286137447,0.30243998857213494,0.31986003485582093,0.15922303170396201
109,stuck_at,8,Always RO-PDRF-Lite,1.0,91,1,1,1.0,1,1,0.0,1.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.8677278195111343,0.6851835495834839,1.9930413839289565,0.7418955030813718,0.31478701287997296,0.31520271868450517,0.15405896676906705
109,stuck_at,8,Frozen Lite-CF (ungated),2.0,91,1,0,0.0,1,0,1.0,0.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.8685496724372436,0.6918378914525523,2.0862060085593392,0.7869844286137447,0.30243998857213494,0.31986003485582093,0.15922303170396201
109,stuck_at,8,Prospective gate Lite-CF,1.0,91,1,0,0.0,1,0,1.0,0.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.8685496724372436,0.6918378914525523,2.0862060085593392,0.7869844286137447,0.30243998857213494,0.31986003485582093,0.15922303170396201
109,stuck_at,8,All-row multinomial (utility 1:1),2.0,91,1,1,1.0,1,0,1.0,0.9560439560439561,0.4725274725274725,109.89010989010988,1.0,109.89010989010988,0.4725274725274725,0.869035009053618,0.6854676019508696,1.9922581426397943,0.7406595922747502,0.30593879257714074,0.31040508225841096,0.15625846595449164
109,stuck_at,9,Always PDRF,1.0,165,9,0,0.0,1,0,1.0,0.0,0.47878787878787876,0.0,1.0,0.0,0.47878787878787876,0.8547369242277809,0.7796736381439678,1.9852990075049057,0.8544267227919298,0.367926232080225,0.3451530236524223,0.174428435788468
109,stuck_at,9,Always RO-PDRF-Lite,1.0,165,9,9,1.0,1,1,0.0,1.0,0.5272727272727272,484.8484848484849,1.0,484.8484848484849,0.5272727272727272,0.8627376168602989,0.7942869096384397,1.9315327741836723,0.8005504012921019,0.3394168501493233,0.3593618272029224,0.15986233469157035
109,stuck_at,9,Frozen Lite-CF (ungated),2.0,165,9,0,0.0,1,0,1.0,0.0,0.47878787878787876,0.0,1.0,0.0,0.47878787878787876,0.8547369242277809,0.7796736381439678,1.9852990075049057,0.8544267227919298,0.367926232080225,0.3451530236524223,0.174428435788468
109,stuck_at,9,Prospective gate Lite-CF,1.0,165,9,0,0.0,1,0,1.0,0.0,0.47878787878787876,0.0,1.0,0.0,0.47878787878787876,0.8547369242277809,0.7796736381439678,1.9852990075049057,0.8544267227919298,0.367926232080225,0.3451530236524223,0.174428435788468
109,stuck_at,9,All-row multinomial (utility 1:1),2.0,165,9,9,1.0,1,1,0.0,0.9939393939393939,0.5272727272727272,484.8484848484849,1.0,484.8484848484849,0.5272727272727272,0.8627376168602989,0.7942869096384397,1.9344452055539185,0.8032948734806838,0.3463550869576745,0.359744617633999,0.1602405371827269
109,stuck_at,10,Always PDRF,1.0,1180,26,0,0.0,11,0,1.0,0.0,0.4491525423728814,0.0,1.0,0.0,0.4491525423728814,0.8008760641660523,0.5372506001971828,3.3209222239850518,0.8833929194010562,0.38338859600508346,0.38240241451912294,0.15102359958327907
109,stuck_at,10,Always RO-PDRF-Lite,1.0,1180,26,26,1.0,11,11,0.0,1.0,0.461864406779661,127.11864406779661,1.0,127.11864406779661,0.461864406779661,0.8106946626038827,0.5470900860968383,3.1808903635394223,0.8619908104197763,0.3772116889306941,0.37461074875156186,0.14800215218868804
