seed,fault_type,prevalence,stream,variant,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy,no_fault_recovery_selection_rate,harmful_switch_rate
102,offset,0.4,full_mixed_stream,Balanced-CF,4364,42,10,0.23809523809523808,40,13,0.325,0.675,0.7779560036663611,0.5620989917506874,,
102,offset,0.4,full_mixed_stream,Safe-CF,4364,42,1,0.023809523809523808,40,5,0.125,0.875,0.5272685609532539,0.5618698441796517,,
102,drift,0.4,full_mixed_stream,Balanced-CF,4364,38,12,0.3157894736842105,45,13,0.28888888888888886,0.7111111111111111,0.7733730522456462,0.5710357470210816,,
102,drift,0.4,full_mixed_stream,Safe-CF,4364,38,2,0.05263157894736842,45,5,0.1111111111111111,0.8888888888888888,0.5240604949587534,0.5705774518790101,,
102,stuck_at,0.4,full_mixed_stream,Balanced-CF,4364,48,12,0.25,42,13,0.30952380952380953,0.6904761904761905,0.7371677360219981,0.5634738771769019,,
102,stuck_at,0.4,full_mixed_stream,Safe-CF,4364,48,2,0.041666666666666664,42,5,0.11904761904761904,0.8809523809523809,0.49060494958753437,0.5630155820348305,,
102,gaussian,0.7,full_mixed_stream,Balanced-CF,4364,132,63,0.4772727272727273,60,25,0.4166666666666667,0.5833333333333333,0.7733730522456462,0.5224564619615032,,
102,gaussian,0.7,full_mixed_stream,Safe-CF,4364,132,18,0.13636363636363635,60,10,0.16666666666666666,0.8333333333333334,0.5359761686526123,0.5155820348304307,,
102,offset,0.7,full_mixed_stream,Balanced-CF,4364,37,11,0.2972972972972973,29,14,0.4827586206896552,0.5172413793103448,0.8132447296058661,0.5435380384967919,,
102,offset,0.7,full_mixed_stream,Safe-CF,4364,37,1,0.02702702702702703,29,5,0.1724137931034483,0.8275862068965517,0.5501833180568286,0.5433088909257562,,
102,drift,0.7,full_mixed_stream,Balanced-CF,4364,34,13,0.38235294117647056,39,15,0.38461538461538464,0.6153846153846154,0.8017873510540788,0.5595783684692942,,
102,drift,0.7,full_mixed_stream,Safe-CF,4364,34,2,0.058823529411764705,39,5,0.1282051282051282,0.8717948717948718,0.5449129239230064,0.5593492208982584,,
102,stuck_at,0.7,full_mixed_stream,Balanced-CF,4364,50,19,0.38,32,13,0.40625,0.59375,0.7424381301558204,0.5474335472043996,,
