seed,calibration_group,test_group,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
107,1,1,stuck_at,0.575,Conditional Lite-CF,2.0,1436,86,15,0.1744186046511628,16,2,0.875,0.7576601671309192,0.4456824512534819,90.5292479108635,1.0,90.5292479108635,0.4456824512534819,0.8146810414167843,0.5686809595447668,2.036445562943724,0.7667344386902236,0.28909847778636383,0.2878749649184995,0.11830548094875475
107,1,1,stuck_at,0.275,All-row multinomial,2.0,1436,86,2,0.023255813953488372,16,1,0.9375,0.10236768802228412,0.4373259052924791,6.963788300835654,1.0,6.963788300835654,0.4373259052924791,0.8041339977713209,0.5515238701075662,2.1547436098097963,0.8009207037632956,0.3046048393050954,0.30338132643723104,0.12424347184000928
107,1,2,drift,0.575,Conditional Lite-CF,2.0,1397,12,3,0.25,25,1,0.96,0.9062276306370795,0.4251968503937008,14.316392269148174,1.0,14.316392269148174,0.4251968503937008,0.7865192833894775,0.49489425259947833,3.5869353154615977,0.9759531028192818,0.4338319014947653,0.4327571767116321,0.16259400877601296
107,1,2,drift,0.275,All-row multinomial,2.0,1397,12,0,0.0,25,0,1.0,0.020042949176807445,0.42376521116678595,0.0,1.0,0.0,0.42376521116678595,0.7862791641380776,0.4902553522854208,3.724891057619945,0.9862604904262826,0.44162148000950896,0.4416214800095089,0.16563423664489027
107,1,2,gaussian,0.575,Conditional Lite-CF,2.0,1397,36,9,0.25,20,1,0.95,0.8289191123836793,0.4767358625626342,57.2655690765927,1.0,57.2655690765927,0.4767358625626342,0.799029047991335,0.5134010181310865,2.593234161631397,0.7875535450522879,0.31504775341670543,0.3150477534167053,0.11735004615819707
107,1,2,gaussian,0.275,All-row multinomial,2.0,1397,36,0,0.0,20,1,0.95,0.07516105941302792,0.47029348604151755,-7.158196134574087,1.0,-7.158196134574087,0.47029348604151755,0.7939696780213502,0.5067674151580562,2.7162909421348194,0.811420130758668,0.3338787224165526,0.33387872241655253,0.12266600694816866
107,1,2,offset,0.575,Conditional Lite-CF,2.0,1397,13,2,0.15384615384615385,12,4,0.6666666666666667,0.9255547602004295,0.3528990694345025,-14.316392269148174,1.0,-14.316392269148174,0.3528990694345025,0.7794120953707765,0.47350153869643724,4.700403201625322,1.1429401121211082,0.5384889153557053,0.5384889153557054,0.19625473458513162
107,1,2,offset,0.275,All-row multinomial,2.0,1397,13,0,0.0,12,0,1.0,0.008589835361488905,0.3543307086614173,0.0,1.0,0.0,0.3543307086614173,0.7811159397181413,0.47093688529571726,4.952337208264672,1.1503751967469604,0.5459975531196849,0.5459975531196848,0.19767822376506758
107,1,2,stuck_at,0.575,Conditional Lite-CF,2.0,1397,19,11,0.5789473684210527,7,3,0.5714285714285714,0.9355762347888332,0.3199713672154617,57.2655690765927,1.0,57.2655690765927,0.3199713672154617,0.7745555945993479,0.46133612052454076,4.940834585765272,1.198515845851909,0.5748618487932338,0.5748618487932338,0.20641168669427837
107,1,2,stuck_at,0.275,All-row multinomial,2.0,1397,19,0,0.0,7,0,1.0,0.012168933428775949,0.31424481030780244,0.0,1.0,0.0,0.31424481030780244,0.7721964708151153,0.4559581782257145,5.264590669366233,1.2124884192681715,0.5850967738528234,0.5850967738528233,0.20930320670589728
107,1,3,drift,0.575,Conditional Lite-CF,2.0,1401,31,1,0.03225806451612903,18,0,1.0,0.8686652391149179,0.3882940756602427,7.137758743754461,1.0,7.137758743754461,0.3882940756602427,0.8192924363607398,0.5718241578167117,2.4155793654167375,0.9501947878402578,0.43909620083596024,0.4355208046501211,0.15804002800003716
107,1,3,drift,0.275,All-row multinomial,2.0,1401,31,0,0.0,18,0,1.0,0.03283369022127052,0.3875802997858672,0.0,1.0,0.0,0.3875802997858672,0.8173324309299419,0.5640863903278903,2.578440865433816,0.9963102124623539,0.45380869784679667,0.45380869784679667,0.16651622408998082
107,1,3,gaussian,0.575,Conditional Lite-CF,2.0,1401,31,6,0.1935483870967742,16,0,1.0,0.8251249107780158,0.4846538187009279,42.82655246252676,1.0,42.82655246252676,0.4846538187009279,0.8013054623974765,0.4966707837799092,2.3348401483622276,0.778039934635756,0.3045867806118409,0.3045867806118409,0.11152440626115338
107,1,3,gaussian,0.275,All-row multinomial,2.0,1401,31,2,0.06451612903225806,16,0,1.0,0.0649536045681656,0.4817987152034261,14.275517487508923,1.0,14.275517487508923,0.4817987152034261,0.7999982917448986,0.49418798446839124,2.3724957155696824,0.7945254608942389,0.314979431039781,0.31497943103978104,0.11365388791857366
107,1,3,offset,0.575,Conditional Lite-CF,2.0,1401,44,17,0.38636363636363635,8,0,1.0,0.9293361884368309,0.3547466095645967,121.34189864382584,1.0,121.34189864382584,0.3547466095645967,0.8027728118977638,0.5432949511776547,2.9538324983849886,1.0784989381769232,0.5054818778709509,0.5040983803616395,0.1817419806799051
107,1,3,offset,0.275,All-row multinomial,2.0,1401,44,1,0.022727272727272728,8,0,1.0,0.03854389721627409,0.3433261955745896,7.137758743754461,1.0,7.137758743754461,0.3433261955745896,0.7985244386729201,0.52911584480564,3.2842758386376674,1.1440275231365014,0.5389158006716901,0.5389158006716902,0.19274414151071803
107,1,3,stuck_at,0.575,Conditional Lite-CF,2.0,1401,42,29,0.6904761904761905,1,0,1.0,0.9571734475374732,0.3454675231977159,206.99500356887938,1.0,206.99500356887938,0.3454675231977159,0.7986376303043204,0.534061148295603,3.13538963298077,1.135271180261152,0.5364114403859814,0.535159331016436,0.19490273764340238
107,1,3,stuck_at,0.275,All-row multinomial,2.0,1401,42,2,0.047619047619047616,1,0,1.0,0.022840827980014276,0.3261955745895789,14.275517487508923,1.0,14.275517487508923,0.3261955745895789,0.7932256450095375,0.5183873189488399,3.5793368117719955,1.2166529406083624,0.5861958623424491,0.5828785165382135,0.2084720661704699
107,1,4,drift,0.575,Conditional Lite-CF,2.0,1393,25,2,0.08,2,0,1.0,0.9009332376166547,0.43072505384063176,14.357501794687725,1.0,14.357501794687725,0.43072505384063176,0.8032557728308188,0.5462334251867347,3.702771709318491,0.9670661679916361,0.4327070839141106,0.43270708391411067,0.17398808352070003
