held_out_building,seed,method,metric,value
auditorium,103,UF-PD,class_2_f1,0.6732080492266755
auditorium,103,UF-PD,class_2_auroc,0.9912715221807101
auditorium,103,UF-PD,class_2_auprc,0.8281003255768439
auditorium,103,UF-PD,balanced_accuracy,0.9579706661890833
auditorium,103,UF-PD,native_sensor_fault_recall,0.9466791393826005
auditorium,103,UF-PD,mean_temperature_group_weight_on_faults,0.40000003576278687
auditorium,103,UF-PD,train_seconds,19.673743999999715
auditorium,103,UF-PD,inference_seconds,0.024561999991419725
auditorium,103,CAGF,accuracy,0.9962474140834229
auditorium,103,CAGF,macro_f1,0.9723153774505708
auditorium,103,CAGF,macro_auroc,0.9995742737324946
auditorium,103,CAGF,macro_auprc,0.9953641576318963
auditorium,103,CAGF,nll,0.009953302778128536
auditorium,103,CAGF,class_1_precision,0.9989187390834234
auditorium,103,CAGF,class_1_recall,0.9971935767780933
auditorium,103,CAGF,class_1_f1,0.9980554124353882
auditorium,103,CAGF,class_1_auroc,0.9995742698489458
auditorium,103,CAGF,class_1_auprc,0.999984762606676
auditorium,103,CAGF,class_2_precision,0.9246208742194469
auditorium,103,CAGF,class_2_recall,0.9695977549111319
auditorium,103,CAGF,class_2_f1,0.9465753424657535
auditorium,103,CAGF,class_2_auroc,0.9995742776160434
auditorium,103,CAGF,class_2_auprc,0.9907435526571168
auditorium,103,CAGF,balanced_accuracy,0.9833956658446126
auditorium,103,CAGF,native_sensor_fault_recall,0.9695977549111319
auditorium,103,CAGF,mean_temperature_group_weight_on_faults,0.1187739446759224
auditorium,103,CAGF,train_seconds,26.83245590000297
auditorium,103,CAGF,inference_seconds,0.03434220000053756
auditorium,103,ENT-PD,accuracy,0.966322946902513
auditorium,103,ENT-PD,macro_f1,0.8212936869906299
auditorium,103,ENT-PD,macro_auroc,0.9906677021916466
auditorium,103,ENT-PD,macro_auprc,0.9068157103449321
auditorium,103,ENT-PD,nll,0.09563220965948223
auditorium,103,ENT-PD,class_1_precision,0.9983365630305421
auditorium,103,ENT-PD,class_1_recall,0.9667380727013068
auditorium,103,ENT-PD,class_1_f1,0.9822832652785746
auditorium,103,ENT-PD,class_1_auroc,0.9906676614143844
auditorium,103,ENT-PD,class_1_auprc,0.9996596341828334
auditorium,103,ENT-PD,class_2_precision,0.5046983184965381
auditorium,103,ENT-PD,class_2_recall,0.9546304957904583
auditorium,103,ENT-PD,class_2_f1,0.6603041087026852
auditorium,103,ENT-PD,class_2_auroc,0.9906677429689086
auditorium,103,ENT-PD,class_2_auprc,0.8139717865070307
auditorium,103,ENT-PD,balanced_accuracy,0.9606842842458826
auditorium,103,ENT-PD,native_sensor_fault_recall,0.9546304957904583
auditorium,103,ENT-PD,mean_temperature_group_weight_on_faults,0.2800474166870117
auditorium,103,ENT-PD,train_seconds,24.606705400001374
auditorium,103,ENT-PD,inference_seconds,0.029968700007884763
auditorium,103,PDRF-NOQ,accuracy,0.9476402007793833
auditorium,103,PDRF-NOQ,macro_f1,0.7634685421060636
auditorium,103,PDRF-NOQ,macro_auroc,0.9838363670761994
auditorium,103,PDRF-NOQ,macro_auprc,0.8062086018124408
auditorium,103,PDRF-NOQ,nll,0.18263936923634527
auditorium,103,PDRF-NOQ,class_1_precision,0.9981806094958189
auditorium,103,PDRF-NOQ,class_1_recall,0.9475082615121473
auditorium,103,PDRF-NOQ,class_1_f1,0.9721845954626388
auditorium,103,PDRF-NOQ,class_1_auroc,0.9838363631926506
auditorium,103,PDRF-NOQ,class_1_auprc,0.999411194739235
auditorium,103,PDRF-NOQ,class_2_precision,0.3915303176130895
auditorium,103,PDRF-NOQ,class_2_recall,0.9513564078578111
auditorium,103,PDRF-NOQ,class_2_f1,0.5547524887494886
auditorium,103,PDRF-NOQ,class_2_auroc,0.9838363709597482
auditorium,103,PDRF-NOQ,class_2_auprc,0.6130060088856467
auditorium,103,PDRF-NOQ,balanced_accuracy,0.9494323346849791
auditorium,103,PDRF-NOQ,native_sensor_fault_recall,0.9513564078578111
auditorium,103,PDRF-NOQ,mean_temperature_group_weight_on_faults,0.4094553589820862
auditorium,103,PDRF-NOQ,train_seconds,31.411251199999242
auditorium,103,PDRF-NOQ,inference_seconds,0.02636289999645669
auditorium,103,RC-PDRF-NOQ,accuracy,0.9584649678464326
auditorium,103,RC-PDRF-NOQ,macro_f1,0.7934737198123883
auditorium,103,RC-PDRF-NOQ,macro_auroc,0.9841961623361292
auditorium,103,RC-PDRF-NOQ,macro_auprc,0.802953457549743
auditorium,103,RC-PDRF-NOQ,nll,0.16787986507588604
auditorium,103,RC-PDRF-NOQ,class_1_precision,0.9978919357904377
auditorium,103,RC-PDRF-NOQ,class_1_recall,0.9590162573274216
auditorium,103,RC-PDRF-NOQ,class_1_f1,0.9780679470243538
auditorium,103,RC-PDRF-NOQ,class_1_auroc,0.9841961739867755
auditorium,103,RC-PDRF-NOQ,class_1_auprc,0.9994254820993688
auditorium,103,RC-PDRF-NOQ,class_2_precision,0.4495985727029438
auditorium,103,RC-PDRF-NOQ,class_2_recall,0.9429373246024322
auditorium,103,RC-PDRF-NOQ,class_2_f1,0.6088794926004228
auditorium,103,RC-PDRF-NOQ,class_2_auroc,0.9841961506854828
auditorium,103,RC-PDRF-NOQ,class_2_auprc,0.6064814330001174
auditorium,103,RC-PDRF-NOQ,balanced_accuracy,0.9509767909649269
auditorium,103,RC-PDRF-NOQ,native_sensor_fault_recall,0.9429373246024322
auditorium,103,RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.40983515977859497
auditorium,103,RC-PDRF-NOQ,train_seconds,38.63839899998857
auditorium,103,RC-PDRF-NOQ,inference_seconds,0.028362500001094304
auditorium,104,EF-PD,accuracy,0.9966322946902513
auditorium,104,EF-PD,macro_f1,0.9752744749158775
auditorium,104,EF-PD,macro_auroc,0.9998058458624772
auditorium,104,EF-PD,macro_auprc,0.9975658887075873
auditorium,104,EF-PD,nll,0.007472187893606765
auditorium,104,EF-PD,class_1_precision,0.9993010833208527
auditorium,104,EF-PD,class_1_recall,0.9972101828326608
auditorium,104,EF-PD,class_1_f1,0.9982545382006782
auditorium,104,EF-PD,class_1_auroc,0.9998058458624772
auditorium,104,EF-PD,class_1_auprc,0.9999930862306311
auditorium,104,EF-PD,class_2_precision,0.9257950530035336
auditorium,104,EF-PD,class_2_recall,0.980355472404116
auditorium,104,EF-PD,class_2_f1,0.9522944116310768
auditorium,104,EF-PD,class_2_auroc,0.9998058458624772
auditorium,104,EF-PD,class_2_auprc,0.9951386911845436
auditorium,104,EF-PD,balanced_accuracy,0.9887828276183884
auditorium,104,EF-PD,native_sensor_fault_recall,0.980355472404116
auditorium,104,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,104,EF-PD,train_seconds,11.240096099994844
auditorium,104,EF-PD,inference_seconds,0.01307230000384152
auditorium,104,UF-PD,accuracy,0.9670766714242186
auditorium,104,UF-PD,macro_f1,0.822653463866305
auditorium,104,UF-PD,macro_auroc,0.9907683424164102
auditorium,104,UF-PD,macro_auprc,0.9168255957910796
auditorium,104,UF-PD,nll,0.09626675223247584
auditorium,104,UF-PD,class_1_precision,0.9979113165553843
auditorium,104,UF-PD,class_1_recall,0.9679337086301666
auditorium,104,UF-PD,class_1_f1,0.9826939449881563
auditorium,104,UF-PD,class_1_auroc,0.9907683579506052
auditorium,104,UF-PD,class_1_auprc,0.9996607745368841
auditorium,104,UF-PD,class_2_precision,0.510767671649354
auditorium,104,UF-PD,class_2_recall,0.9429373246024322
auditorium,104,UF-PD,class_2_f1,0.6626129827444536
auditorium,104,UF-PD,class_2_auroc,0.9907683268822151
auditorium,104,UF-PD,class_2_auprc,0.8339904170452751
auditorium,104,UF-PD,balanced_accuracy,0.9554355166162993
auditorium,104,UF-PD,native_sensor_fault_recall,0.9429373246024322
auditorium,104,UF-PD,mean_temperature_group_weight_on_faults,0.40000003576278687
auditorium,104,UF-PD,train_seconds,17.496567599999253
auditorium,104,UF-PD,inference_seconds,0.022286699997493997
auditorium,104,CAGF,accuracy,0.9947560017319628
