building,seed,method,metric,value
auditorium,102,RC-PDRF-NOQ,recall_supply_air_temperature_fault,1.0
auditorium,102,HGB-current,accuracy,0.9825742997648065
auditorium,102,HGB-current,macro_f1,0.8517684370724445
auditorium,102,HGB-current,macro_auroc,0.9937356059994387
auditorium,102,HGB-current,macro_auprc,0.9366968940049821
auditorium,102,HGB-current,nll,0.04404530198147398
auditorium,102,HGB-current,class_1_precision,0.9971159179145868
auditorium,102,HGB-current,class_1_recall,0.9849879465264081
auditorium,102,HGB-current,class_1_f1,0.9910148282895099
auditorium,102,HGB-current,class_1_auroc,0.9937356059994388
auditorium,102,HGB-current,class_1_auprc,0.9998360681768357
auditorium,102,HGB-current,class_2_precision,0.5958702064896755
auditorium,102,HGB-current,class_2_recall,0.8859649122807017
auditorium,102,HGB-current,class_2_f1,0.7125220458553791
auditorium,102,HGB-current,class_2_auroc,0.9937356059994387
auditorium,102,HGB-current,class_2_auprc,0.8735577198331286
auditorium,102,HGB-current,balanced_accuracy,0.9354764294035549
auditorium,102,HGB-current,native_sensor_fault_recall,0.8859649122807017
auditorium,102,HGB-current,train_seconds,0.8836224999977276
auditorium,102,HGB-current,recall_return_air_temperature_fault,0.8603351955307262
auditorium,102,HGB-current,recall_supply_air_temperature_fault,0.9795918367346939
auditorium,102,HGB-lag,accuracy,0.9846055163566388
auditorium,102,HGB-lag,macro_f1,0.8554180863926137
auditorium,102,HGB-lag,macro_auroc,0.9933508848825987
auditorium,102,HGB-lag,macro_auprc,0.9195128685041603
auditorium,102,HGB-lag,nll,0.039312286570855295
auditorium,102,HGB-lag,class_1_precision,0.995148842337376
auditorium,102,HGB-lag,class_1_recall,0.9890422967346044
auditorium,102,HGB-lag,class_1_f1,0.9920861727852275
auditorium,102,HGB-lag,class_1_auroc,0.9933508848825988
auditorium,102,HGB-lag,class_1_auprc,0.9998306527831273
auditorium,102,HGB-lag,class_2_precision,0.647887323943662
auditorium,102,HGB-lag,class_2_recall,0.8070175438596491
auditorium,102,HGB-lag,class_2_f1,0.71875
auditorium,102,HGB-lag,class_2_auroc,0.9933508848825987
auditorium,102,HGB-lag,class_2_auprc,0.8391950842251933
auditorium,102,HGB-lag,balanced_accuracy,0.8980299202971267
auditorium,102,HGB-lag,native_sensor_fault_recall,0.8070175438596491
auditorium,102,HGB-lag,train_seconds,0.9961186000000453
auditorium,102,HGB-lag,recall_return_air_temperature_fault,0.7541899441340782
auditorium,102,HGB-lag,recall_supply_air_temperature_fault,1.0
auditorium,103,EF-PD,accuracy,0.9909129784049604
auditorium,103,EF-PD,macro_f1,0.9054799606318074
auditorium,103,EF-PD,macro_auroc,0.9962865160655309
auditorium,103,EF-PD,macro_auprc,0.957772671614151
auditorium,103,EF-PD,nll,0.03123363558908091
