seed,method,fault,true_class,pred_class,count
101,CAGF,linear_drift,4,3,34
101,CAGF,linear_drift,4,4,77
101,CAGF,linear_drift,4,5,121
101,CAGF,linear_drift,4,6,164
101,CAGF,linear_drift,5,1,57
101,CAGF,linear_drift,5,2,22
101,CAGF,linear_drift,5,3,40
101,CAGF,linear_drift,5,4,26
101,CAGF,linear_drift,5,5,559
101,CAGF,linear_drift,5,6,117
101,CAGF,linear_drift,6,1,228
101,CAGF,linear_drift,6,2,87
101,CAGF,linear_drift,6,3,41
101,CAGF,linear_drift,6,4,52
101,CAGF,linear_drift,6,5,47
101,CAGF,linear_drift,6,6,264
101,CAGF,stuck_at,1,1,361
101,CAGF,stuck_at,1,2,24
101,CAGF,stuck_at,1,3,1
101,CAGF,stuck_at,1,4,136
101,CAGF,stuck_at,1,5,138
101,CAGF,stuck_at,1,6,31
101,CAGF,stuck_at,2,1,37
101,CAGF,stuck_at,2,2,505
101,CAGF,stuck_at,2,3,18
101,CAGF,stuck_at,2,4,79
101,CAGF,stuck_at,2,5,43
101,CAGF,stuck_at,2,6,3
101,CAGF,stuck_at,3,1,39
101,CAGF,stuck_at,3,2,195
101,CAGF,stuck_at,3,3,402
101,CAGF,stuck_at,3,4,73
101,CAGF,stuck_at,3,5,31
101,CAGF,stuck_at,3,6,0
101,CAGF,stuck_at,4,1,208
101,CAGF,stuck_at,4,2,49
101,CAGF,stuck_at,4,3,18
101,CAGF,stuck_at,4,4,218
101,CAGF,stuck_at,4,5,104
101,CAGF,stuck_at,4,6,111
101,CAGF,stuck_at,5,1,44
101,CAGF,stuck_at,5,2,16
101,CAGF,stuck_at,5,3,46
101,CAGF,stuck_at,5,4,237
101,CAGF,stuck_at,5,5,397
101,CAGF,stuck_at,5,6,81
101,CAGF,stuck_at,6,1,154
101,CAGF,stuck_at,6,2,64
101,CAGF,stuck_at,6,3,36
101,CAGF,stuck_at,6,4,221
101,CAGF,stuck_at,6,5,37
101,CAGF,stuck_at,6,6,207
101,CAGF,clipping,1,1,389
101,CAGF,clipping,1,2,26
101,CAGF,clipping,1,3,3
101,CAGF,clipping,1,4,46
101,CAGF,clipping,1,5,194
101,CAGF,clipping,1,6,33
101,CAGF,clipping,2,1,38
101,CAGF,clipping,2,2,559
101,CAGF,clipping,2,3,24
101,CAGF,clipping,2,4,1
101,CAGF,clipping,2,5,59
101,CAGF,clipping,2,6,4
101,CAGF,clipping,3,1,42
101,CAGF,clipping,3,2,223
101,CAGF,clipping,3,3,424
101,CAGF,clipping,3,4,1
101,CAGF,clipping,3,5,49
101,CAGF,clipping,3,6,1
101,CAGF,clipping,4,1,280
101,CAGF,clipping,4,2,72
101,CAGF,clipping,4,3,27
101,CAGF,clipping,4,4,72
101,CAGF,clipping,4,5,133
