level,method,seed,pool,subset,metric,value
single_model,PDRF_AUC,105,none,all,nll,2.2369056348790073
single_model,PDRF_AUC,105,none,affected,accuracy,0.4827195467422096
single_model,PDRF_AUC,105,none,affected,macro_f1,0.47112930896458244
single_model,PDRF_AUC,105,none,affected,macro_auroc,0.7998644937531806
single_model,PDRF_AUC,105,none,affected,macro_auprc,0.5178936673008924
single_model,PDRF_AUC,105,none,affected,nll,2.872133685918971
single_model,PDRF_AUC,105,none,unaffected,accuracy,0.6098499422854944
single_model,PDRF_AUC,105,none,unaffected,macro_f1,0.5752071238438806
single_model,PDRF_AUC,105,none,unaffected,macro_auroc,0.8667787640457746
single_model,PDRF_AUC,105,none,unaffected,macro_auprc,0.6392661686594542
single_model,PDRF_AUC,105,none,unaffected,nll,1.8055175971392856
single_model,PDRF_AUC,106,none,all,accuracy,0.5481209899175069
single_model,PDRF_AUC,106,none,all,macro_f1,0.5318790665688865
single_model,PDRF_AUC,106,none,all,macro_auroc,0.8390630710864939
single_model,PDRF_AUC,106,none,all,macro_auprc,0.5903710863131768
single_model,PDRF_AUC,106,none,all,nll,2.6645636531368306
single_model,PDRF_AUC,106,none,affected,accuracy,0.47875354107648727
single_model,PDRF_AUC,106,none,affected,macro_f1,0.46766077819665736
single_model,PDRF_AUC,106,none,affected,macro_auroc,0.7990041269868732
single_model,PDRF_AUC,106,none,affected,macro_auprc,0.5215446359508412
single_model,PDRF_AUC,106,none,affected,nll,3.5482044852495833
single_model,PDRF_AUC,106,none,unaffected,accuracy,0.5952289342054636
single_model,PDRF_AUC,106,none,unaffected,macro_f1,0.5729524321116813
single_model,PDRF_AUC,106,none,unaffected,macro_auroc,0.8700216050302996
single_model,PDRF_AUC,106,none,unaffected,macro_auprc,0.6495776530399351
single_model,PDRF_AUC,106,none,unaffected,nll,2.0644766701899244
single_model,PDRF_AUC,107,none,all,accuracy,0.5494958753437214
single_model,PDRF_AUC,107,none,all,macro_f1,0.5359212788273853
single_model,PDRF_AUC,107,none,all,macro_auroc,0.8363355940827885
single_model,PDRF_AUC,107,none,all,macro_auprc,0.5898648599709253
single_model,PDRF_AUC,107,none,all,nll,2.0649418575614584
single_model,PDRF_AUC,107,none,affected,accuracy,0.47592067988668557
single_model,PDRF_AUC,107,none,affected,macro_f1,0.4696607203919767
single_model,PDRF_AUC,107,none,affected,macro_auroc,0.7934670400805292
single_model,PDRF_AUC,107,none,affected,macro_auprc,0.522056450302668
single_model,PDRF_AUC,107,none,affected,nll,2.810145136232677
single_model,PDRF_AUC,107,none,unaffected,accuracy,0.599461331281262
single_model,PDRF_AUC,107,none,unaffected,macro_f1,0.5775833013908381
single_model,PDRF_AUC,107,none,unaffected,macro_auroc,0.8706429951855741
single_model,PDRF_AUC,107,none,unaffected,macro_auprc,0.6532094101441587
single_model,PDRF_AUC,107,none,unaffected,nll,1.5588688345315613
single_model,PDRF_AUC,108,none,all,accuracy,0.5717231897341888
