seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-PDRF-Full,stuck_at,fault_applied_available,macro_auprc,0.5636517177254471,1436,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,fault_applied_available,nll,2.183485022727795,1436,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,fault_applied_available,brier,0.7871040078070877,1436,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,fault_applied_available,ece15,0.29442270473683446,1436,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,accuracy,0.49235127478753543,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,macro_f1,0.4799990509439491,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,macro_auroc,0.824395884876077,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,macro_auprc,0.5663138291048608,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,nll,2.1661198846401115,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,brier,0.7769111954883513,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,assigned,ece15,0.2948875067254301,1765,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,accuracy,0.5852250865717584,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,macro_f1,0.5587407928915825,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,macro_auroc,0.8653044915946438,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,macro_auprc,0.6328965083851467,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,nll,1.5792013470476203,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,brier,0.6223091954199705,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,unaffected,ece15,0.2146409492898143,2599,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,accuracy,0.5476626947754354,4364,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,macro_f1,0.5266135486918769,4364,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,macro_auroc,0.8451316572950711,4364,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,macro_auprc,0.5928965070868343,4364,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,nll,1.8165778866559492,4364,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,brier,0.6848372728995059,4364,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,all,ece15,0.24617387278570593,4364,0.0010526581110576155
101,RO-MER,gaussian,fault_applied_available,accuracy,0.44846796657381616,1436,0.002082951422281372
101,RO-MER,gaussian,fault_applied_available,macro_f1,0.45126440767926734,1436,0.002082951422281372
101,RO-MER,gaussian,fault_applied_available,macro_auroc,0.7908419763820164,1436,0.002082951422281372
101,RO-MER,gaussian,fault_applied_available,macro_auprc,0.5137332648775547,1436,0.002082951422281372
101,RO-MER,gaussian,fault_applied_available,nll,1.964916335694764,1436,0.002082951422281372
101,RO-MER,gaussian,fault_applied_available,brier,0.7935103284298015,1436,0.002082951422281372
101,RO-MER,gaussian,fault_applied_available,ece15,0.3075971710171374,1436,0.002082951422281372
101,RO-MER,gaussian,assigned,accuracy,0.4668555240793201,1765,0.002082951422281372
101,RO-MER,gaussian,assigned,macro_f1,0.4695785751395991,1765,0.002082951422281372
101,RO-MER,gaussian,assigned,macro_auroc,0.7970064265480863,1765,0.002082951422281372
101,RO-MER,gaussian,assigned,macro_auprc,0.5275984677348037,1765,0.002082951422281372
101,RO-MER,gaussian,assigned,nll,1.8568401331786686,1765,0.002082951422281372
101,RO-MER,gaussian,assigned,brier,0.760532908169644,1765,0.002082951422281372
101,RO-MER,gaussian,assigned,ece15,0.2800417730473932,1765,0.002082951422281372
101,RO-MER,gaussian,unaffected,accuracy,0.5929203539823009,2599,0.002082951422281372
101,RO-MER,gaussian,unaffected,macro_f1,0.5791168441612529,2599,0.002082951422281372
101,RO-MER,gaussian,unaffected,macro_auroc,0.8547808660363425,2599,0.002082951422281372
101,RO-MER,gaussian,unaffected,macro_auprc,0.6327819080326358,2599,0.002082951422281372
101,RO-MER,gaussian,unaffected,nll,1.3530880664493827,2599,0.002082951422281372
101,RO-MER,gaussian,unaffected,brier,0.577346976103779,2599,0.002082951422281372
