model,stress_type,level,metric,mean,sd,n,ci95
LWF,sensor_noise,1.0,aurc,0.16416455687830686,0.006701745468313889,20,0.0029371694532699996
LWF,sensor_noise,1.0,auroc,0.7897034213257627,0.007178637423654705,20,0.0031461765679627117
LWF,sensor_noise,1.0,ece,0.026285437958346057,0.005108390772640076,20,0.0022388509685581526
LWF,sensor_noise,1.0,nll,0.5532329831672742,0.007474049754681596,20,0.003275646730462
LWF,sensor_noise,1.5,aurc,0.16948584656084656,0.010068225181484605,20,0.004412594240040648
LWF,sensor_noise,1.5,auroc,0.7851083436266892,0.01082173074554613,20,0.004742832613923163
LWF,sensor_noise,1.5,ece,0.02909532797674959,0.0064737322194381944,20,0.0028372382409157
LWF,sensor_noise,1.5,nll,0.5590601044719761,0.0119566950579115,20,0.005240252655402276
LWF,sensor_noise,2.0,aurc,0.17179498015873015,0.006450975507190341,20,0.002827264672031702
LWF,sensor_noise,2.0,auroc,0.7828933257592522,0.006190029743609586,20,0.002712900148733499
LWF,sensor_noise,2.0,ece,0.029281444581132382,0.007816198122631332,20,0.003425599864250739
LWF,sensor_noise,2.0,nll,0.56218872291247,0.007936309202247235,20,0.003478240865869661
LWF,sensor_noise,3.0,aurc,0.18349494047619047,0.007810597789312016,20,0.0034231454099550042
LWF,sensor_noise,3.0,auroc,0.7718525228046266,0.0080199205497858,20,0.003514885154599833
LWF,sensor_noise,3.0,ece,0.03910699375523254,0.00888555403561221,20,0.0038942657569097914
LWF,sensor_noise,3.0,nll,0.5791758711811739,0.011001686296733738,20,0.004821701611618414
MD,missingness,0.5,aurc,0.16338825396825396,0.00689409705083059,20,0.003021471251231052
MD,missingness,0.5,auroc,0.7920260974436257,0.00741980927430465,20,0.0032518747918160017
MD,missingness,0.5,ece,0.04805944253293177,0.010516912292356401,20,0.004609240036625962
MD,missingness,0.5,nll,0.5591124503421789,0.010129320873927516,20,0.004439370607841862
MD,missingness,1.0,aurc,0.16756867724867724,0.006845658604184878,20,0.0030002421659838874
MD,missingness,1.0,auroc,0.7882922554279748,0.007384351892096871,20,0.0032363349088995277
MD,missingness,1.0,ece,0.03844219403446962,0.007244540043242945,20,0.003175059664472456
MD,missingness,1.0,nll,0.5599327740234747,0.009269412627089245,20,0.004062499202150626
MD,missingness,1.5,aurc,0.1739133664021164,0.007161550161002309,20,0.003138687744918042
MD,missingness,1.5,auroc,0.7829166295298208,0.007369472605629211,20,0.003229813774083845
MD,missingness,1.5,ece,0.03127844225401059,0.007295853268213461,20,0.0031975486768715034
MD,missingness,1.5,nll,0.5635965595572557,0.008787403198056272,20,0.0038512492557243624
MD,missingness,2.0,aurc,0.17490267857142855,0.01071780370302291,20,0.004697284579293806
MD,missingness,2.0,auroc,0.7806690867177503,0.01151003052679388,20,0.0050444932934777306
MD,missingness,2.0,ece,0.02896404587548847,0.006095389669423874,20,0.0026714223074356235
MD,missingness,2.0,nll,0.56444992604058,0.011441640778680299,20,0.005014520164831503
MD,sensor_noise,0.0,aurc,0.16719622354497354,0.007346051408374582,20,0.003219548981805392
MD,sensor_noise,0.0,auroc,0.7886653660321887,0.007665234532248677,20,0.003359437153607022
MD,sensor_noise,0.0,ece,0.03628173859907935,0.007762724786012477,20,0.0034021641411806952
MD,sensor_noise,0.0,nll,0.5589675756735899,0.010085569472284703,20,0.004420195710637754
MD,sensor_noise,0.5,aurc,0.16995985449735448,0.00779374137851378,20,0.003415757762196307
MD,sensor_noise,0.5,auroc,0.7856124826099652,0.009516215437410014,20,0.00417066530289001
MD,sensor_noise,0.5,ece,0.03866043084828804,0.008758758272058804,20,0.003838695063383168
MD,sensor_noise,0.5,nll,0.5616379178800209,0.010393240221167641,20,0.004555038361639095
MD,sensor_noise,1.0,aurc,0.1723555291005291,0.006830723520263082,20,0.002993696576855723
MD,sensor_noise,1.0,auroc,0.7829878182481735,0.007731927015013748,20,0.0033886664229170037
MD,sensor_noise,1.0,ece,0.036395640606371064,0.007632613235536259,20,0.0033451402399622427
MD,sensor_noise,1.0,nll,0.5644790759309053,0.008910237733470834,20,0.0039050838644739895
MD,sensor_noise,1.5,aurc,0.1770794312169312,0.01127670284714345,20,0.004942232929142522
MD,sensor_noise,1.5,auroc,0.778487409831689,0.012060696060611387,20,0.005285833104508232
