seed,method,fault,calibrated,metric,value
101,UF,correlated_dual,False,class_5_recall,0.630937880633374
101,UF,correlated_dual,False,class_6_auroc,0.7394586674450683
101,UF,correlated_dual,False,class_6_auprc,0.3540624616604749
101,UF,correlated_dual,False,class_6_recall,0.3963838664812239
101,UF,correlated_dual,True,accuracy,0.4988542621448212
101,UF,correlated_dual,True,macro_f1,0.4850722003780303
101,UF,correlated_dual,True,macro_auroc,0.7784873248961035
101,UF,correlated_dual,True,macro_auprc,0.4850028957175478
101,UF,correlated_dual,True,micro_auprc,0.4804800025679906
101,UF,correlated_dual,True,nll,3.156885055359948
101,UF,correlated_dual,True,brier,0.8001770873497158
101,UF,correlated_dual,True,ece_10,0.3187527309293926
101,UF,correlated_dual,True,ece_15,0.318752688015141
101,UF,correlated_dual,True,ece_20,0.3187526883326955
101,UF,correlated_dual,True,adaptive_ece_15,0.3187526902482665
101,UF,correlated_dual,True,class_1_auroc,0.7384522248047019
101,UF,correlated_dual,True,class_1_auprc,0.3940320958876013
101,UF,correlated_dual,True,class_1_recall,0.557163531114327
101,UF,correlated_dual,True,class_2_auroc,0.8476815542147877
101,UF,correlated_dual,True,class_2_auprc,0.5928424130963087
101,UF,correlated_dual,True,class_2_recall,0.621897810218978
101,UF,correlated_dual,True,class_3_auroc,0.8679535081439055
101,UF,correlated_dual,True,class_3_auprc,0.7241830140408241
101,UF,correlated_dual,True,class_3_recall,0.6648648648648648
101,UF,correlated_dual,True,class_4_auroc,0.6724900403639555
101,UF,correlated_dual,True,class_4_auprc,0.2401231072893814
101,UF,correlated_dual,True,class_4_recall,0.1002824858757062
101,UF,correlated_dual,True,class_5_auroc,0.8048515145233279
101,UF,correlated_dual,True,class_5_auprc,0.6048515210019493
101,UF,correlated_dual,True,class_5_recall,0.630937880633374
101,UF,correlated_dual,True,class_6_auroc,0.7394951073259424
101,UF,correlated_dual,True,class_6_auprc,0.353985222989222
101,UF,correlated_dual,True,class_6_recall,0.3963838664812239
101,CAGF,natural,False,accuracy,0.5517873510540788
101,CAGF,natural,False,macro_f1,0.5198636985137152
101,CAGF,natural,False,macro_auroc,0.8379249990556907
101,CAGF,natural,False,macro_auprc,0.5960970893986891
101,CAGF,natural,False,micro_auprc,0.6173821583686631
101,CAGF,natural,False,nll,1.844067105002822
101,CAGF,natural,False,brier,0.674792675300104
101,CAGF,natural,False,ece_10,0.2501045126949397
101,CAGF,natural,False,ece_15,0.2501045317004078
101,CAGF,natural,False,ece_20,0.250104523631791
101,CAGF,natural,False,adaptive_ece_15,0.2501045197562598
101,CAGF,natural,False,class_1_auroc,0.7838326616215722
101,CAGF,natural,False,class_1_auprc,0.6510616903955573
101,CAGF,natural,False,class_1_recall,0.5817655571635311
101,CAGF,natural,False,class_2_auroc,0.891233931784859
101,CAGF,natural,False,class_2_auprc,0.6377678805355359
101,CAGF,natural,False,class_2_recall,0.8759124087591241
101,CAGF,natural,False,class_3_auroc,0.8735960712367996
101,CAGF,natural,False,class_3_auprc,0.7535463485027496
101,CAGF,natural,False,class_3_recall,0.5702702702702702
101,CAGF,natural,False,class_4_auroc,0.78407138177008
101,CAGF,natural,False,class_4_auprc,0.3321735606754911
101,CAGF,natural,False,class_4_recall,0.0875706214689265
101,CAGF,natural,False,class_5_auroc,0.8552658945965057
101,CAGF,natural,False,class_5_auprc,0.7201049573021956
101,CAGF,natural,False,class_5_recall,0.7758830694275274
101,CAGF,natural,False,class_6_auroc,0.8395500533243283
101,CAGF,natural,False,class_6_auprc,0.481928098980605
101,CAGF,natural,False,class_6_recall,0.3963838664812239
