task,test_index,nearest_train_index,same_class,euclidean_distance,cosine_similarity
cooler,1421,1057,True,2.3703393936157227,0.9894417524337769
cooler,1422,1053,True,1.7430214881896973,0.9938862919807434
cooler,1423,1054,True,1.7248880863189697,0.9945193529129028
cooler,1424,1052,True,2.3779568672180176,0.989926815032959
cooler,1425,1058,True,1.9943631887435913,0.9919475317001343
cooler,1426,1058,True,2.010316848754883,0.9927263855934143
cooler,1427,1051,True,1.8872871398925781,0.9936718344688416
cooler,1428,1143,True,2.4962844848632812,0.9903421401977539
cooler,1429,1170,True,2.062053680419922,0.991341233253479
cooler,1430,1069,True,1.9375176429748535,0.9938402771949768
cooler,1431,1079,True,2.1795620918273926,0.9913897514343262
cooler,1432,1078,True,1.7379575967788696,0.9948280453681946
cooler,1433,1038,True,2.116779327392578,0.9916609525680542
cooler,1434,1031,True,2.1238090991973877,0.9905585646629333
cooler,1435,1030,True,2.5553553104400635,0.9869683980941772
cooler,1436,1069,True,2.9158029556274414,0.9839839339256287
cooler,1437,1124,True,2.422314167022705,0.9892029762268066
cooler,1438,1039,True,2.174940347671509,0.9900835752487183
cooler,1439,1016,True,2.2234251499176025,0.9900936484336853
cooler,1440,1031,True,2.4444949626922607,0.9879770278930664
cooler,1441,1016,True,2.132967710494995,0.9908944368362427
cooler,1442,1039,True,2.1446807384490967,0.9916691780090332
cooler,1443,1032,True,2.2633886337280273,0.9901154041290283
cooler,1444,1046,True,2.3695294857025146,0.9903082847595215
cooler,1445,1166,True,2.2218213081359863,0.9902933239936829
cooler,1446,1030,True,2.2478933334350586,0.9910027384757996
cooler,1447,1020,True,2.5741260051727295,0.9892999529838562
cooler,1448,1078,True,2.10943865776062,0.9928414821624756
valve,1207,792,False,25.529695510864258,0.8305696249008179
valve,1208,792,False,25.691051483154297,0.8183649778366089
valve,1209,792,False,25.630592346191406,0.8309807777404785
valve,1217,744,False,25.376346588134766,0.8417379856109619
valve,1218,744,False,25.256614685058594,0.8395609259605408
valve,1219,744,False,25.246219635009766,0.8342036008834839
valve,1227,744,True,25.104738235473633,0.8230303525924683
valve,1228,744,True,24.931961059570312,0.8468708992004395
valve,1229,744,True,25.213071823120117,0.853257417678833
valve,1240,792,False,24.538333892822266,0.8395084738731384
valve,1241,792,False,24.492813110351562,0.8269907236099243
valve,1242,792,False,25.122285842895508,0.8229897618293762
valve,1243,792,False,24.516752243041992,0.8377273082733154
valve,1244,792,False,25.1997013092041,0.8248475790023804
valve,1245,792,False,24.866439819335938,0.8266978859901428
valve,1246,792,False,24.535066604614258,0.8346033096313477
valve,1247,792,False,24.618534088134766,0.8295222520828247
valve,1248,792,False,24.593381881713867,0.8379932045936584
valve,1249,792,False,24.396953582763672,0.8241716623306274
valve,1250,744,False,24.60085105895996,0.8454619646072388
valve,1251,744,False,24.628047943115234,0.8336692452430725
valve,1252,744,False,24.644451141357422,0.8447701930999756
valve,1253,744,False,25.00110626220703,0.8540557622909546
valve,1254,744,False,24.763912200927734,0.8399021029472351
valve,1255,744,False,24.7485294342041,0.8237481713294983
valve,1256,744,False,25.14335060119629,0.8529795408248901
valve,1257,744,False,24.772294998168945,0.8447611927986145
valve,1258,744,False,24.965396881103516,0.8264108896255493
valve,1259,744,False,24.795166015625,0.8420389294624329
valve,1260,744,True,24.736562728881836,0.8438552618026733
valve,1261,744,True,24.900524139404297,0.8412217497825623
valve,1262,744,True,24.916196823120117,0.8412281274795532
valve,1263,744,True,24.836549758911133,0.8510512113571167
valve,1264,744,True,24.525531768798828,0.8345462083816528
valve,1265,744,True,24.881364822387695,0.8509352803230286
valve,1266,744,True,25.187820434570312,0.8525552749633789
valve,1267,744,True,24.718961715698242,0.8304212093353271
valve,1268,744,True,24.72103500366211,0.8415974378585815
valve,1269,744,True,24.44023895263672,0.8173090815544128
valve,1275,792,True,24.947162628173828,0.8341777920722961
valve,1276,792,True,24.598583221435547,0.8340933322906494
valve,1277,744,False,25.01899528503418,0.8312233686447144
valve,1278,792,True,24.824234008789062,0.8311029672622681
valve,1279,792,True,24.8941593170166,0.8338943719863892
valve,1280,792,False,24.751108169555664,0.8248591423034668
valve,1281,792,False,24.62909698486328,0.832209050655365
valve,1282,792,False,24.86198616027832,0.8223916292190552
valve,1283,792,False,24.51467514038086,0.8371858596801758
valve,1284,792,False,24.895263671875,0.826682448387146
