seed,method,subset,metric,value,n
103,RO-CAGF,fault_applied_available,macro_auroc,0.7872411787109758,1436
103,RO-CAGF,fault_applied_available,macro_auprc,0.5062975631170344,1436
103,RO-CAGF,fault_applied_available,nll,2.3012513146431357,1436
103,RO-CAGF,fault_applied_available,brier,0.8412294038666008,1436
103,RO-CAGF,fault_applied_available,ece15,0.3299643970289987,1436
103,RO-PDRF,fault_applied_available,accuracy,0.4575208913649025,1436
103,RO-PDRF,fault_applied_available,macro_f1,0.45634393088019903,1436
103,RO-PDRF,fault_applied_available,macro_auroc,0.7789162044911886,1436
103,RO-PDRF,fault_applied_available,macro_auprc,0.4898431290713882,1436
103,RO-PDRF,fault_applied_available,nll,3.721713445304294,1436
103,RO-PDRF,fault_applied_available,brier,0.8982267560513776,1436
103,RO-PDRF,fault_applied_available,ece15,0.403871526163644,1436
104,CAGF,fault_applied_available,accuracy,0.4254874651810585,1436
104,CAGF,fault_applied_available,macro_f1,0.389726281155228,1436
104,CAGF,fault_applied_available,macro_auroc,0.7392765790883811,1436
104,CAGF,fault_applied_available,macro_auprc,0.4097016812245251,1436
104,CAGF,fault_applied_available,nll,2.359404084664965,1436
104,CAGF,fault_applied_available,brier,0.8616144630449755,1436
104,CAGF,fault_applied_available,ece15,0.29688530619972286,1436
104,PDRF,fault_applied_available,accuracy,0.4491643454038997,1436
104,PDRF,fault_applied_available,macro_f1,0.44498945509080107,1436
104,PDRF,fault_applied_available,macro_auroc,0.7696832891863222,1436
104,PDRF,fault_applied_available,macro_auprc,0.46300180804637314,1436
104,PDRF,fault_applied_available,nll,3.709453317495331,1436
104,PDRF,fault_applied_available,brier,0.9383210989675271,1436
104,PDRF,fault_applied_available,ece15,0.41634194403481295,1436
104,RO-CAGF,fault_applied_available,accuracy,0.44220055710306405,1436
104,RO-CAGF,fault_applied_available,macro_f1,0.4207653827509253,1436
104,RO-CAGF,fault_applied_available,macro_auroc,0.7585148265480104,1436
104,RO-CAGF,fault_applied_available,macro_auprc,0.4553525281041669,1436
104,RO-CAGF,fault_applied_available,nll,2.4519125568647,1436
104,RO-CAGF,fault_applied_available,brier,0.845386821224025,1436
104,RO-CAGF,fault_applied_available,ece15,0.3171250411625103,1436
104,RO-PDRF,fault_applied_available,accuracy,0.4658774373259053,1436
104,RO-PDRF,fault_applied_available,macro_f1,0.46195086639644695,1436
104,RO-PDRF,fault_applied_available,macro_auroc,0.7851105557154257,1436
104,RO-PDRF,fault_applied_available,macro_auprc,0.489406605586234,1436
104,RO-PDRF,fault_applied_available,nll,3.0811692324651876,1436
104,RO-PDRF,fault_applied_available,brier,0.8721597128079414,1436
104,RO-PDRF,fault_applied_available,ece15,0.38058943692127567,1436
105,CAGF,fault_applied_available,accuracy,0.4735376044568245,1436
105,CAGF,fault_applied_available,macro_f1,0.4588591656562105,1436
105,CAGF,fault_applied_available,macro_auroc,0.7887686788440234,1436
105,CAGF,fault_applied_available,macro_auprc,0.5100550436002532,1436
105,CAGF,fault_applied_available,nll,3.0038999583681565,1436
105,CAGF,fault_applied_available,brier,0.8688067848332037,1436
105,CAGF,fault_applied_available,ece15,0.37578046746327054,1436
105,PDRF,fault_applied_available,accuracy,0.4428969359331476,1436
105,PDRF,fault_applied_available,macro_f1,0.43922221517808596,1436
105,PDRF,fault_applied_available,macro_auroc,0.7825611231036866,1436
105,PDRF,fault_applied_available,macro_auprc,0.5112938754478428,1436
105,PDRF,fault_applied_available,nll,2.8783665522211193,1436
105,PDRF,fault_applied_available,brier,0.8335275900170567,1436
105,PDRF,fault_applied_available,ece15,0.3476367416552406,1436
105,RO-CAGF,fault_applied_available,accuracy,0.44986072423398327,1436
105,RO-CAGF,fault_applied_available,macro_f1,0.43568886599319406,1436
105,RO-CAGF,fault_applied_available,macro_auroc,0.7767991540056971,1436
105,RO-CAGF,fault_applied_available,macro_auprc,0.47230848916581136,1436
105,RO-CAGF,fault_applied_available,nll,2.1375359247831835,1436
