model,regime,metric,mean,sd,n,ci95
CFA,outlier_shift,nll,0.5497737171232633,0.007339729592790576,20,0.0032167783239655293
CFA,silent_failure,auprc,0.7669365414055006,0.009819675235134181,20,0.004303662423175327
CFA,silent_failure,aurc,0.1794285648148148,0.008751885544370747,20,0.003835682957668106
CFA,silent_failure,auroc,0.7743049367492455,0.008686672726361906,20,0.0038071021800299754
CFA,silent_failure,brier,0.1944036767689224,0.004000163564577025,20,0.0017531489796963708
CFA,silent_failure,coverage_80_risk,0.25535416666666666,0.008622478231225245,20,0.003778967702068232
CFA,silent_failure,ece,0.03466426508820926,0.00676450677452574,20,0.0029646758084910896
CFA,silent_failure,mean_uncertainty,0.27185868173837663,0.008295150836649513,20,0.0036355101462550625
CFA,silent_failure,nll,0.5725150556246498,0.01058832314517365,20,0.00464053722278716
CRF,ID_missing,auprc,0.7886999100094001,0.0103316818426921,20,0.004528059212743326
CRF,ID_missing,aurc,0.16299372354497355,0.006780357014524802,20,0.002971622482454217
CRF,ID_missing,auroc,0.7920576324307921,0.008212562471975089,20,0.0035993141995328015
CRF,ID_missing,brier,0.18615619767781752,0.003634935825092338,20,0.0015930808653561274
CRF,ID_missing,coverage_80_risk,0.2400625,0.009963635452622136,20,0.004366755770317637
CRF,ID_missing,ece,0.024616564727729807,0.005604526601279756,20,0.0024562920825848093
CRF,ID_missing,mean_uncertainty,0.2771361872553825,0.006027244554597718,20,0.0026415563940548037
CRF,ID_missing,nll,0.5510145550928807,0.008565650657165184,20,0.003754061919623671
CRF,noise_shift,auprc,0.7820243057277534,0.007905047836350142,20,0.003464539968183444
CRF,noise_shift,aurc,0.16757758597883596,0.006552522097161102,20,0.002871769427331054
CRF,noise_shift,auroc,0.7869966354117466,0.007422412532195258,20,0.0032530157198908485
CRF,noise_shift,brier,0.18844878479433885,0.0033037869214735172,20,0.0014479484593595505
CRF,noise_shift,coverage_80_risk,0.24402083333333335,0.008529784204026006,20,0.0037383427534667924
CRF,noise_shift,ece,0.0286931259884499,0.005558102274882748,20,0.002435945724456673
CRF,noise_shift,mean_uncertainty,0.2778731495141983,0.0069984771271593355,20,0.00306721783667992
CRF,noise_shift,nll,0.5567952209773879,0.008065237576075787,20,0.0035347462170590535
CRF,outlier_shift,auprc,0.7874736709451674,0.0071843034527690275,20,0.003148659814710087
CRF,outlier_shift,aurc,0.161756541005291,0.0060091732497682335,20,0.002633636295510798
CRF,outlier_shift,auroc,0.7935278745277725,0.007127874042133427,20,0.0031239285350802425
CRF,outlier_shift,brier,0.18560930656083335,0.0032692717057563997,20,0.001432821499113648
CRF,outlier_shift,coverage_80_risk,0.23802083333333335,0.009683284076028963,20,0.0042438863621306324
CRF,outlier_shift,ece,0.026371438115524747,0.008527517589972446,20,0.003737349366058699
CRF,outlier_shift,mean_uncertainty,0.2766029521822929,0.007027154829746042,20,0.0030797863939947094
CRF,outlier_shift,nll,0.5512342793908818,0.0073533705509436185,20,0.003222756737468382
CRF,silent_failure,auprc,0.7728003145677211,0.008598063961055802,20,0.0037682676763951275
CRF,silent_failure,aurc,0.17472354497354498,0.007553046213136182,20,0.003310268454874894
CRF,silent_failure,auroc,0.7801172938210382,0.007515959852250408,20,0.0032940146405750726
CRF,silent_failure,brier,0.1918492144971626,0.0033460674944439136,20,0.001466478737476282
CRF,silent_failure,coverage_80_risk,0.25125000000000003,0.007361042149075614,20,0.003226118963592545
CRF,silent_failure,ece,0.0318473049695914,0.007416348039533645,20,0.003250357838794127
CRF,silent_failure,mean_uncertainty,0.2737890526652336,0.007450090622408899,20,0.003265146177767043
CRF,silent_failure,nll,0.5659469048701222,0.008899239481984613,20,0.003900263668234451
CRF_NR,ID_missing,auprc,0.7896413968146107,0.010232767947452334,20,0.004484708286782945
CRF_NR,ID_missing,aurc,0.16223191137566137,0.006765160550755806,20,0.0029649623385572194
CRF_NR,ID_missing,auroc,0.7927356243721776,0.008282606974405414,20,0.0036300125562341353
CRF_NR,ID_missing,brier,0.18581561457566184,0.0036457154058682443,20,0.0015978052249313675
CRF_NR,ID_missing,coverage_80_risk,0.2383958333333333,0.010448001116920942,20,0.004579038382380075
CRF_NR,ID_missing,ece,0.023708170031011104,0.005340581319970216,20,0.0023406129626805153
CRF_NR,ID_missing,mean_uncertainty,0.2776699230074883,0.00653698529572938,20,0.0028649601238768217
CRF_NR,ID_missing,nll,0.5500984419590126,0.008623383758170431,20,0.0037793645667499915
CRF_NR,noise_shift,auprc,0.7831781117193084,0.007492414266233851,20,0.003283695332518067
CRF_NR,noise_shift,aurc,0.16654296296296295,0.006035028974229933,20,0.0026449680663815553
CRF_NR,noise_shift,auroc,0.7881536326887107,0.006701876365774748,20,0.0029372268216116297
CRF_NR,noise_shift,brier,0.18789122523277252,0.003017256180672969,20,0.0013223708254011645
CRF_NR,noise_shift,coverage_80_risk,0.24295833333333333,0.00685173495764573,20,0.003002905245305069
CRF_NR,noise_shift,ece,0.026101070213597265,0.006583931034853144,20,0.002885535001208025
CRF_NR,noise_shift,mean_uncertainty,0.2791029721498489,0.006628297279575819,20,0.0029049793652728578
CRF_NR,noise_shift,nll,0.5552587053023026,0.007523454616109545,20,0.003297299365662083
CRF_NR,outlier_shift,auprc,0.7878696598522337,0.0072133896860367185,20,0.003161407418490098
CRF_NR,outlier_shift,aurc,0.16090917328042326,0.0063447408907824215,20,0.0027807052985567644
CRF_NR,outlier_shift,auroc,0.7941487036911516,0.007476269624546691,20,0.003276619631326233
CRF_NR,outlier_shift,brier,0.18526933391115358,0.003379870547462211,20,0.0014812935786578869
CRF_NR,outlier_shift,coverage_80_risk,0.23697916666666666,0.008880990071446009,20,0.003892265511421782
CRF_NR,outlier_shift,ece,0.027283721651509406,0.00646730788314691,20,0.0028344226513948045
CRF_NR,outlier_shift,mean_uncertainty,0.2771197259426117,0.006508025067769357,20,0.002852267744357771
CRF_NR,outlier_shift,nll,0.5496902437353274,0.007373303066502097,20,0.0032314925475796425
CRF_NR,silent_failure,auprc,0.7671891117378715,0.009661069457883873,20,0.004234150376462375
