seed,variant,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
103,minus_brier,affected,macro_f1,0.46945484741602095,19740,15.300945599999977,0.002066613202771611
103,minus_brier,affected,macro_auroc,0.7881654235663604,19740,15.300945599999977,0.002066613202771611
103,minus_brier,affected,macro_auprc,0.5046363066571811,19740,15.300945599999977,0.002066613202771611
103,minus_brier,affected,nll,3.1405792807905706,19740,15.300945599999977,0.002066613202771611
103,minus_brier,affected,brier,0.8609463224301002,19740,15.300945599999977,0.002066613202771611
103,minus_brier,affected,ece15,0.38028691929393044,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,accuracy,0.5752212389380531,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,macro_f1,0.5545144873539604,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,macro_auroc,0.8620232525168013,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,macro_auprc,0.620181867142503,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,nll,1.8377649376067546,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,brier,0.6307504013700045,19740,15.300945599999977,0.002066613202771611
103,minus_brier,unaffected,ece15,0.2504273549370144,19740,15.300945599999977,0.002066613202771611
103,minus_interior,all,accuracy,0.534372135655362,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,all,macro_f1,0.5240117484989628,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,all,macro_auroc,0.8323167304539895,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,all,macro_auprc,0.5699711691773993,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,all,nll,2.4100665176145024,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,all,brier,0.7231877672014311,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,all,ece15,0.3074622270740794,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,accuracy,0.47422096317280454,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,macro_f1,0.4713180005123965,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,macro_auroc,0.7910708067206521,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,macro_auprc,0.5092720580967088,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,nll,3.208684283928233,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,brier,0.8591484650328928,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,affected,ece15,0.3843346550343057,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,accuracy,0.5752212389380531,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,macro_f1,0.5574635720917663,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,macro_auroc,0.8634963567372828,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,macro_auprc,0.6200912023394212,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,nll,1.8677193234845548,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,brier,0.630855858131585,19740,15.36298999999417,0.0018891154898447518
103,minus_interior,unaffected,ece15,0.25593187707852927,19740,15.36298999999417,0.0018891154898447518
103,minus_auc,all,accuracy,0.541704857928506,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,all,macro_f1,0.5336306148555211,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,all,macro_auroc,0.8313192470797666,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,all,macro_auprc,0.5711001822735278,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,all,nll,2.5002471088377938,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,all,brier,0.7280418626414762,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,all,ece15,0.30900010857884763,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,affected,accuracy,0.4776203966005666,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,affected,macro_f1,0.47661848709970495,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,affected,macro_auroc,0.7889043391357214,19740,14.27023160000681,0.0020199129256564105
103,minus_auc,affected,macro_auprc,0.50768478754589,19740,14.27023160000681,0.0020199129256564105
