task,seed,method,fault,subset,metric,value,n
cooler,104,RO-PDRF,pressure,all,ece15,0.0046721819405243226,214
cooler,104,RO-PDRF,pressure,affected,accuracy,0.9875,80
cooler,104,RO-PDRF,pressure,affected,macro_f1,0.9859587538394031,80
cooler,104,RO-PDRF,pressure,affected,macro_auroc,0.9897834697962615,80
cooler,104,RO-PDRF,pressure,affected,macro_auprc,0.974512384255492,80
cooler,104,RO-PDRF,pressure,affected,nll,0.19928175019284505,80
cooler,104,RO-PDRF,pressure,affected,brier,0.025000000483939428,80
cooler,104,RO-PDRF,pressure,affected,ece15,0.012498211860656694,80
cooler,104,RO-PDRF,pressure,unaffected,accuracy,1.0,134
cooler,104,RO-PDRF,pressure,unaffected,macro_f1,1.0,134
cooler,104,RO-PDRF,pressure,unaffected,macro_auroc,1.0,134
cooler,104,RO-PDRF,pressure,unaffected,macro_auprc,1.0,134
cooler,104,RO-PDRF,pressure,unaffected,nll,2.695568733472658e-07,134
cooler,104,RO-PDRF,pressure,unaffected,brier,6.1476397821556605e-12,134
cooler,104,RO-PDRF,pressure,unaffected,ece15,1.1920928955078125e-07,134
cooler,104,RO-PDRF,vibration,all,accuracy,0.9953271028037384,214
cooler,104,RO-PDRF,vibration,all,macro_f1,0.9953379953379953,214
cooler,104,RO-PDRF,vibration,all,macro_auroc,1.0,214
cooler,104,RO-PDRF,vibration,all,macro_auprc,1.0,214
cooler,104,RO-PDRF,vibration,all,nll,0.04858413866597213,214
cooler,104,RO-PDRF,vibration,all,brier,0.009345223914336643,214
cooler,104,RO-PDRF,vibration,all,ece15,0.0046727779869720765,214
cooler,104,RO-PDRF,vibration,affected,accuracy,0.989010989010989,91
cooler,104,RO-PDRF,vibration,affected,macro_f1,0.9893816874948951,91
cooler,104,RO-PDRF,vibration,affected,macro_auroc,1.0,91
cooler,104,RO-PDRF,vibration,affected,macro_auprc,1.0,91
cooler,104,RO-PDRF,vibration,affected,nll,0.11425264848103898,91
cooler,104,RO-PDRF,vibration,affected,brier,0.021976680413934524,91
cooler,104,RO-PDRF,vibration,affected,ece15,0.010988653361142298,91
cooler,104,RO-PDRF,vibration,unaffected,accuracy,1.0,123
cooler,104,RO-PDRF,vibration,unaffected,macro_f1,1.0,123
cooler,104,RO-PDRF,vibration,unaffected,macro_auroc,1.0,123
cooler,104,RO-PDRF,vibration,unaffected,macro_auprc,1.0,123
cooler,104,RO-PDRF,vibration,unaffected,nll,1.192092966562092e-07,123
cooler,104,RO-PDRF,vibration,unaffected,brier,2.0576681157598302e-24,123
cooler,104,RO-PDRF,vibration,unaffected,ece15,0.0,123
cooler,105,RO-CAGF,pressure,all,accuracy,0.9065420560747663,214
cooler,105,RO-CAGF,pressure,all,macro_f1,0.9079985396373248,214
cooler,105,RO-CAGF,pressure,all,macro_auroc,0.9586224286928512,214
cooler,105,RO-CAGF,pressure,all,macro_auprc,0.9045840254096471,214
cooler,105,RO-CAGF,pressure,all,nll,1.4476122300059835,214
cooler,105,RO-CAGF,pressure,all,brier,0.1869133163951649,214
cooler,105,RO-CAGF,pressure,all,ece15,0.09345722866949635,214
cooler,105,RO-CAGF,pressure,affected,accuracy,0.825,80
cooler,105,RO-CAGF,pressure,affected,macro_f1,0.8223596540652697,80
