method,seed,subset,metric,value,n
PDRF+Soft-CD,104,all,macro_auroc,0.8331486676825569,4364
PDRF+Soft-CD,104,all,macro_auprc,0.5738254465841903,4364
PDRF+Soft-CD,104,all,nll,2.2023309601560532,4364
PDRF+Soft-CD,104,all,brier,0.7194358282203984,4364
PDRF+Soft-CD,104,all,ece15,0.29785706174553916,4364
PDRF+Soft-CD,104,affected,accuracy,0.4838526912181303,1765
PDRF+Soft-CD,104,affected,macro_f1,0.47849511019112506,1765
PDRF+Soft-CD,104,affected,macro_auroc,0.7928196522774082,1765
PDRF+Soft-CD,104,affected,macro_auprc,0.5079059219105125,1765
PDRF+Soft-CD,104,affected,nll,2.7969225450799295,1765
PDRF+Soft-CD,104,affected,brier,0.8474962665438861,1765
PDRF+Soft-CD,104,affected,ece15,0.36399352754817127,1765
PDRF+Soft-CD,104,unaffected,accuracy,0.5844555598307041,2599
PDRF+Soft-CD,104,unaffected,macro_f1,0.5565546214674514,2599
PDRF+Soft-CD,104,unaffected,macro_auroc,0.864667773220878,2599
PDRF+Soft-CD,104,unaffected,macro_auprc,0.6411238584651375,2599
PDRF+Soft-CD,104,unaffected,nll,1.7985394451923586,2599
PDRF+Soft-CD,104,unaffected,brier,0.6324690434412694,2599
PDRF+Soft-CD,104,unaffected,ece15,0.25457665360905013,2599
RO-AT-GATE,104,all,accuracy,0.4649404216315307,4364
RO-AT-GATE,104,all,macro_f1,0.46000181095878,4364
RO-AT-GATE,104,all,macro_auroc,0.7542481468377437,4364
RO-AT-GATE,104,all,macro_auprc,0.4988460408704092,4364
RO-AT-GATE,104,all,nll,1.7563818349190836,4364
RO-AT-GATE,104,all,brier,0.7561535126228097,4364
RO-AT-GATE,104,all,ece15,0.19677853682287563,4364
RO-AT-GATE,104,affected,accuracy,0.42776203966005666,1765
RO-AT-GATE,104,affected,macro_f1,0.4175475175571124,1765
RO-AT-GATE,104,affected,macro_auroc,0.7206766578069429,1765
RO-AT-GATE,104,affected,macro_auprc,0.4453460383918293,1765
RO-AT-GATE,104,affected,nll,1.9734232498759594,1765
RO-AT-GATE,104,affected,brier,0.8162482998454184,1765
RO-AT-GATE,104,affected,ece15,0.2266407261826837,1765
RO-AT-GATE,104,unaffected,accuracy,0.49018853405155827,2599
RO-AT-GATE,104,unaffected,macro_f1,0.48733421550123884,2599
