model,stress_type,level,metric,mean,sd,n,ci95
RWF,fault_modality,1.0,aurc,0.35460708651608697,0.024912512762789912,10,0.015440935383412313
RWF,fault_modality,1.0,macro_auroc,0.7750841911169847,0.010939169565162646,10,0.006780167541194705
RWF,fault_modality,1.0,nll,2.9682724911864216,0.26647416800530505,10,0.1651624004650458
RWF,fault_modality,2.0,aurc,0.3144574200132869,0.026764085280629648,10,0.01658855191964419
RWF,fault_modality,2.0,macro_auroc,0.8017130363851983,0.010515213915400615,10,0.006517397107086356
RWF,fault_modality,2.0,nll,2.397816635522058,0.2232009927522405,10,0.13834140856913163
RWF,fault_modality,3.0,aurc,0.36414530808687584,0.013979343449375108,10,0.008664486836780895
RWF,fault_modality,3.0,macro_auroc,0.7733506075549347,0.006156721447914026,10,0.003815975488145136
RWF,fault_modality,3.0,nll,2.9269865351533824,0.23606218113046612,10,0.14631285571270092
RWF,fraction,0.1,aurc,0.2562179753548762,0.015953646291399348,10,0.009888172416041972
RWF,fraction,0.1,macro_auroc,0.834709999603181,0.007899295160616077,10,0.004896033865028512
RWF,fraction,0.1,nll,1.8974205091538665,0.14592114780031015,10,0.09044286442366961
RWF,fraction,0.25,aurc,0.2956262712205852,0.014969692644723523,10,0.009278311627479234
RWF,fraction,0.25,macro_auroc,0.809855125801388,0.009875790410525019,10,0.006121078312774841
RWF,fraction,0.25,nll,2.274534518630099,0.2098121088221121,10,0.13004289233395247
RWF,fraction,0.4,aurc,0.32724499961650777,0.020705291824957145,10,0.012833272829924474
RWF,fraction,0.4,macro_auroc,0.788194951330599,0.013175002790523242,10,0.00816595133143703
RWF,fraction,0.4,nll,2.6285942356755916,0.25811352432777174,10,0.15998041982673183
RWF,fraction,0.6,aurc,0.37203379091550737,0.02106103016598524,10,0.013053761738029381
RWF,fraction,0.6,macro_auroc,0.75949348375113,0.014100023496912363,10,0.008739285105178499
RWF,fraction,0.6,nll,3.1391128750249213,0.3722427014840205,10,0.23071841669647436
RWF,fraction,0.8,aurc,0.41109717047345773,0.025884152493502552,10,0.016043163927788574
RWF,fraction,0.8,macro_auroc,0.7345878647045869,0.015824964325646788,10,0.009808414507351062
RWF,fraction,0.8,nll,3.632003845377652,0.4436024836398006,10,0.27494766790583264
RWF,reported_quality,0.15,aurc,0.25416018503442545,0.01908369514835275,10,0.01182819679685552
RWF,reported_quality,0.15,macro_auroc,0.835451392351074,0.00830204470595488,10,0.005145660619442614
RWF,reported_quality,0.15,nll,1.85432504986519,0.13681377200279207,10,0.08479805442232868
RWF,reported_quality,0.4,aurc,0.2830212231501321,0.01957149181333365,10,0.012130536302144772
RWF,reported_quality,0.4,macro_auroc,0.816249488613586,0.010689108704223679,10,0.00662517821384567
RWF,reported_quality,0.4,nll,2.1532880616609207,0.1953351587936857,10,0.12106998574414818
RWF,reported_quality,0.7,aurc,0.30896364742998506,0.02015478598033154,10,0.012492065772411146
RWF,reported_quality,0.7,macro_auroc,0.7999091535562279,0.012361977322175305,10,0.007662032925398925
RWF,reported_quality,0.7,nll,2.4261825073952066,0.23557394899757172,10,0.14601024630160256
RWF,reported_quality,1.0,aurc,0.32724499961650777,0.020705291824957145,10,0.012833272829924474
RWF,reported_quality,1.0,macro_auroc,0.788194951330599,0.013175002790523242,10,0.00816595133143703
RWF,reported_quality,1.0,nll,2.6285942356755916,0.25811352432777174,10,0.15998041982673183
RWF,severity,0.0,aurc,0.230482016504245,0.01720248879367769,10,0.010662213018262595
RWF,severity,0.0,macro_auroc,0.8513784663058412,0.006463251604328455,10,0.004005964847441401
RWF,severity,0.0,nll,1.6555648221912147,0.11222706135247451,10,0.06955905328033014
RWF,severity,1.0,aurc,0.26005850350204734,0.01776687908430348,10,0.01101202574456432
RWF,severity,1.0,macro_auroc,0.8306031786276277,0.009003568730513013,10,0.005580469714625207
RWF,severity,1.0,nll,1.9082048396568805,0.16274722114994897,10,0.1008717727326054
RWF,severity,2.0,aurc,0.2973866529688738,0.020094358832758296,10,0.012454612638318787
RWF,severity,2.0,macro_auroc,0.8067181893631252,0.011673154602935451,10,0.007235096180812675
RWF,severity,2.0,nll,2.290544885548804,0.2239211069727906,10,0.138787739987165
RWF,severity,3.0,aurc,0.32724499961650777,0.020705291824957145,10,0.012833272829924474
RWF,severity,3.0,macro_auroc,0.788194951330599,0.013175002790523242,10,0.00816595133143703
RWF,severity,3.0,nll,2.6285942356755916,0.25811352432777174,10,0.15998041982673183
RWF,severity,4.0,aurc,0.3516861690621648,0.021055884086017967,10,0.013050572164620664
RWF,severity,4.0,macro_auroc,0.7736646348345642,0.013917276432962988,10,0.008626017301451957
RWF,severity,4.0,nll,2.9082988230084448,0.27853567777223964,10,0.17263820167028626
RWF,severity,5.0,aurc,0.3716458618777635,0.021254231278003303,10,0.013173509027878446
RWF,severity,5.0,macro_auroc,0.7620488252948328,0.014155204163148765,10,0.008773486436448564
RWF,severity,5.0,nll,3.140732282647671,0.2878040364871896,10,0.17838278991758605
UF,fault_modality,0.0,aurc,0.3070623618575216,0.01749529633047503,10,0.010843697009801853
UF,fault_modality,0.0,macro_auroc,0.7974702312075281,0.008658763870822024,10,0.005366757448461219
UF,fault_modality,0.0,nll,2.383373540237457,0.12438482822374064,10,0.07709451525694
UF,fault_modality,1.0,aurc,0.3181583652480894,0.01739552401548357,10,0.010781857488292901
UF,fault_modality,1.0,macro_auroc,0.8010315631420383,0.0058348396731127475,10,0.003616471097193927
UF,fault_modality,1.0,nll,2.4116387136890496,0.1589573680679103,10,0.09852279745622178
UF,fault_modality,2.0,aurc,0.2946670734460643,0.02465576991203862,10,0.015281804515869916
UF,fault_modality,2.0,macro_auroc,0.8169096497435694,0.009731601639114504,10,0.006031709186361835
UF,fault_modality,2.0,nll,2.0203340259429337,0.09389713527137263,10,0.05819804739160412
UF,fault_modality,3.0,aurc,0.3320722371294907,0.030381380026175044,10,0.01883057443100439
UF,fault_modality,3.0,macro_auroc,0.7993144874302556,0.012459766448132728,10,0.007722643253609745
UF,fault_modality,3.0,nll,2.36958955843959,0.13726363010194437,10,0.08507687936089893
UF,fraction,0.1,aurc,0.24339893021928644,0.023888848631683616,10,0.01480646178160294
UF,fraction,0.1,macro_auroc,0.840441569643336,0.009049178664046965,10,0.005608739044308858
UF,fraction,0.1,nll,1.7353001156374834,0.08085023144477352,10,0.05011149262058106
UF,fraction,0.25,aurc,0.2788392720821566,0.021553685483936245,10,0.013359112667628825
