held_out_building,method,regime,metric,mean,std
office,RO-PDRF-NOQ,coral_adapt,macro_auroc,0.864651667995657,0.006011589050946759
office,RO-PDRF-NOQ,coral_adapt,nll,0.21665070176245432,0.0033460782145074584
office,RO-PDRF-NOQ,coral_adapt,reversed_auroc,0.13534833528970633,0.006011580022432822
office,RO-PDRF-NOQ,source_norm,ece15,0.04526186506603306,0.004883046460812975
office,RO-PDRF-NOQ,source_norm,macro_auprc,0.6905105895302734,0.010564328455632316
office,RO-PDRF-NOQ,source_norm,macro_auroc,0.8872799516824221,0.00583654833509917
office,RO-PDRF-NOQ,source_norm,nll,0.24672457518952012,0.003561509065468111
office,RO-PDRF-NOQ,source_norm,reversed_auroc,0.11272004930840177,0.005836545894184704
office,RO-PDRF-NOQ,target_norm,ece15,0.04909772183190658,0.0026407262475468094
office,RO-PDRF-NOQ,target_norm,macro_auprc,0.59690280666551,0.011606924963194033
office,RO-PDRF-NOQ,target_norm,macro_auroc,0.7891350224988982,0.015455778868269095
office,RO-PDRF-NOQ,target_norm,nll,0.267171609652676,0.012258089946057992
office,RO-PDRF-NOQ,target_norm,reversed_auroc,0.21086498819156976,0.015455782467540669
