held_out_building,seed,method,regime,metric,value
auditorium,102,RO-PDRF-NOQ,source_norm,brier,0.07088693680546677
auditorium,102,RO-PDRF-NOQ,source_norm,ece15,0.025451091250528753
auditorium,102,RO-PDRF-NOQ,source_norm,reversed_auroc,0.016363499761573405
auditorium,102,RO-PDRF-NOQ,source_norm,recall_return_air_temperature_fault,0.9717416378316033
auditorium,102,RO-PDRF-NOQ,source_norm,recall_supply_air_temperature_fault,0.7772277227722773
auditorium,102,RO-PDRF-NOQ,source_norm,selective_error_at_0.5,0.00032073898261597567
auditorium,102,RO-PDRF-NOQ,source_norm,selective_error_at_0.8,0.01513481006314521
auditorium,102,RO-PDRF-NOQ,source_norm,selective_error_at_1,0.0399313629584489
auditorium,102,RO-PDRF-NOQ,source_norm,parameters,15055.0
auditorium,102,RO-PDRF-NOQ,source_norm,train_seconds,61.73720489999687
auditorium,102,RO-PDRF-NOQ,source_norm,epochs,12.0
auditorium,102,RO-PDRF-NOQ,source_norm,inference_ms_per_observation,0.0006839905704360594
auditorium,102,RO-PDRF-NOQ,target_norm,accuracy,0.9216126497426111
auditorium,102,RO-PDRF-NOQ,target_norm,macro_f1,0.6981424094398556
auditorium,102,RO-PDRF-NOQ,target_norm,macro_auroc,0.9626844905089251
auditorium,102,RO-PDRF-NOQ,target_norm,macro_auprc,0.7821296849012737
auditorium,102,RO-PDRF-NOQ,target_norm,nll,0.18590589416934028
auditorium,102,RO-PDRF-NOQ,target_norm,class_1_precision,0.9958774712767292
auditorium,102,RO-PDRF-NOQ,target_norm,class_1_recall,0.9226489978246069
auditorium,102,RO-PDRF-NOQ,target_norm,class_1_f1,0.9578657012326524
auditorium,102,RO-PDRF-NOQ,target_norm,class_1_auroc,0.9626844866253764
auditorium,102,RO-PDRF-NOQ,target_norm,class_1_auprc,0.9984556285612747
auditorium,102,RO-PDRF-NOQ,target_norm,class_2_precision,0.29058787694182153
auditorium,102,RO-PDRF-NOQ,target_norm,class_2_recall,0.892422825070159
auditorium,102,RO-PDRF-NOQ,target_norm,class_2_f1,0.4384191176470588
auditorium,102,RO-PDRF-NOQ,target_norm,class_2_auroc,0.9626844943924739
auditorium,102,RO-PDRF-NOQ,target_norm,class_2_auprc,0.5658037412412726
auditorium,102,RO-PDRF-NOQ,target_norm,brier,0.11080031657041241
auditorium,102,RO-PDRF-NOQ,target_norm,ece15,0.01756890085407744
auditorium,102,RO-PDRF-NOQ,target_norm,reversed_auroc,0.03731550560752599
auditorium,102,RO-PDRF-NOQ,target_norm,recall_return_air_temperature_fault,0.919838523644752
auditorium,102,RO-PDRF-NOQ,target_norm,recall_supply_air_temperature_fault,0.7747524752475248
auditorium,102,RO-PDRF-NOQ,target_norm,selective_error_at_0.5,0.007184553210597189
auditorium,102,RO-PDRF-NOQ,target_norm,selective_error_at_0.8,0.017480204470281646
auditorium,102,RO-PDRF-NOQ,target_norm,selective_error_at_1,0.07838735025738885
auditorium,102,RO-PDRF-NOQ,target_norm,parameters,15055.0
auditorium,102,RO-PDRF-NOQ,target_norm,train_seconds,61.73720489999687
auditorium,102,RO-PDRF-NOQ,target_norm,epochs,12.0
auditorium,102,RO-PDRF-NOQ,target_norm,inference_ms_per_observation,0.00041590839835657726
auditorium,102,RO-PDRF-NOQ,coral_adapt,accuracy,0.9180043940535946
auditorium,102,RO-PDRF-NOQ,coral_adapt,macro_f1,0.6943834715424104
auditorium,102,RO-PDRF-NOQ,coral_adapt,macro_auroc,0.9614335625543631
auditorium,102,RO-PDRF-NOQ,coral_adapt,macro_auprc,0.7721840024126574
auditorium,102,RO-PDRF-NOQ,coral_adapt,nll,0.27089014715897525
auditorium,102,RO-PDRF-NOQ,coral_adapt,class_1_precision,0.9966473196582429
auditorium,102,RO-PDRF-NOQ,coral_adapt,class_1_recall,0.9181819691459506
auditorium,102,RO-PDRF-NOQ,coral_adapt,class_1_f1,0.9558069785733424
auditorium,102,RO-PDRF-NOQ,coral_adapt,class_1_auroc,0.9614335683796862
auditorium,102,RO-PDRF-NOQ,coral_adapt,class_1_auprc,0.9983887209159158
auditorium,102,RO-PDRF-NOQ,coral_adapt,class_2_precision,0.28376217473469983
