method,fault,batch,metric,value,n_samples
DWR,natural,10,macro_auroc,0.8714177777777778,3600
DWR,natural,10,macro_auprc,0.6843413984334852,3600
DWR,natural,10,accuracy,0.5888888888888889,3600
DWR,natural,10,macro_f1,0.5539927128671432,3600
DWR,natural,10,nll,1.2234686711726859,3600
DWR,offset,8,macro_auroc,0.9398661704620971,294
DWR,offset,8,macro_auprc,0.8163385393244763,294
DWR,offset,8,accuracy,0.6496598639455783,294
DWR,offset,8,macro_f1,0.6992332350074522,294
DWR,offset,8,nll,0.8568993786940486,294
DWR,offset,9,macro_auroc,0.8791603349032666,470
DWR,offset,9,macro_auprc,0.766017672744817,470
DWR,offset,9,accuracy,0.6148936170212767,470
DWR,offset,9,macro_f1,0.6061913554385779,470
DWR,offset,9,nll,0.9808395640867384,470
DWR,offset,10,macro_auroc,0.8517406481481483,3600
DWR,offset,10,macro_auprc,0.6588023255667096,3600
DWR,offset,10,accuracy,0.5911111111111111,3600
DWR,offset,10,macro_f1,0.5557465512797999,3600
DWR,offset,10,nll,1.2542488819136792,3600
DWR,silent_gaussian,8,macro_auroc,0.9486113105620904,294
DWR,silent_gaussian,8,macro_auprc,0.8257177690910266,294
DWR,silent_gaussian,8,accuracy,0.7312925170068028,294
DWR,silent_gaussian,8,macro_f1,0.7018918024014429,294
DWR,silent_gaussian,8,nll,0.7933702343119567,294
DWR,silent_gaussian,9,macro_auroc,0.9048171022072605,470
DWR,silent_gaussian,9,macro_auprc,0.7812736438208475,470
DWR,silent_gaussian,9,accuracy,0.6297872340425532,470
DWR,silent_gaussian,9,macro_f1,0.604246090492187,470
DWR,silent_gaussian,9,nll,0.9588312023096995,470
DWR,silent_gaussian,10,macro_auroc,0.8574045370370369,3600
DWR,silent_gaussian,10,macro_auprc,0.663523947317857,3600
DWR,silent_gaussian,10,accuracy,0.5891666666666666,3600
DWR,silent_gaussian,10,macro_f1,0.5502038202101344,3600
DWR,silent_gaussian,10,nll,1.2364339167518408,3600
DWR,stuck_at,8,macro_auroc,0.946022929565378,294
DWR,stuck_at,8,macro_auprc,0.8412582968547673,294
DWR,stuck_at,8,accuracy,0.7687074829931972,294
DWR,stuck_at,8,macro_f1,0.7577975740734361,294
DWR,stuck_at,8,nll,0.8893975554571477,294
DWR,stuck_at,9,macro_auroc,0.9041899575428937,470
DWR,stuck_at,9,macro_auprc,0.7840679498334272,470
DWR,stuck_at,9,accuracy,0.648936170212766,470
DWR,stuck_at,9,macro_f1,0.6205635970507025,470
DWR,stuck_at,9,nll,0.9933831864837724,470
DWR,stuck_at,10,macro_auroc,0.840563148148148,3600
DWR,stuck_at,10,macro_auprc,0.6413171166791015,3600
DWR,stuck_at,10,accuracy,0.5805555555555556,3600
DWR,stuck_at,10,macro_f1,0.5715188587629362,3600
DWR,stuck_at,10,nll,1.1764300600765019,3600
EF,clipping,8,macro_auroc,0.9545243074535822,294
EF,clipping,8,macro_auprc,0.8765124261935858,294
EF,clipping,8,accuracy,0.8945578231292517,294
EF,clipping,8,macro_f1,0.8345486131024678,294
EF,clipping,8,nll,0.6090353531747813,294
EF,clipping,9,macro_auroc,0.9197092504005964,470
EF,clipping,9,macro_auprc,0.8069886261427927,470
EF,clipping,9,accuracy,0.6914893617021277,470
EF,clipping,9,macro_f1,0.6516130733389498,470
EF,clipping,9,nll,0.9376595534205289,470
EF,clipping,10,macro_auroc,0.8567091666666666,3600
EF,clipping,10,macro_auprc,0.6458183091062688,3600
EF,clipping,10,accuracy,0.6022222222222222,3600
EF,clipping,10,macro_f1,0.5932943248682899,3600
EF,clipping,10,nll,1.245129074392384,3600
EF,correlated_dual,8,macro_auroc,0.9360058917788705,294
EF,correlated_dual,8,macro_auprc,0.8139920781328395,294
EF,correlated_dual,8,accuracy,0.8095238095238095,294
EF,correlated_dual,8,macro_f1,0.7385349234221718,294
EF,correlated_dual,8,nll,0.8439772698877557,294
EF,correlated_dual,9,macro_auroc,0.8938659385205182,470
EF,correlated_dual,9,macro_auprc,0.7633094078510244,470
EF,correlated_dual,9,accuracy,0.6659574468085107,470
EF,correlated_dual,9,macro_f1,0.6256962975283961,470
EF,correlated_dual,9,nll,1.0797316276352578,470
EF,correlated_dual,10,macro_auroc,0.8458849074074074,3600
EF,correlated_dual,10,macro_auprc,0.636111609890091,3600
EF,correlated_dual,10,accuracy,0.5888888888888889,3600
EF,correlated_dual,10,macro_f1,0.5761364380592678,3600
EF,correlated_dual,10,nll,1.2595543437115748,3600
EF,gain_loss,8,macro_auroc,0.956117615883428,294
EF,gain_loss,8,macro_auprc,0.8772448522444093,294
EF,gain_loss,8,accuracy,0.8809523809523809,294
EF,gain_loss,8,macro_f1,0.8385269781533897,294
EF,gain_loss,8,nll,0.60944177672111,294
EF,gain_loss,9,macro_auroc,0.9243413806339645,470
EF,gain_loss,9,macro_auprc,0.8063645125776335,470
EF,gain_loss,9,accuracy,0.6872340425531915,470
EF,gain_loss,9,macro_f1,0.6527905954735224,470
EF,gain_loss,9,nll,0.8523576113455605,470
EF,gain_loss,10,macro_auroc,0.8556678703703704,3600
EF,gain_loss,10,macro_auprc,0.6518637124672434,3600
EF,gain_loss,10,accuracy,0.6088888888888889,3600
EF,gain_loss,10,macro_f1,0.5949786142563661,3600
EF,gain_loss,10,nll,1.252179034719387,3600
EF,linear_drift,8,macro_auroc,0.9557766104840208,294
EF,linear_drift,8,macro_auprc,0.8709176850017398,294
EF,linear_drift,8,accuracy,0.8945578231292517,294
EF,linear_drift,8,macro_f1,0.8544362333757088,294
EF,linear_drift,8,nll,0.5906328860483895,294
EF,linear_drift,9,macro_auroc,0.9237848235459191,470
EF,linear_drift,9,macro_auprc,0.8036087700733884,470
EF,linear_drift,9,accuracy,0.6638297872340425,470
EF,linear_drift,9,macro_f1,0.6512912581083798,470
EF,linear_drift,9,nll,0.7859089696615454,470
EF,linear_drift,10,macro_auroc,0.8490414814814815,3600
EF,linear_drift,10,macro_auprc,0.6441235297690994,3600
EF,linear_drift,10,accuracy,0.59,3600
EF,linear_drift,10,macro_f1,0.5691986068622992,3600
EF,linear_drift,10,nll,1.390551045447234,3600
EF,natural,8,macro_auroc,0.960787251405807,294
EF,natural,8,macro_auprc,0.898994107059858,294
EF,natural,8,accuracy,0.8809523809523809,294
EF,natural,8,macro_f1,0.8281283028823335,294
EF,natural,8,nll,0.4901035619733312,294
EF,natural,9,macro_auroc,0.9326283453577376,470
EF,natural,9,macro_auprc,0.8050791671492606,470
EF,natural,9,accuracy,0.6638297872340425,470
EF,natural,9,macro_f1,0.6142018340173961,470
EF,natural,9,nll,0.9892748756889127,470
EF,natural,10,macro_auroc,0.8665576851851853,3600
EF,natural,10,macro_auprc,0.6660694391133289,3600
EF,natural,10,accuracy,0.6147222222222222,3600
EF,natural,10,macro_f1,0.600113882018625,3600
EF,natural,10,nll,1.569323561680716,3600
EF,offset,8,macro_auroc,0.9440109676151218,294
EF,offset,8,macro_auprc,0.8461757988925672,294
EF,offset,8,accuracy,0.6054421768707483,294
EF,offset,8,macro_f1,0.6926545829273908,294
EF,offset,8,nll,0.8974534975647048,294
EF,offset,9,macro_auroc,0.9002110019379881,470
EF,offset,9,macro_auprc,0.7843742031292432,470
EF,offset,9,accuracy,0.6468085106382979,470
EF,offset,9,macro_f1,0.6479289914380392,470
EF,offset,9,nll,0.8784339079524018,470
EF,offset,10,macro_auroc,0.8454315740740741,3600
EF,offset,10,macro_auprc,0.6412104899950607,3600
EF,offset,10,accuracy,0.5775,3600
EF,offset,10,macro_f1,0.5585654629415763,3600
EF,offset,10,nll,1.4255932549335573,3600
EF,silent_gaussian,8,macro_auroc,0.9406816862864114,294
EF,silent_gaussian,8,macro_auprc,0.8366962450933072,294
EF,silent_gaussian,8,accuracy,0.8231292517006803,294
EF,silent_gaussian,8,macro_f1,0.7789600585095678,294
EF,silent_gaussian,8,nll,0.7942745708149379,294
EF,silent_gaussian,9,macro_auroc,0.9056153689227485,470
EF,silent_gaussian,9,macro_auprc,0.7862477209591309,470
EF,silent_gaussian,9,accuracy,0.674468085106383,470
EF,silent_gaussian,9,macro_f1,0.6425961694408028,470
EF,silent_gaussian,9,nll,0.9803190338312886,470
EF,silent_gaussian,10,macro_auroc,0.8493362962962961,3600
EF,silent_gaussian,10,macro_auprc,0.6408035661700268,3600
EF,silent_gaussian,10,accuracy,0.5961111111111111,3600
EF,silent_gaussian,10,macro_f1,0.580383693833934,3600
EF,silent_gaussian,10,nll,1.2524376501395988,3600
EF,stuck_at,8,macro_auroc,0.9567445559550354,294
EF,stuck_at,8,macro_auprc,0.891761827051546,294
EF,stuck_at,8,accuracy,0.8401360544217688,294
EF,stuck_at,8,macro_f1,0.8159885516227404,294
EF,stuck_at,8,nll,0.6405147739213565,294
EF,stuck_at,9,macro_auroc,0.9205774711598534,470
EF,stuck_at,9,macro_auprc,0.8048695288598152,470
EF,stuck_at,9,accuracy,0.6893617021276596,470
EF,stuck_at,9,macro_f1,0.6576988327691008,470
EF,stuck_at,9,nll,0.8438347939404787,470
EF,stuck_at,10,macro_auroc,0.849615648148148,3600
EF,stuck_at,10,macro_auprc,0.643382906819527,3600
EF,stuck_at,10,accuracy,0.6030555555555556,3600
EF,stuck_at,10,macro_f1,0.5892892209044213,3600
EF,stuck_at,10,nll,1.2588961799505534,3600
UF,clipping,8,macro_auroc,0.927996120016877,294
UF,clipping,8,macro_auprc,0.7752378128240123,294
UF,clipping,8,accuracy,0.7959183673469388,294
UF,clipping,8,macro_f1,0.6747168585423924,294
UF,clipping,8,nll,0.7762672743085922,294
UF,clipping,9,macro_auroc,0.917702791672109,470
UF,clipping,9,macro_auprc,0.7961613154628342,470
UF,clipping,9,accuracy,0.6340425531914894,470
UF,clipping,9,macro_f1,0.563099302208213,470
UF,clipping,9,nll,1.0835241560494795,470
