seed,teacher,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
102,confidence_selected,unaffected,macro_auprc,0.6490674807228709,19740,18.101103299995884,0.002602153984104402
102,confidence_selected,unaffected,nll,1.5711351512015763,19740,18.101103299995884,0.002602153984104402
102,confidence_selected,unaffected,brier,0.5898604099693481,19740,18.101103299995884,0.002602153984104402
102,confidence_selected,unaffected,ece15,0.19801323599717685,19740,18.101103299995884,0.002602153984104402
103,best_ce,all,accuracy,0.5517873510540788,19740,15.602757299988298,0.002200962419634024
103,best_ce,all,macro_f1,0.5371518324012112,19740,15.602757299988298,0.002200962419634024
103,best_ce,all,macro_auroc,0.8394120467156232,19740,15.602757299988298,0.002200962419634024
103,best_ce,all,macro_auprc,0.5806483045468265,19740,15.602757299988298,0.002200962419634024
103,best_ce,all,nll,2.290799589740295,19740,15.602757299988298,0.002200962419634024
103,best_ce,all,brier,0.6944326396993244,19740,15.602757299988298,0.002200962419634024
103,best_ce,all,ece15,0.2829777015446524,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,accuracy,0.5104166666666666,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,macro_f1,0.4945029327294222,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,macro_auroc,0.8105654040350827,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,macro_auprc,0.5322725080762338,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,nll,2.941836260995919,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,brier,0.798222654023112,19740,15.602757299988298,0.002200962419634024
103,best_ce,affected,ece15,0.3500938910163111,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,accuracy,0.578907435508346,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,macro_f1,0.5626298833116742,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,macro_auroc,0.861407644905686,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,macro_auprc,0.6219170079531985,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,nll,1.8640198598731792,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,brier,0.6263942691562651,19740,15.602757299988298,0.002200962419634024
103,best_ce,unaffected,ece15,0.23898044006958352,19740,15.602757299988298,0.002200962419634024
103,clean_only,all,accuracy,0.5508707607699358,19740,14.811983699997654,0.0017142529773778144
