method,fault,metric,mean,sd,n,ci95
CFA,burst,macro_f1,0.4914602106640166,0.027037796214650564,10,0.01675819971415583
CFA,burst,nll,2.247623481820276,0.23606112863550757,10,0.14631220336956713
CFA,clipping,accuracy,0.5502978918423465,0.01670115713979392,10,0.01035148443993786
CFA,clipping,aurc,0.23033033047425971,0.015241170366170861,10,0.009446575262497436
CFA,clipping,ece,0.1930525293630077,0.02664990275685968,10,0.016517780858200704
CFA,clipping,macro_auroc,0.8466417561924224,0.00622554373729039,10,0.003858631985035574
CFA,clipping,macro_f1,0.5302204563087558,0.01732071559979953,10,0.010735490751877696
CFA,clipping,nll,1.6359978893962115,0.11175608330968238,10,0.06926713806507247
CFA,correlated,accuracy,0.4922318973418882,0.011534241617756597,10,0.007148997020583949
CFA,correlated,aurc,0.34390060325793465,0.02070881577040181,10,0.012835456993939717
CFA,correlated,ece,0.2985199010779861,0.020774721620893225,10,0.012876305863281663
CFA,correlated,macro_auroc,0.7763326661208555,0.010209720582658172,10,0.00632805037775984
CFA,correlated,macro_f1,0.4753186240672137,0.011229222191024032,10,0.006959944021245494
CFA,correlated,nll,2.8015435927897547,0.24066830875193226,10,0.14916776319024133
CFA,delayed_quality,accuracy,0.5244958753437213,0.012136627796461618,10,0.007522359842303715
CFA,delayed_quality,aurc,0.2772345325686464,0.0145639869365583,10,0.009026852624362635
CFA,delayed_quality,ece,0.24048309721441904,0.02193563666452359,10,0.013595848462015501
CFA,delayed_quality,macro_auroc,0.8176376685889994,0.007975553176330034,10,0.0049432990728507115
CFA,delayed_quality,macro_f1,0.5050364312057827,0.011278336689857922,10,0.006990385503006238
CFA,delayed_quality,nll,2.0599672404675715,0.18737253389282324,10,0.1161346996994498
CFA,misleading_quality,accuracy,0.4763061411549037,0.011467151346869892,10,0.007107414039875374
CFA,misleading_quality,aurc,0.3810080921784361,0.013400243169326498,10,0.008305556764576281
CFA,misleading_quality,ece,0.31467634507076764,0.020581643431740224,10,0.012756634761813698
CFA,misleading_quality,macro_auroc,0.7506524558679994,0.007773852674859112,10,0.004818283806840845
CFA,misleading_quality,macro_f1,0.4630496648195039,0.009672923484600903,10,0.005995340089398815
CFA,misleading_quality,nll,3.251595693749889,0.28300802291043803,10,0.1754101899056274
CFA,silent_gaussian,accuracy,0.5138405132905591,0.010649378444263401,10,0.006600553143598677
CFA,silent_gaussian,aurc,0.30289041284341256,0.014501044556815194,10,0.0089878405332201
CFA,silent_gaussian,ece,0.259920038629791,0.021728244462250447,10,0.013467305443299769
CFA,silent_gaussian,macro_auroc,0.8024172404600692,0.00897269985616168,10,0.005561336988081077
CFA,silent_gaussian,macro_f1,0.49510326611512057,0.009423107164255038,10,0.005840502329879677
CFA,silent_gaussian,nll,2.3111433366074094,0.23563239312649994,10,0.146046470348005
CRF,bias,accuracy,0.5182630614115491,0.0282165044530812,10,0.017488770649283975
CRF,bias,aurc,0.27422481538883287,0.022685209058405674,10,0.01406043824504254
CRF,bias,ece,0.2457063634983178,0.042398920701686715,10,0.026279123311038124
CRF,bias,macro_auroc,0.8197238868705223,0.00989967367680268,10,0.006135881314577573
CRF,bias,macro_f1,0.5134030924720556,0.02692133096418548,10,0.016686013804048428
CRF,bias,nll,2.088539206075393,0.26251431071538783,10,0.1627080554889552
CRF,burst,accuracy,0.5330430797433547,0.035181893222454665,10,0.021805963336040346
CRF,burst,aurc,0.2677288687106224,0.02950248583093809,10,0.018285830165071494
CRF,burst,ece,0.23795089409349432,0.027213182638625075,10,0.016866905345960387
CRF,burst,macro_auroc,0.8284637479258876,0.01094835549425312,10,0.00678586103903144
CRF,burst,macro_f1,0.5109422147620257,0.03072129334574339,10,0.019041254889189865
CRF,burst,nll,1.9620367688378693,0.15212311859535335,10,0.09428688574772925
CRF,clipping,accuracy,0.5588450962419798,0.02461148745449169,10,0.015254357964327264
CRF,clipping,aurc,0.2308425923971651,0.017981467434707077,10,0.011145028982100602
CRF,clipping,ece,0.1951701081995566,0.025172630305542773,10,0.015602157906727504
CRF,clipping,macro_auroc,0.8484835471596328,0.007616760757768178,10,0.0047209172278789464
CRF,clipping,macro_f1,0.5314073142325687,0.023976711407618995,10,0.014860919694329105
CRF,clipping,nll,1.6579923156478649,0.10484769448496077,10,0.06498527431003036
CRF,correlated,accuracy,0.5194087992667278,0.021923793569712625,10,0.013588508035802497
CRF,correlated,aurc,0.2994837487857339,0.024123844398354483,10,0.014952113666785716
