method,pool,subset,metric,value
PDRF_REC,log_probability_mean,affected,macro_auprc,0.5280976529900937
PDRF_REC,log_probability_mean,affected,nll,2.7194003682043344
PDRF_REC,log_probability_mean,affected,brier,0.8100306484120215
PDRF_REC,log_probability_mean,affected,ece15,0.34406627561823167
PDRF_REC,log_probability_mean,unaffected,accuracy,0.6040784917275875
PDRF_REC,log_probability_mean,unaffected,macro_f1,0.5759412216777147
PDRF_REC,log_probability_mean,unaffected,macro_auroc,0.8753110818526446
PDRF_REC,log_probability_mean,unaffected,macro_auprc,0.6619956010836191
PDRF_REC,log_probability_mean,unaffected,nll,1.6491251937593894
PDRF_REC,log_probability_mean,unaffected,brier,0.5831934172536976
PDRF_REC,log_probability_mean,unaffected,ece15,0.2166406065168267
PDRF_REC,majority_vote,all,accuracy,0.5467461044912924
PDRF_REC,majority_vote,all,macro_f1,0.5314990415033481
PDRF_REC,majority_vote,all,macro_auroc,0.7439778893607145
PDRF_REC,majority_vote,all,macro_auprc,0.49672452762301256
PDRF_REC,majority_vote,all,nll,10.118226344955156
PDRF_REC,majority_vote,all,brier,0.7516040329937252
PDRF_REC,majority_vote,all,ece15,0.3321112129503005
PDRF_REC,majority_vote,affected,accuracy,0.48158640226628896
PDRF_REC,majority_vote,affected,macro_f1,0.47656546793717647
PDRF_REC,majority_vote,affected,macro_auroc,0.7198613525801001
PDRF_REC,majority_vote,affected,macro_auprc,0.4306270836018509
PDRF_REC,majority_vote,affected,nll,11.392349161578368
PDRF_REC,majority_vote,affected,brier,0.8586717028602999
PDRF_REC,majority_vote,affected,ece15,0.3805476864926317
PDRF_REC,majority_vote,unaffected,accuracy,0.5909965371296653
PDRF_REC,majority_vote,unaffected,macro_f1,0.5654784423143459
PDRF_REC,majority_vote,unaffected,macro_auroc,0.7589027206138343
PDRF_REC,majority_vote,unaffected,macro_auprc,0.5430697983399356
PDRF_REC,majority_vote,unaffected,nll,9.252960176682755
PDRF_REC,majority_vote,unaffected,brier,0.6788935915491293
PDRF_REC,majority_vote,unaffected,ece15,0.2992176478090096
PDRF_REC,validation_selected,all,accuracy,0.5545371219065078
PDRF_REC,validation_selected,all,macro_f1,0.5366429351772982
PDRF_REC,validation_selected,all,macro_auroc,0.8432327163416092
PDRF_REC,validation_selected,all,macro_auprc,0.5955892560785884
PDRF_REC,validation_selected,all,nll,1.9290128024977244
PDRF_REC,validation_selected,all,brier,0.6843293464875079
PDRF_REC,validation_selected,all,ece15,0.25677146343983825
PDRF_REC,validation_selected,affected,accuracy,0.49178470254957507
PDRF_REC,validation_selected,affected,macro_f1,0.4786045003154176
PDRF_REC,validation_selected,affected,macro_auroc,0.8065894260114832
PDRF_REC,validation_selected,affected,macro_auprc,0.5224216686637925
PDRF_REC,validation_selected,affected,nll,2.3320350645955465
PDRF_REC,validation_selected,affected,brier,0.7868812954646149
PDRF_REC,validation_selected,affected,ece15,0.3150911719029078
PDRF_REC,validation_selected,unaffected,accuracy,0.5971527510580993
PDRF_REC,validation_selected,unaffected,macro_f1,0.5726403235698563
PDRF_REC,validation_selected,unaffected,macro_auroc,0.8691359280088063
PDRF_REC,validation_selected,unaffected,macro_auprc,0.6559812467318661
PDRF_REC,validation_selected,unaffected,nll,1.6553174225043976
PDRF_REC,validation_selected,unaffected,brier,0.6146855642848936
PDRF_REC,validation_selected,unaffected,ece15,0.2174228143696603
PDRF_RISK,probability_mean,all,accuracy,0.5465169569202566
PDRF_RISK,probability_mean,all,macro_f1,0.5303186436515765
PDRF_RISK,probability_mean,all,macro_auroc,0.8414473090633062
PDRF_RISK,probability_mean,all,macro_auprc,0.605993825309845
PDRF_RISK,probability_mean,all,nll,1.9712110505567229
PDRF_RISK,probability_mean,all,brier,0.6533305483005263
PDRF_RISK,probability_mean,all,ece15,0.2383150817548103
PDRF_RISK,probability_mean,affected,accuracy,0.47932011331444757
PDRF_RISK,probability_mean,affected,macro_f1,0.47587052280554726
PDRF_RISK,probability_mean,affected,macro_auroc,0.8004543659094846
PDRF_RISK,probability_mean,affected,macro_auprc,0.5374707545373733
PDRF_RISK,probability_mean,affected,nll,2.519854396227575
PDRF_RISK,probability_mean,affected,brier,0.7704770755389212
PDRF_RISK,probability_mean,affected,ece15,0.2957137357749615
PDRF_RISK,probability_mean,unaffected,accuracy,0.5921508272412467
PDRF_RISK,probability_mean,unaffected,macro_f1,0.5625197068536605
PDRF_RISK,probability_mean,unaffected,macro_auroc,0.870927641646834
PDRF_RISK,probability_mean,unaffected,macro_auprc,0.6566410297285302
PDRF_RISK,probability_mean,unaffected,nll,1.5986233225424662
PDRF_RISK,probability_mean,unaffected,brier,0.5737754807454024
PDRF_RISK,probability_mean,unaffected,ece15,0.19933527674799745
PDRF_RISK,log_probability_mean,all,accuracy,0.5472043996333639
PDRF_RISK,log_probability_mean,all,macro_f1,0.5311106455018524
PDRF_RISK,log_probability_mean,all,macro_auroc,0.838924352304793
PDRF_RISK,log_probability_mean,all,macro_auprc,0.5932631930793452
PDRF_RISK,log_probability_mean,all,nll,2.1676165059607517
PDRF_RISK,log_probability_mean,all,brier,0.6859797159428281
PDRF_RISK,log_probability_mean,all,ece15,0.27460535503684874
PDRF_RISK,log_probability_mean,affected,accuracy,0.47875354107648727
PDRF_RISK,log_probability_mean,affected,macro_f1,0.47585866530137716
PDRF_RISK,log_probability_mean,affected,macro_auroc,0.7963228634381093
PDRF_RISK,log_probability_mean,affected,macro_auprc,0.5246144775691081
PDRF_RISK,log_probability_mean,affected,nll,2.854306025672968
PDRF_RISK,log_probability_mean,affected,brier,0.8223836508462503
PDRF_RISK,log_probability_mean,affected,ece15,0.353145285351756
PDRF_RISK,log_probability_mean,unaffected,accuracy,0.5936898807233552
PDRF_RISK,log_probability_mean,unaffected,macro_f1,0.5634886243631246
PDRF_RISK,log_probability_mean,unaffected,macro_auroc,0.8706247407528273
PDRF_RISK,log_probability_mean,unaffected,macro_auprc,0.6510560936984229
PDRF_RISK,log_probability_mean,unaffected,nll,1.7012806066563804
PDRF_RISK,log_probability_mean,unaffected,brier,0.5933468013200732
PDRF_RISK,log_probability_mean,unaffected,ece15,0.22184719206645603
PDRF_RISK,majority_vote,all,accuracy,0.5485792850595783
PDRF_RISK,majority_vote,all,macro_f1,0.5314804195573476
PDRF_RISK,majority_vote,all,macro_auroc,0.7517190054302034
PDRF_RISK,majority_vote,all,macro_auprc,0.47518200931267973
PDRF_RISK,majority_vote,all,nll,10.622213422812434
