score_clean,score_degraded,weight_clean,weight_degraded
-1.6830096,2.3412948,0.29389253,0.13208716
-0.98563373,2.684534,0.32307762,0.16013743
-1.7018528,2.8565533,0.29338914,0.11726572
-1.3531071,2.9988182,0.28255668,0.11714006
-1.747428,2.996467,0.3796627,0.15749925
-1.0262257,2.954797,0.27356336,0.12218778
-0.9747033,2.998673,0.2725048,0.12182125
-0.99779546,2.9981244,0.2650541,0.1172387
-0.96788025,2.9700563,0.25336063,0.11252025
-1.8166664,2.9999504,0.30236956,0.11504702
-0.9762554,2.9960194,0.2690862,0.12001031
-1.7234212,2.3714986,0.29463023,0.13047892
-1.3156452,2.3562512,0.28197134,0.13555875
-1.7422333,2.9998348,0.29104203,0.11146677
-1.002744,2.996761,0.2573319,0.11307001
-1.0148475,2.999942,0.35916308,0.170414
-1.131601,2.998268,0.26082364,0.11163389
-1.3813831,2.999999,0.38419828,0.17262854
-1.3624054,2.9999945,0.379066,0.17021358
-1.7989622,2.9597306,0.41669178,0.17857352
-0.9789165,2.975658,0.2572202,0.11414227
-1.0187811,2.9999166,0.5645385,0.32189602
-1.5121388,2.9999065,0.27976927,0.11168759
-1.7971935,2.9999378,0.6125051,0.3226919
-1.0371888,2.9999993,0.2584024,0.11268679
-0.94392025,2.999993,0.34963685,0.16705924
-1.7495842,2.999647,0.2940502,0.11273521
-1.0402429,2.9986517,0.26200968,0.1145309
-0.9687228,2.9791594,0.34360582,0.16325076
-1.7398458,2.9829965,0.36607778,0.1506143
-1.3193926,2.9990213,0.36131948,0.16121098
-0.92119336,2.9999962,0.3159481,0.14770027
-1.7361234,2.527776,0.29242468,0.12459569
-1.0362027,2.9999683,0.3190214,0.1458765
-1.7317818,2.9784358,0.29507595,0.114212975
-1.0107648,2.8009033,0.25844702,0.11847277
-1.0683396,2.9791465,0.27355006,0.12040968
-0.9762323,2.4687972,0.26652732,0.13312909
-0.7545711,-0.6233401,0.32652038,0.31934726
-1.7711027,2.1020734,0.3707165,0.18280792
-0.8937372,2.9993756,0.33718887,0.16122724
-1.7686186,2.9997156,0.2995613,0.11491699
-0.8514826,2.9973345,0.24391401,0.109725945
-1.0057462,2.999761,0.34687668,0.16325945
-1.6420836,2.9975276,0.28979343,0.113418326
-1.7938876,2.9998846,0.39001682,0.16169304
-0.9782579,2.956411,0.27004927,0.12152796
-0.6226099,2.9927487,0.33688983,0.17065038
-1.7379566,2.9749851,0.29396233,0.11360327
-1.2724051,3.0,0.49315527,0.2505874
-1.6273484,2.9994369,0.28982285,0.11375555
-0.9962774,2.9968996,0.48588875,0.2583132
-0.91348934,2.9926505,0.25313166,0.1131949
-1.6608628,2.564207,0.40147895,0.18914519
-0.7120669,2.9999375,0.23788056,0.109844
-0.64318025,2.9997592,0.23486863,0.109900676
-1.6462272,2.9856775,0.29608086,0.1167053
-0.96289635,2.769064,0.24569003,0.11357605
-1.6770039,2.9096613,0.29444233,0.117059894
-1.3323467,2.9754567,0.38525528,0.17591803
-1.6631863,2.9960337,0.36029494,0.14945409
-1.6841365,2.672723,0.29740098,0.12467117
-1.3902993,2.9994626,0.27883056,0.11428396
-1.0036199,2.890535,0.31431735,0.14759994
-1.6906297,2.939612,0.2911816,0.11433434
-1.0277475,2.9999964,0.27167675,0.119932644
-1.7964939,2.9562097,0.29700586,0.11407536
-0.9716649,2.9768407,0.26999235,0.12112838
-0.99326766,2.7733636,0.2543605,0.11741428
-1.3575144,1.5667738,0.27540168,0.15466666
-0.92560476,2.999786,0.30923402,0.14368063
-1.0396042,2.9999976,0.26690742,0.11709102
-0.96637404,2.994713,0.52264357,0.2891254
-1.7516403,2.9894197,0.5621269,0.28181696
-1.706745,2.945904,0.38984996,0.16643521
-1.0302169,2.7037985,0.25625405,0.11930438
-0.9836131,2.99978,0.34102887,0.16049348
-1.6999297,2.675724,0.5589423,0.29795757
-0.65173817,2.999729,0.24199551,0.113584675
-0.9752425,2.877499,0.24262455,0.10894827
-1.708502,2.9999986,0.29851973,0.11593694
-0.9866085,2.8777256,0.27381536,0.12549043
-1.1529275,2.9984522,0.28910723,0.1259152
-1.0291657,2.9426231,0.37146834,0.17962798
-1.7454553,2.9989324,0.5011375,0.23477416
-1.14985,2.9995396,0.5610175,0.31172764
