representation,task,fault,subset,metric,CAGF,PDRF_NOQ,PDRF_RCIA_R30_NOQ,final_minus_cagf
zero_padding,cooler,vibration,affected,accuracy,0.962962962962963,1.0,1.0,0.03703703703703698
zero_padding,cooler,vibration,affected,macro_auprc,0.9703084470847123,1.0,1.0,0.02969155291528769
zero_padding,cooler,vibration,affected,macro_auroc,0.9836989884897104,1.0,1.0,0.01630101151028962
zero_padding,cooler,vibration,affected,macro_f1,0.9620559240526101,1.0,1.0,0.03794407594738991
zero_padding,cooler,vibration,affected,nll,0.41046354159295184,4.321167521908396e-07,2.4990147358326327e-07,-0.41046329169147827
zero_padding,cooler,vibration,all,accuracy,0.963302752293578,1.0,1.0,0.03669724770642202
zero_padding,cooler,vibration,all,macro_auprc,0.9645104126673247,1.0,1.0,0.035489587332675265
zero_padding,cooler,vibration,all,macro_auroc,0.9818234330220632,1.0,1.0,0.018176566977936792
zero_padding,cooler,vibration,all,macro_f1,0.9634144383161025,1.0,1.0,0.03658556168389748
zero_padding,cooler,vibration,all,nll,0.4334925543081001,2.354730760062324e-07,1.677692339547935e-07,-0.4334923865388661
zero_padding,cooler,vibration,unaffected,accuracy,0.9635036496350364,1.0,1.0,0.03649635036496357
zero_padding,cooler,vibration,unaffected,macro_auprc,0.9594250560501617,1.0,1.0,0.040574943949838294
zero_padding,cooler,vibration,unaffected,macro_auroc,0.9810536397026087,1.0,1.0,0.018946360297391274
zero_padding,cooler,vibration,unaffected,macro_f1,0.9626876175382725,1.0,1.0,0.03731238246172752
zero_padding,cooler,vibration,unaffected,nll,0.4471082479572024,1.1920929665620916e-07,1.1920929665620916e-07,-0.44710812874790573
zero_padding,pump,pressure,affected,accuracy,0.6481012658227848,0.7544303797468355,0.8050632911392406,0.15696202531645576
zero_padding,pump,pressure,affected,macro_auprc,0.6757885405297849,0.7948296282479678,0.8465664583360706,0.1707779178062857
zero_padding,pump,pressure,affected,macro_auroc,0.786673815147733,0.8774384267710202,0.9110872048437717,0.12441338969603866
zero_padding,pump,pressure,affected,macro_f1,0.6323783007962047,0.7493393407046953,0.8010189364988849,0.16864063570268018
zero_padding,pump,pressure,affected,nll,2.0665102071421964,1.3038722820638675,0.976442408536931,-1.0900677986052654
zero_padding,pump,pressure,all,accuracy,0.7642201834862385,0.8889908256880734,0.9091743119266056,0.14495412844036704
zero_padding,pump,pressure,all,macro_auprc,0.7855735399060142,0.9191153167122976,0.9376567457722433,0.15208320586622914
zero_padding,pump,pressure,all,macro_auroc,0.8786970617878153,0.9555584694283326,0.9680195606565472,0.08932249886873189
zero_padding,pump,pressure,all,macro_f1,0.763278662623174,0.8888391271956575,0.9090528829513026,0.1457742203281286
zero_padding,pump,pressure,all,nll,1.2136273370690194,0.5653749788322908,0.4352020766863526,-0.7784252603826668
zero_padding,pump,pressure,unaffected,accuracy,0.8302158273381295,0.9654676258992805,0.968345323741007,0.13812949640287753
zero_padding,pump,pressure,unaffected,macro_auprc,0.8769584782620307,0.9859292504621511,0.9904997923096476,0.11354131404761691
zero_padding,pump,pressure,unaffected,macro_auroc,0.9324777270481667,0.9927035567094056,0.994380120623742,0.061902393575575365
zero_padding,pump,pressure,unaffected,macro_f1,0.8321838413947562,0.9655270804208678,0.9683352017307773,0.13615136033602104
zero_padding,pump,pressure,unaffected,nll,0.7288953461641202,0.14565348994527977,0.12759066505904573,-0.6013046811050745
zero_padding,pump,vibration,affected,accuracy,0.8296296296296296,0.9950617283950617,0.9950617283950617,0.16543209876543208
zero_padding,pump,vibration,affected,macro_auprc,0.8643133831561016,0.9992301587301586,0.9995411748745082,0.1352277917184066
zero_padding,pump,vibration,affected,macro_auroc,0.9157131002977998,0.9996526151444185,0.9998024980483997,0.08408939775059987
zero_padding,pump,vibration,affected,macro_f1,0.8347831313688833,0.9947672828435165,0.9940268790443006,0.15924374767541738
zero_padding,pump,vibration,affected,nll,0.816858997583281,0.0353240012803062,0.03303852327342856,-0.7838204743098524
zero_padding,pump,vibration,all,accuracy,0.8284403669724771,0.9770642201834864,0.9779816513761469,0.14954128440366976
zero_padding,pump,vibration,all,macro_auprc,0.8507561899453424,0.9970915294803465,0.9984240525768376,0.14766786263149523
zero_padding,pump,vibration,all,macro_auroc,0.9153043454413318,0.9981626318098922,0.999073902669793,0.08376955722846124
zero_padding,pump,vibration,all,macro_f1,0.8294015073131238,0.976953461784192,0.9778925191410947,0.14849101182797086
zero_padding,pump,vibration,all,nll,0.8765660455946144,0.07307714349161534,0.06416272994645496,-0.8124033156481594
zero_padding,pump,vibration,unaffected,accuracy,0.8277372262773722,0.9664233576642335,0.9678832116788321,0.14014598540145984
zero_padding,pump,vibration,unaffected,macro_auprc,0.8453487453641335,0.9954495697564294,0.9975299941068727,0.1521812487427392
zero_padding,pump,vibration,unaffected,macro_auroc,0.9168081631427831,0.997293174132133,0.998580073165823,0.08177191002303985
zero_padding,pump,vibration,unaffected,macro_f1,0.8218458533409413,0.965112273938521,0.9669373182242499,0.1450914648833086
zero_padding,pump,vibration,unaffected,nll,0.9118672929589792,0.09539834436107551,0.08256463316189394,-0.8293026597970852
zero_padding,valve,pressure,affected,accuracy,0.42531645569620247,0.4556962025316455,0.42784810126582273,0.0025316455696202667
zero_padding,valve,pressure,affected,macro_auprc,0.4635097069542787,0.3943800596160453,0.4342713612937854,-0.02923834566049327
zero_padding,valve,pressure,affected,macro_auroc,0.6814357560700908,0.6299565806024603,0.6561260670512115,-0.02530968901887931
zero_padding,valve,pressure,affected,macro_f1,0.3975374492797733,0.4317253228747936,0.41951674964185715,0.021979300362083842
zero_padding,valve,pressure,affected,nll,4.394562158531597,6.258308623939245,4.342827229552571,-0.051734928979025874
zero_padding,valve,pressure,all,accuracy,0.5954128440366973,0.7110091743119267,0.6770642201834862,0.08165137614678897
zero_padding,valve,pressure,all,macro_auprc,0.569069615132255,0.6639566792518983,0.6936486060461844,0.12457899091392943
zero_padding,valve,pressure,all,macro_auroc,0.776345402094894,0.8308871843678756,0.8527045828494,0.07635918075450598
zero_padding,valve,pressure,all,macro_f1,0.5944916269995091,0.7086698839470452,0.6769890464843064,0.08249741948479727
zero_padding,valve,pressure,all,nll,2.6590311125857786,2.5093529698536816,1.8622222469702063,-0.7968088656155723
zero_padding,valve,pressure,unaffected,accuracy,0.6920863309352518,0.8561151079136691,0.8187050359712231,0.12661870503597128
zero_padding,valve,pressure,unaffected,macro_auprc,0.6861049825078802,0.9432591662543899,0.909709305022942,0.2236043225150618
zero_padding,valve,pressure,unaffected,macro_auroc,0.8470270803657755,0.9757636349299699,0.9626464103014463,0.11561932993567081
zero_padding,valve,pressure,unaffected,macro_f1,0.6912384952771078,0.8575500458639354,0.82116325513676,0.12992475985965224
zero_padding,valve,pressure,unaffected,nll,1.6726501584151336,0.3786515549417432,0.4523820050708761,-1.2202681533442576
zero_padding,valve,vibration,affected,accuracy,0.6592592592592592,0.8098765432098766,0.7580246913580246,0.09876543209876543
zero_padding,valve,vibration,affected,macro_auprc,0.7241734683933937,0.9143440752841814,0.8827923571169499,0.15861888872355623
zero_padding,valve,vibration,affected,macro_auroc,0.8436731931829972,0.9590569561157796,0.9421618613775478,0.0984886681945506
zero_padding,valve,vibration,affected,macro_f1,0.6725022039872389,0.8216382814815232,0.7807831340909303,0.10828093010369133
zero_padding,valve,vibration,affected,nll,1.7815152569116595,0.5382043929439225,0.6036457721724059,-1.1778694847392535
zero_padding,valve,vibration,all,accuracy,0.6513761467889909,0.8504587155963304,0.8183486238532109,0.16697247706422003
zero_padding,valve,vibration,all,macro_auprc,0.6783516682659568,0.9226770543676253,0.8945546146171637,0.21620294635120685
zero_padding,valve,vibration,all,macro_auroc,0.8341394857400954,0.9654522626575472,0.9540981094334752,0.11995862369337973
zero_padding,valve,vibration,all,macro_f1,0.6489890924795404,0.8508354486077948,0.8194792740291893,0.1704901815496489
zero_padding,valve,vibration,all,nll,1.9261880214352947,0.5720270394281921,0.6065637725800335,-1.3196242488552612
zero_padding,valve,vibration,unaffected,accuracy,0.6467153284671533,0.8744525547445257,0.8540145985401459,0.20729927007299265
zero_padding,valve,vibration,unaffected,macro_auprc,0.6569372493603042,0.925572371295245,0.9034405306847632,0.24650328132445898
zero_padding,valve,vibration,unaffected,macro_auroc,0.8271734169867621,0.9659355882972072,0.9579348023460611,0.13076138535929904
zero_padding,valve,vibration,unaffected,macro_f1,0.6331520871280814,0.8628022628473371,0.8414118358215685,0.20825974869348718
